segment,ab_group,category,resource,amount_free,amount_total,player_days,papd_free
0-9,Control,Ads,Chuck,6.0,6.0,67171.0,8.9e-05
0-9,Control,Ads,Comet,1457.0,1457.0,67171.0,0.021691
0-9,Control,Ads,HC,139885.0,139885.0,67171.0,2.082521
0-9,Control,Ads,Red,9.0,9.0,67171.0,0.000134
0-9,Control,Ads,Shuffle,3002.0,3002.0,67171.0,0.044692
0-9,Control,Ads,Slingshot,3186.0,3186.0,67171.0,0.047431
0-9,Control,Ads,Unlimited Lives,46605.0,46605.0,67171.0,0.693826
0-9,Control,Bomb Challenge,Comet,19.0,19.0,67171.0,0.000283
0-9,Control,Bomb Challenge,HC,12550.0,12550.0,67171.0,0.186837
0-9,Control,Bomb Challenge,Red,1.0,1.0,67171.0,1.5e-05
0-9,Control,Bomb Challenge,Shuffle,331.0,331.0,67171.0,0.004928
0-9,Control,Bomb Challenge,Slingshot,987.0,987.0,67171.0,0.014694
0-9,Control,Bomb's Ballet,Chuck,1115.0,1115.0,67171.0,0.016599
0-9,Control,Bomb's Ballet,HC,500.0,500.0,67171.0,0.007444
0-9,Control,Bomb's Ballet,Red,2.0,2.0,67171.0,3e-05
0-9,Control,Bomb's Ballet,UL Bomb,110.0,110.0,67171.0,0.001638
0-9,Control,Bomb's Ballet,UL Chuck,1390.0,1390.0,67171.0,0.020693
0-9,Control,Bomb's Ballet,UL Red,4195.0,4195.0,67171.0,0.062453
0-9,Control,Bomb's Ballet,Unlimited Lives,1530.0,1530.0,67171.0,0.022778
0-9,Control,Chuck Challenge,Comet,2.0,2.0,67171.0,3e-05
0-9,Control,Chuck Challenge,HC,750.0,750.0,67171.0,0.011166
0-9,Control,Chuck Challenge,Shuffle,19.0,19.0,67171.0,0.000283
0-9,Control,Chuck Challenge,Slingshot,23.0,23.0,67171.0,0.000342
0-9,Control,Core,Bomb,3434.0,3434.0,67171.0,0.051123
0-9,Control,Core,Chuck,6815.0,6815.0,67171.0,0.101457
0-9,Control,Core,Comet,997.0,997.0,67171.0,0.014843
0-9,Control,Core,HC,363675.0,363675.0,67171.0,5.414167
0-9,Control,Core,Red,1396.0,1396.0,67171.0,0.020783
0-9,Control,Core,Shuffle,2818.0,2818.0,67171.0,0.041953
0-9,Control,Core,Slingshot,2527.0,2527.0,67171.0,0.03762
0-9,Control,Core,Unlimited Lives,165540.0,165540.0,67171.0,2.464456
0-9,Control,Daily Gift,Comet,658.0,658.0,67171.0,0.009796
0-9,Control,Daily Gift,HC,977525.0,977525.0,67171.0,14.552783
0-9,Control,Daily Gift,Shuffle,4598.0,4598.0,67171.0,0.068452
0-9,Control,Daily Gift,Slingshot,7571.0,7571.0,67171.0,0.112712
0-9,Control,Daily Gift,UL Bomb,21240.0,21240.0,67171.0,0.316208
0-9,Control,Daily Gift,UL Chuck,41130.0,41130.0,67171.0,0.612318
0-9,Control,Daily Gift,UL Red,42210.0,42210.0,67171.0,0.628396
0-9,Control,Daily Gift,Unlimited Lives,800540.0,800540.0,67171.0,11.917941
0-9,Control,Daily Night Sky Prize,Comet,1.0,1.0,67171.0,1.5e-05
0-9,Control,Daily Night Sky Prize,HC,165.0,165.0,67171.0,0.002456
0-9,Control,Daily Night Sky Prize,Red,3.0,3.0,67171.0,4.5e-05
0-9,Control,Daily Night Sky Prize,Shuffle,3.0,3.0,67171.0,4.5e-05
0-9,Control,Daily Night Sky Prize,Slingshot,2.0,2.0,67171.0,3e-05
0-9,Control,Daily Night Sky Prize,UL Chuck,10.0,10.0,67171.0,0.000149
0-9,Control,Daily Night Sky Prize,Unlimited Lives,110.0,110.0,67171.0,0.001638
0-9,Control,Flock Flurry,Bomb,1133.0,1133.0,67171.0,0.016867
0-9,Control,Flock Flurry,Chuck,1133.0,1133.0,67171.0,0.016867
0-9,Control,Flock Flurry,Red,1133.0,1133.0,67171.0,0.016867
0-9,Control,Flock Flurry,SPT,18740.0,18740.0,67171.0,0.278989
0-9,Control,Flock Flurry,Slingshot,1133.0,1133.0,67171.0,0.016867
0-9,Control,Flock Flurry,Unlimited Lives,1053500.0,1053500.0,67171.0,15.683852
0-9,Control,FlowerCoop,Bomb,2.0,2.0,67171.0,3e-05
0-9,Control,FlowerCoop,UL Red,20.0,20.0,67171.0,0.000298
