segment,payer_flag,avg_matchables_window,p10_matchables_window,p25_matchables_window,p50_matchables_window,p75_matchables_window,p90_matchables_window
0-9,NONPAYER,12271.2083,164.34,446.26,1213.66,4707.35,25313.97
0-9,PAYER,85423.3508,1868.86,5781.81,31038.12,104322.06,241240.16
10-19,NONPAYER,41672.2436,2228.01,3411.17,8034.76,28638.75,127235.97
10-19,PAYER,152217.3906,8380.93,16537.73,79388.73,214095.86,392058.21
20-39,NONPAYER,78429.8486,5565.95,9375.07,22089.82,82147.05,229701.7
20-39,PAYER,201567.0253,16972.11,31688.47,115219.07,291463.44,517971.27
40-99,NONPAYER,174251.2449,14052.59,24792.47,77653.77,205251.8,484209.64
40-99,PAYER,347869.4213,39942.83,91486.46,225007.58,451648.45,846918.16
100+,NONPAYER,349047.865,51205.99,79956.95,162419.55,338391.53,1089826.39
100+,PAYER,534698.9455,89242.75,156210.17,296612.41,631394.25,1529452.2
