segment,payer_flag,difficulty_tier,player_days,levels_completed_total,levels_completed_per_active_day,spt_from_level_completes_total,spt_per_level_completed,spt_per_active_player_day
0-9,NONPAYER,All,123899,700797,5.6562,6845809.0,9.7686,55.2531
0-9,NONPAYER,Normal,123899,497883,4.0185,3813962.0,7.6604,30.7828
0-9,NONPAYER,Hard,123899,96392,0.778,1111873.0,11.5349,8.974
0-9,NONPAYER,Extreme,123899,102014,0.8234,1885675.0,18.4845,15.2195
0-9,PAYER,All,48681,269788,5.542,2720768.0,10.0848,55.8897
0-9,PAYER,Normal,48681,182294,3.7447,1407240.0,7.7196,28.9074
0-9,PAYER,Hard,48681,42903,0.8813,496578.0,11.5744,10.2007
0-9,PAYER,Extreme,48681,43616,0.896,809509.0,18.5599,16.6288
10-19,NONPAYER,All,115585,1589957,13.7557,14731289.0,9.2652,127.4498
10-19,NONPAYER,Normal,115585,1130558,9.7812,8285927.0,7.3291,71.6869
10-19,NONPAYER,Hard,115585,216285,1.8712,2345359.0,10.8438,20.2912
10-19,NONPAYER,Extreme,115585,231870,2.0061,4015785.0,17.3191,34.7431
10-19,PAYER,All,30952,421318,13.612,3820091.0,9.067,123.4198
10-19,PAYER,Normal,30952,291352,9.413,2055373.0,7.0546,66.4052
10-19,PAYER,Hard,30952,62779,2.0283,659062.0,10.4981,21.293
10-19,PAYER,Extreme,30952,65464,2.115,1093497.0,16.7038,35.3288
20-39,NONPAYER,All,91644,2418001,26.3847,19614510.0,8.1119,214.0294
20-39,NONPAYER,Normal,91644,1762122,19.2279,11480864.0,6.5154,125.2768
20-39,NONPAYER,Hard,91644,302935,3.3056,2904678.0,9.5885,31.6952
20-39,NONPAYER,Extreme,91644,334516,3.6502,5098306.0,15.2408,55.6316
20-39,PAYER,All,21613,571898,26.4608,4319400.0,7.5527,199.8519
20-39,PAYER,Normal,21613,404530,18.717,2381485.0,5.887,110.1876
20-39,PAYER,Hard,21613,79729,3.6889,716490.0,8.9866,33.1509
20-39,PAYER,Extreme,21613,84924,3.9293,1204623.0,14.1847,55.736
40-99,NONPAYER,All,55047,2925034,53.137,19745693.0,6.7506,358.7061
40-99,NONPAYER,Normal,55047,2196176,39.8964,12142827.0,5.5291,220.5902
40-99,NONPAYER,Hard,55047,335948,6.1029,2721479.0,8.1009,49.4392
40-99,NONPAYER,Extreme,55047,367059,6.6681,4703201.0,12.8132,85.4397
40-99,PAYER,All,13510,736548,54.5187,4352410.0,5.9092,322.1621
40-99,PAYER,Normal,13510,531815,39.3645,2443248.0,4.5942,180.8474
40-99,PAYER,Hard,13510,97484,7.2157,706355.0,7.2459,52.2839
40-99,PAYER,Extreme,13510,102611,7.5952,1176307.0,11.4638,87.0694
100+,NONPAYER,All,7937,982161,123.7446,6212550.0,6.3254,782.7328
100+,NONPAYER,Normal,7937,754410,95.0498,3968922.0,5.261,500.0532
100+,NONPAYER,Hard,7937,107196,13.5059,847579.0,7.9068,106.7883
100+,NONPAYER,Extreme,7937,108540,13.6752,1319346.0,12.1554,166.2273
100+,PAYER,All,1998,242061,121.1517,1428961.0,5.9033,715.1957
100+,PAYER,Normal,1998,180184,90.1822,851441.0,4.7254,426.1466
100+,PAYER,Hard,1998,29706,14.8679,219993.0,7.4057,110.1066
100+,PAYER,Extreme,1998,29953,14.9915,343979.0,11.484,172.1617
