segment,payer_flag,currency,gain_per_active_player,spend_per_active_player,net_per_active_player,resource_earners,gain_per_earner,spend_per_earner,net_per_earner,gain_p25,gain_p50,gain_p75,gain_p90,spend_p25,spend_p50,spend_p75,spend_p90,net_p25,net_p50,net_p75,net_p90,player_days
0-9,NONPAYER,HC,95.9288,93.4486,2.4802,26871,170.5198,166.111,4.4088,0.0,14.708,68.773,263.1038,0.0,0.0,55.4011,307.9137,-0.0318,0.0098,26.7723,69.2931,119413
0-9,NONPAYER,Slingshot,1.5059,1.3402,0.1657,12131,5.9292,5.2768,0.6524,0.0,0.0,0.5234,4.5429,0.0,0.0,0.1372,3.8097,0.0,0.0,0.0,1.0647,119413
0-9,NONPAYER,Shuffle,0.8536,0.9245,-0.0708,9841,4.1433,4.487,-0.3438,0.0,0.0,0.0559,2.4683,0.0,0.0,0.1383,2.8707,0.0,0.0,0.0,0.6532,119413
0-9,NONPAYER,Comet,0.3623,0.4831,-0.1209,6564,2.6362,3.5157,-0.8795,0.0,0.0,0.0,1.0148,0.0,0.0,0.0,1.5891,0.0,0.0,0.0,0.0,119413
0-9,NONPAYER,Red,1.9431,1.6194,0.3237,16481,5.6315,4.6934,0.938,0.0,0.0,1.596,6.7119,0.0,0.0,1.0,3.993,-0.1056,0.0,0.493,2.2668,119413
0-9,NONPAYER,Chuck,1.8404,1.3401,0.5003,20402,4.3088,3.1375,1.1714,0.0,0.0341,2.0,5.2782,0.0,0.0,0.6191,3.8141,0.0,0.0,1.1361,2.2297,119413
0-9,NONPAYER,Bomb,0.7406,0.6744,0.0662,13030,2.7148,2.4721,0.2427,0.0,0.0,0.812,2.1335,0.0,0.0,0.0931,2.2571,0.0,0.0,0.0,1.1969,119413
0-9,NONPAYER,UL Bomb,0.7584,0.2095,0.5489,1203,30.1122,8.3167,21.7955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119413
0-9,NONPAYER,UL Chuck,3.4715,0.8639,2.6075,6670,24.8598,6.1868,18.673,0.0,0.0,0.0,14.3461,0.0,0.0,0.0,2.1995,0.0,0.0,0.0,8.8312,119413
0-9,NONPAYER,UL Red,5.2975,1.4183,3.8792,9772,25.8939,6.9326,18.9613,0.0,0.0,0.4935,16.9009,0.0,0.0,0.0,4.9898,0.0,0.0,0.2179,10.702,119413
0-9,NONPAYER,Unlimited Lives,161.2283,0.0013,161.227,23510,327.5657,0.0027,327.563,0.0,7.9089,103.3779,505.0648,0.0,0.0,0.0,0.0,0.0,7.9049,103.2856,504.8385,119413
0-9,NONPAYER,SPT,130.8434,0.0,130.8434,17511,356.9033,0.0,356.9033,0.0,0.0,47.9809,358.0449,0.0,0.0,0.0,0.0,0.0,0.0,47.9809,358.0449,119413
0-9,NONPAYER,SPTx2,1.3977,0.0,1.3977,4296,15.54,0.0,15.54,0.0,0.0,0.0,2.9501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9501,119413
0-9,PAYER,HC,573.0458,577.2713,-4.2255,3053,597.0713,601.474,-4.4026,68.2867,320.4834,834.98,1403.0004,68.3398,343.7004,866.53,1433.4672,-68.6765,6.9468,57.187,163.7201,24521
0-9,PAYER,Slingshot,8.3122,8.0097,0.3024,2410,10.9714,10.5722,0.3992,0.5883,5.3976,13.9273,21.6952,0.0847,4.6643,13.6513,21.3217,-1.0,0.0,1.323,3.4386,24521
0-9,PAYER,Shuffle,4.9233,5.1808,-0.2575,2223,7.045,7.4134,-0.3684,0.0186,2.6567,7.9891,13.727,0.0249,3.0344,8.2196,14.0693,-1.0,0.0,0.8275,2.0,24521
0-9,PAYER,Comet,2.5134,2.6507,-0.1374,1976,4.0461,4.2672,-0.2212,0.0,1.0952,3.6974,7.2477,0.0,1.3821,3.948,7.2769,-0.1866,0.0,0.0126,1.0,24521
0-9,PAYER,Red,9.1569,9.0632,0.0937,2848,10.2275,10.1229,0.1046,2.0505,7.1789,14.8454,20.9782,1.0,6.4036,15.054,22.5617,-1.591,0.0,1.9007,4.287,24521
