segment,payer_flag,currency,day_index,gain_total,spend_total,resource_earners,gain_per_earner_day,spend_per_earner_day,net_per_earner_day,active_players_day
0-9,NONPAYER,HC,1,371202.2211,306600.0,26871,13.8142,11.4101,2.4042,7552
0-9,NONPAYER,HC,2,250113.8742,268900.0,26871,9.3079,10.0071,-0.6991,7017
0-9,NONPAYER,HC,3,226129.4259,227200.0,26871,8.4154,8.4552,-0.0398,6713
0-9,NONPAYER,HC,4,203575.0328,212700.0,26871,7.576,7.9156,-0.3396,6140
0-9,NONPAYER,HC,5,285118.8297,242450.0,26871,10.6107,9.0227,1.5879,6059
0-9,NONPAYER,HC,6,212112.4048,226350.0,26871,7.8937,8.4236,-0.5298,5911
0-9,NONPAYER,HC,7,197417.0,217650.0,26871,7.3468,8.0998,-0.753,5939
0-9,NONPAYER,HC,8,305410.9564,252550.0,26871,11.3658,9.3986,1.9672,5656
0-9,NONPAYER,HC,9,214347.9545,214200.0,26871,7.9769,7.9714,0.0055,5623
0-9,NONPAYER,HC,10,178865.5904,190550.0,26871,6.6565,7.0913,-0.4348,5512
0-9,NONPAYER,HC,11,172406.0411,183550.0,26871,6.4161,6.8308,-0.4147,5521
0-9,NONPAYER,HC,12,237046.1905,207450.0,26871,8.8216,7.7202,1.1014,5487
0-9,NONPAYER,HC,13,184190.8333,185350.0,26871,6.8546,6.8978,-0.0431,5485
0-9,NONPAYER,HC,14,169973.5714,183050.0,26871,6.3255,6.8122,-0.4866,5424
0-9,NONPAYER,HC,15,282797.4724,235200.0,26871,10.5243,8.7529,1.7713,5222
0-9,NONPAYER,HC,16,200477.6768,210350.0,26871,7.4607,7.8281,-0.3674,5471
0-9,NONPAYER,HC,17,173725.9167,187670.0,26871,6.4652,6.9841,-0.5189,5149
0-9,NONPAYER,HC,18,153656.3788,168550.0,26871,5.7183,6.2726,-0.5543,5210
0-9,NONPAYER,HC,19,219763.2727,182550.0,26871,8.1785,6.7936,1.3849,4774
0-9,NONPAYER,HC,20,174700.7143,177200.0,26871,6.5015,6.5945,-0.093,4799
0-9,NONPAYER,HC,21,169007.0,183500.0,26871,6.2896,6.8289,-0.5394,4749
0-9,NONPAYER,Slingshot,1,5431.0,3806.0,12131,0.4477,0.3137,0.134,7552
0-9,NONPAYER,Slingshot,2,4536.0,3561.0,12131,0.3739,0.2935,0.0804,7017
0-9,NONPAYER,Slingshot,3,4434.0,3368.0,12131,0.3655,0.2776,0.0879,6713
0-9,NONPAYER,Slingshot,4,3565.0,3187.0,12131,0.2939,0.2627,0.0312,6140
0-9,NONPAYER,Slingshot,5,3899.0,3227.0,12131,0.3214,0.266,0.0554,6059
0-9,NONPAYER,Slingshot,6,2468.0,3005.0,12131,0.2034,0.2477,-0.0443,5911
0-9,NONPAYER,Slingshot,7,2265.0,2734.0,12131,0.1867,0.2254,-0.0387,5939
0-9,NONPAYER,Slingshot,8,4442.0,3393.0,12131,0.3662,0.2797,0.0865,5656
0-9,NONPAYER,Slingshot,9,3995.0,3273.0,12131,0.3293,0.2698,0.0595,5623
0-9,NONPAYER,Slingshot,10,3825.0,3152.0,12131,0.3153,0.2598,0.0555,5512
0-9,NONPAYER,Slingshot,11,3289.0,2962.0,12131,0.2711,0.2442,0.027,5521
0-9,NONPAYER,Slingshot,12,3328.0,2944.0,12131,0.2743,0.2427,0.0317,5487
0-9,NONPAYER,Slingshot,13,2284.0,2707.0,12131,0.1883,0.2231,-0.0349,5485
0-9,NONPAYER,Slingshot,14,2020.0,2598.0,12131,0.1665,0.2142,-0.0476,5424
0-9,NONPAYER,Slingshot,15,4108.0,3078.0,12131,0.3386,0.2537,0.0849,5222
0-9,NONPAYER,Slingshot,16,3981.0,3195.0,12131,0.3282,0.2634,0.0648,5471
0-9,NONPAYER,Slingshot,17,3733.0,3105.0,12131,0.3077,0.256,0.0518,5149
0-9,NONPAYER,Slingshot,18,3077.0,2722.0,12131,0.2536,0.2244,0.0293,5210
0-9,NONPAYER,Slingshot,19,3015.0,2859.0,12131,0.2485,0.2357,0.0129,4774
0-9,NONPAYER,Slingshot,20,2223.0,2538.0,12131,0.1832,0.2092,-0.026,4799
0-9,NONPAYER,Slingshot,21,2009.0,2599.0,12131,0.1656,0.2142,-0.0486,4749
0-9,NONPAYER,Shuffle,1,3013.0,2799.0,9841,0.3062,0.2844,0.0217,7552
0-9,NONPAYER,Shuffle,2,2254.0,2474.0,9841,0.229,0.2514,-0.0224,7017
0-9,NONPAYER,Shuffle,3,2339.0,2549.0,9841,0.2377,0.259,-0.0213,6713
0-9,NONPAYER,Shuffle,4,2009.0,2256.0,9841,0.2041,0.2292,-0.0251,6140
0-9,NONPAYER,Shuffle,5,2315.0,2302.0,9841,0.2352,0.2339,0.0013,6059
0-9,NONPAYER,Shuffle,6,1749.0,2186.0,9841,0.1777,0.2221,-0.0444,5911
0-9,NONPAYER,Shuffle,7,1548.0,2093.0,9841,0.1573,0.2127,-0.0554,5939
0-9,NONPAYER,Shuffle,8,2415.0,2343.0,9841,0.2454,0.2381,0.0073,5656
0-9,NONPAYER,Shuffle,9,2009.0,2230.0,9841,0.2041,0.2266,-0.0225,5623
0-9,NONPAYER,Shuffle,10,1952.0,2057.0,9841,0.1984,0.209,-0.0107,5512
0-9,NONPAYER,Shuffle,11,1916.0,1897.0,9841,0.1947,0.1928,0.0019,5521
0-9,NONPAYER,Shuffle,12,1979.0,1990.0,9841,0.2011,0.2022,-0.0011,5487
0-9,NONPAYER,Shuffle,13,1484.0,1886.0,9841,0.1508,0.1916,-0.0408,5485
0-9,NONPAYER,Shuffle,14,1353.0,1818.0,9841,0.1375,0.1847,-0.0473,5424
0-9,NONPAYER,Shuffle,15,2249.0,2052.0,9841,0.2285,0.2085,0.02,5222
0-9,NONPAYER,Shuffle,16,1813.0,2030.0,9841,0.1842,0.2063,-0.0221,5471
0-9,NONPAYER,Shuffle,17,1887.0,1833.0,9841,0.1917,0.1863,0.0055,5149
0-9,NONPAYER,Shuffle,18,1706.0,1851.0,9841,0.1734,0.1881,-0.0147,5210
0-9,NONPAYER,Shuffle,19,2019.0,1971.0,9841,0.2052,0.2003,0.0049,4774
0-9,NONPAYER,Shuffle,20,1396.0,1723.0,9841,0.1419,0.1751,-0.0332,4799
0-9,NONPAYER,Shuffle,21,1369.0,1817.0,9841,0.1391,0.1846,-0.0455,4749
0-9,NONPAYER,Comet,1,1890.0,1641.0,6564,0.2879,0.25,0.0379,7552
0-9,NONPAYER,Comet,2,967.0,1395.0,6564,0.1473,0.2125,-0.0652,7017
0-9,NONPAYER,Comet,3,867.0,1182.0,6564,0.1321,0.1801,-0.048,6713
0-9,NONPAYER,Comet,4,821.0,1216.0,6564,0.1251,0.1853,-0.0602,6140
0-9,NONPAYER,Comet,5,864.0,1208.0,6564,0.1316,0.184,-0.0524,6059
0-9,NONPAYER,Comet,6,522.0,1057.0,6564,0.0795,0.161,-0.0815,5911
0-9,NONPAYER,Comet,7,495.0,995.0,6564,0.0754,0.1516,-0.0762,5939
0-9,NONPAYER,Comet,8,1720.0,1528.0,6564,0.262,0.2328,0.0293,5656
0-9,NONPAYER,Comet,9,906.0,1250.0,6564,0.138,0.1904,-0.0524,5623
0-9,NONPAYER,Comet,10,683.0,1069.0,6564,0.1041,0.1629,-0.0588,5512
0-9,NONPAYER,Comet,11,703.0,1006.0,6564,0.1071,0.1533,-0.0462,5521
0-9,NONPAYER,Comet,12,690.0,1014.0,6564,0.1051,0.1545,-0.0494,5487
0-9,NONPAYER,Comet,13,494.0,921.0,6564,0.0753,0.1403,-0.0651,5485
0-9,NONPAYER,Comet,14,396.0,834.0,6564,0.0603,0.1271,-0.0667,5424
0-9,NONPAYER,Comet,15,1618.0,1235.0,6564,0.2465,0.1881,0.0583,5222
0-9,NONPAYER,Comet,16,809.0,1122.0,6564,0.1232,0.1709,-0.0477,5471
0-9,NONPAYER,Comet,17,658.0,929.0,6564,0.1002,0.1415,-0.0413,5149
0-9,NONPAYER,Comet,18,625.0,963.0,6564,0.0952,0.1467,-0.0515,5210
0-9,NONPAYER,Comet,19,665.0,834.0,6564,0.1013,0.1271,-0.0257,4774
0-9,NONPAYER,Comet,20,456.0,829.0,6564,0.0695,0.1263,-0.0568,4799
0-9,NONPAYER,Comet,21,455.0,849.0,6564,0.0693,0.1293,-0.06,4749
0-9,NONPAYER,Red,1,7539.0,5012.0,16481,0.4574,0.3041,0.1533,7552
0-9,NONPAYER,Red,2,5217.0,4501.0,16481,0.3165,0.2731,0.0434,7017
0-9,NONPAYER,Red,3,4330.0,3975.0,16481,0.2627,0.2412,0.0215,6713
0-9,NONPAYER,Red,4,4027.0,3663.0,16481,0.2443,0.2223,0.0221,6140
0-9,NONPAYER,Red,5,5231.0,4034.0,16481,0.3174,0.2448,0.0726,6059
0-9,NONPAYER,Red,6,4060.0,3640.0,16481,0.2463,0.2209,0.0255,5911
0-9,NONPAYER,Red,7,3742.0,3567.0,16481,0.227,0.2164,0.0106,5939
0-9,NONPAYER,Red,8,6877.0,4320.0,16481,0.4173,0.2621,0.1551,5656
0-9,NONPAYER,Red,9,4796.0,3794.0,16481,0.291,0.2302,0.0608,5623
0-9,NONPAYER,Red,10,3902.0,3353.0,16481,0.2368,0.2034,0.0333,5512
0-9,NONPAYER,Red,11,3658.0,3395.0,16481,0.222,0.206,0.016,5521
0-9,NONPAYER,Red,12,4448.0,3431.0,16481,0.2699,0.2082,0.0617,5487
0-9,NONPAYER,Red,13,3571.0,3360.0,16481,0.2167,0.2039,0.0128,5485
0-9,NONPAYER,Red,14,3258.0,3397.0,16481,0.1977,0.2061,-0.0084,5424
0-9,NONPAYER,Red,15,6264.0,4096.0,16481,0.3801,0.2485,0.1315,5222
0-9,NONPAYER,Red,16,4614.0,3739.0,16481,0.28,0.2269,0.0531,5471
0-9,NONPAYER,Red,17,3745.0,3412.0,16481,0.2272,0.207,0.0202,5149
0-9,NONPAYER,Red,18,3009.0,3248.0,16481,0.1826,0.1971,-0.0145,5210
0-9,NONPAYER,Red,19,4150.0,3198.0,16481,0.2518,0.194,0.0578,4774
0-9,NONPAYER,Red,20,3309.0,3148.0,16481,0.2008,0.191,0.0098,4799
0-9,NONPAYER,Red,21,3065.0,3069.0,16481,0.186,0.1862,-0.0002,4749
0-9,NONPAYER,Chuck,1,6311.0,3966.0,20402,0.3093,0.1944,0.1149,7552
0-9,NONPAYER,Chuck,2,5052.0,3642.0,20402,0.2476,0.1785,0.0691,7017
0-9,NONPAYER,Chuck,3,4422.0,3293.0,20402,0.2167,0.1614,0.0553,6713
0-9,NONPAYER,Chuck,4,3891.0,3061.0,20402,0.1907,0.15,0.0407,6140
0-9,NONPAYER,Chuck,5,5364.0,3537.0,20402,0.2629,0.1734,0.0896,6059
0-9,NONPAYER,Chuck,6,4254.0,3215.0,20402,0.2085,0.1576,0.0509,5911
0-9,NONPAYER,Chuck,7,3798.0,3040.0,20402,0.1862,0.149,0.0372,5939
0-9,NONPAYER,Chuck,8,5435.0,3424.0,20402,0.2664,0.1678,0.0986,5656
0-9,NONPAYER,Chuck,9,4440.0,3034.0,20402,0.2176,0.1487,0.0689,5623
0-9,NONPAYER,Chuck,10,3570.0,2721.0,20402,0.175,0.1334,0.0416,5512
0-9,NONPAYER,Chuck,11,3493.0,2677.0,20402,0.1712,0.1312,0.04,5521
0-9,NONPAYER,Chuck,12,4460.0,2948.0,20402,0.2186,0.1445,0.0741,5487
0-9,NONPAYER,Chuck,13,3687.0,2831.0,20402,0.1807,0.1388,0.042,5485
0-9,NONPAYER,Chuck,14,3371.0,2867.0,20402,0.1652,0.1405,0.0247,5424
0-9,NONPAYER,Chuck,15,5706.0,3228.0,20402,0.2797,0.1582,0.1215,5222
0-9,NONPAYER,Chuck,16,4336.0,3083.0,20402,0.2125,0.1511,0.0614,5471
0-9,NONPAYER,Chuck,17,3596.0,2790.0,20402,0.1763,0.1368,0.0395,5149
0-9,NONPAYER,Chuck,18,3167.0,2653.0,20402,0.1552,0.13,0.0252,5210
0-9,NONPAYER,Chuck,19,3739.0,2682.0,20402,0.1833,0.1315,0.0518,4774
0-9,NONPAYER,Chuck,20,3029.0,2699.0,20402,0.1485,0.1323,0.0162,4799
0-9,NONPAYER,Chuck,21,2788.0,2620.0,20402,0.1367,0.1284,0.0082,4749
0-9,NONPAYER,Bomb,1,2446.0,2036.0,13030,0.1877,0.1563,0.0315,7552
0-9,NONPAYER,Bomb,2,1713.0,1856.0,13030,0.1315,0.1424,-0.011,7017
0-9,NONPAYER,Bomb,3,1604.0,1679.0,13030,0.1231,0.1289,-0.0058,6713
0-9,NONPAYER,Bomb,4,1474.0,1512.0,13030,0.1131,0.116,-0.0029,6140
0-9,NONPAYER,Bomb,5,2748.0,1924.0,13030,0.2109,0.1477,0.0632,6059
0-9,NONPAYER,Bomb,6,1960.0,1707.0,13030,0.1504,0.131,0.0194,5911
0-9,NONPAYER,Bomb,7,1617.0,1571.0,13030,0.1241,0.1206,0.0035,5939
0-9,NONPAYER,Bomb,8,2017.0,1641.0,13030,0.1548,0.1259,0.0289,5656
0-9,NONPAYER,Bomb,9,1498.0,1390.0,13030,0.115,0.1067,0.0083,5623
0-9,NONPAYER,Bomb,10,1287.0,1344.0,13030,0.0988,0.1031,-0.0044,5512
0-9,NONPAYER,Bomb,11,1198.0,1296.0,13030,0.0919,0.0995,-0.0075,5521
0-9,NONPAYER,Bomb,12,2131.0,1599.0,13030,0.1635,0.1227,0.0408,5487
0-9,NONPAYER,Bomb,13,1595.0,1498.0,13030,0.1224,0.115,0.0074,5485
0-9,NONPAYER,Bomb,14,1388.0,1362.0,13030,0.1065,0.1045,0.002,5424
0-9,NONPAYER,Bomb,15,1939.0,1469.0,13030,0.1488,0.1127,0.0361,5222
0-9,NONPAYER,Bomb,16,1350.0,1391.0,13030,0.1036,0.1068,-0.0031,5471
0-9,NONPAYER,Bomb,17,1194.0,1266.0,13030,0.0916,0.0972,-0.0055,5149
0-9,NONPAYER,Bomb,18,1174.0,1303.0,13030,0.0901,0.1,-0.0099,5210
0-9,NONPAYER,Bomb,19,2092.0,1487.0,13030,0.1606,0.1141,0.0464,4774
0-9,NONPAYER,Bomb,20,1598.0,1493.0,13030,0.1226,0.1146,0.0081,4799
0-9,NONPAYER,Bomb,21,1351.0,1387.0,13030,0.1037,0.1064,-0.0028,4749
