event_name,payer_flag,segment,seg_rank,event_day,instance_length_days,n_instances,n_participants,cum_token_share_mean,cum_token_share_p50,cum_token_share_p25,cum_token_share_p75,cum_levels_share_mean
Bomb,NONPAYER,0-9,1,1,3,5,9394,0.4385,0.332,0.0,0.9958,0.438
Bomb,NONPAYER,0-9,1,2,3,5,9394,0.9351,1.0,1.0,1.0,0.9362
Bomb,NONPAYER,0-9,1,3,3,2,9391,1.0,1.0,1.0,1.0,1.0
Bomb,PAYER,0-9,1,1,3,4,3555,0.4479,0.3552,0.0,0.996,0.4465
Bomb,PAYER,0-9,1,2,3,4,3555,0.9324,1.0,1.0,1.0,0.9325
Bomb,PAYER,0-9,1,3,3,2,3551,1.0,1.0,1.0,1.0,1.0
Bomb,NONPAYER,10-19,2,1,3,5,10332,0.4623,0.4263,0.0042,0.9097,0.4609
Bomb,NONPAYER,10-19,2,2,3,5,10332,0.9436,1.0,1.0,1.0,0.9437
Bomb,NONPAYER,10-19,2,3,3,2,10320,1.0,1.0,1.0,1.0,1.0
Bomb,PAYER,10-19,2,1,3,4,2810,0.4678,0.4257,0.0,0.9539,0.4654
Bomb,PAYER,10-19,2,2,3,4,2810,0.9418,1.0,1.0,1.0,0.9421
Bomb,PAYER,10-19,2,3,3,2,2807,1.0,1.0,1.0,1.0,1.0
Bomb,NONPAYER,20-39,3,1,3,5,8151,0.4783,0.4689,0.0933,0.8352,0.4736
Bomb,NONPAYER,20-39,3,2,3,5,8151,0.951,1.0,0.999,1.0,0.9508
Bomb,NONPAYER,20-39,3,3,3,2,8147,1.0,1.0,1.0,1.0,1.0
Bomb,PAYER,20-39,3,1,3,3,2032,0.4875,0.4765,0.0605,0.8952,0.4844
Bomb,PAYER,20-39,3,2,3,3,2032,0.9458,1.0,1.0,1.0,0.9449
Bomb,PAYER,20-39,3,3,3,2,2030,1.0,1.0,1.0,1.0,1.0
Bomb,NONPAYER,40-99,4,1,3,5,4677,0.5,0.4984,0.2389,0.768,0.4986
Bomb,NONPAYER,40-99,4,2,3,5,4677,0.9584,1.0,0.9929,1.0,0.9583
Bomb,NONPAYER,40-99,4,3,3,2,4670,1.0,1.0,1.0,1.0,1.0
Bomb,PAYER,40-99,4,1,3,5,1118,0.5121,0.5304,0.1907,0.8372,0.5079
Bomb,PAYER,40-99,4,2,3,5,1118,0.9599,1.0,0.9968,1.0,0.9576
Bomb,PAYER,40-99,4,3,3,2,1113,1.0,1.0,1.0,1.0,1.0
Bomb,NONPAYER,100+,5,1,3,2,786,0.499,0.5197,0.2716,0.729,0.4998
Bomb,NONPAYER,100+,5,2,3,2,786,0.9604,1.0,0.9849,1.0,0.9613
Bomb,NONPAYER,100+,5,3,3,2,786,1.0,1.0,1.0,1.0,1.0
Bomb,PAYER,100+,5,1,3,2,173,0.5229,0.558,0.231,0.8269,0.5154
Bomb,PAYER,100+,5,2,3,2,173,0.9542,1.0,0.9812,1.0,0.9538
Bomb,PAYER,100+,5,3,3,2,173,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,NONPAYER,0-9,1,1,5,2,7437,0.3071,0.0578,0.0,0.5933,0.3071
Bombs Ballet,NONPAYER,0-9,1,2,5,2,7437,0.6269,0.7885,0.2152,1.0,0.6269
Bombs Ballet,NONPAYER,0-9,1,3,5,2,7437,0.962,1.0,1.0,1.0,0.9621
Bombs Ballet,NONPAYER,0-9,1,4,5,2,7437,0.9999,1.0,1.0,1.0,0.9999
Bombs Ballet,NONPAYER,0-9,1,5,5,1,19,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,PAYER,0-9,1,1,5,2,2755,0.3075,0.078,0.0,0.5996,0.3074
Bombs Ballet,PAYER,0-9,1,2,5,2,2755,0.6355,0.7865,0.2765,1.0,0.6356
Bombs Ballet,PAYER,0-9,1,3,5,2,2755,0.9628,1.0,1.0,1.0,0.9627
Bombs Ballet,PAYER,0-9,1,4,5,2,2755,0.9998,1.0,1.0,1.0,0.9998
Bombs Ballet,PAYER,0-9,1,5,5,1,26,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,NONPAYER,10-19,2,1,5,2,7565,0.3362,0.2148,0.0,0.6062,0.3364
Bombs Ballet,NONPAYER,10-19,2,2,5,2,7565,0.6472,0.7419,0.3789,1.0,0.6472
Bombs Ballet,NONPAYER,10-19,2,3,5,2,7565,0.9685,1.0,1.0,1.0,0.9685
Bombs Ballet,NONPAYER,10-19,2,4,5,2,7565,0.9999,1.0,1.0,1.0,0.9999
Bombs Ballet,NONPAYER,10-19,2,5,5,1,39,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,PAYER,10-19,2,1,5,2,2003,0.3379,0.2339,0.0,0.6063,0.3378
Bombs Ballet,PAYER,10-19,2,2,5,2,2003,0.6516,0.7549,0.3858,1.0,0.6517
Bombs Ballet,PAYER,10-19,2,3,5,2,2003,0.9633,1.0,1.0,1.0,0.9632
Bombs Ballet,PAYER,10-19,2,4,5,2,2003,0.9999,1.0,1.0,1.0,0.9999
Bombs Ballet,PAYER,10-19,2,5,5,1,15,1.0,1.0,1.0,1.0,1.0
Bombs Ballet,NONPAYER,20-39,3,1,5,2,5970,0.3509,0.2852,0.002,0.5763,0.351
Bombs Ballet,NONPAYER,20-39,3,2,5,2,5970,0.6608,0.7288,0.4615,0.9937,0.6608
Bombs Ballet,NONPAYER,20-39,3,3,5,2,5970,0.9676,1.0,1.0,1.0,0.9676
Bombs Ballet,NONPAYER,20-39,3,4,5,2,5970,0.9999,1.0,1.0,1.0,0.9999
