event_name,payer_flag,segment,seg_rank,n_instances,active_window_player_instances,avg_participants_per_instance,participation_rate,opt_in_rate,recipient_rate,position_p25,position_p50,position_p75,avg_final_token_balance,avg_bots,final_balance_p25,final_balance_p50,final_balance_p75
Bomb,NONPAYER,0-9,1,5,53157,1901.0,0.1788,0.3571,0.0,7,12,16,37.9,0.0,5.376120987703069,16.294809388319116,45.66815437362959
Bomb,PAYER,0-9,1,5,8555,537.0,0.3137,0.4089,0.0,8,14,17,42.4,0.0,3.7995069296375257,15.979811066126858,53.74221819645732
Bomb,NONPAYER,10-19,2,5,38895,2344.0,0.3014,0.3934,0.0,5,9,13,108.1,0.0,19.452898335315105,54.25065957010685,131.29574438395173
Bomb,PAYER,10-19,2,5,5436,425.0,0.3913,0.4172,0.0,5,9,14,132.7,0.0,21.07233827493262,77.6907403145378,178.1368203309693
Bomb,NONPAYER,20-39,3,5,31987,2344.0,0.3664,0.4063,0.0,3,6,10,204.6,0.0,41.82130725027272,108.12268494152048,257.832722336307
Bomb,PAYER,20-39,3,5,4016,323.0,0.4019,0.4151,0.0,2,6,10,317.9,0.0,70.70953436807098,181.64457478005866,397.69143428285855
Bomb,NONPAYER,40-99,4,5,18382,1472.0,0.4003,0.4095,0.0,2,4,7,432.8,0.0,93.37020741884123,236.81038663586392,535.1525151644485
Bomb,PAYER,40-99,4,5,2725,214.0,0.3919,0.3963,0.0,1,3,7,596.5,0.0,148.29344729344726,367.68643439584866,768.1429195804195
Bomb,NONPAYER,100+,5,5,2656,200.0,0.3769,0.3818,0.0,1,2,3,935.0,0.0,248.92048554282593,524.9912087912088,1147.3130699088142
Bomb,PAYER,100+,5,5,479,35.0,0.3653,0.3653,0.0,1,1,3,1052.4,0.0,288.3888888888889,660.0,1401.8333333333333
Bombs Ballet,NONPAYER,0-9,1,2,32387,3049.0,0.1883,0.3965,0.5066,,,,43.5,,14.014888183538218,25.715695329720738,51.212807846506294
Bombs Ballet,PAYER,0-9,1,2,4191,714.0,0.3407,0.4347,0.6548,,,,49.4,,12.42361111111111,26.55951265229616,49.661184210526315
Bombs Ballet,NONPAYER,10-19,2,2,21361,3487.0,0.3264,0.4098,0.6841,,,,105.6,,36.42848517761309,75.32953485272557,138.3522331949276
Bombs Ballet,PAYER,10-19,2,2,2633,549.0,0.4166,0.4406,0.8523,,,,127.9,,50.05515656420569,92.04149085794657,158.4802782086621
Bombs Ballet,NONPAYER,20-39,3,2,17063,3284.0,0.3849,0.4061,0.7369,,,,198.4,,72.16887403498642,152.15948010548985,285.0529991551675
Bombs Ballet,PAYER,20-39,3,2,2000,450.0,0.4495,0.462,0.8543,,,,249.9,,112.91022174148189,203.46930632705596,346.6296978796979
Bombs Ballet,NONPAYER,40-99,4,2,9385,1893.0,0.4033,0.4099,0.7873,,,,420.1,,179.593713501613,352.1031943484024,602.3601379394402
Bombs Ballet,PAYER,40-99,4,2,1346,313.0,0.4643,0.471,0.8336,,,,482.0,,255.13402576489528,437.3743975322923,676.8842424242424
Bombs Ballet,NONPAYER,100+,5,2,1252,253.0,0.4034,0.405,0.5941,,,,738.4,,442.01126373626374,672.49,978.4642857142858
Bombs Ballet,PAYER,100+,5,2,226,57.0,0.5,0.5,0.5575,,,,723.7,,496.5,708.2777777777778,997.75
Chuck,NONPAYER,0-9,1,2,24775,5491.0,0.4433,0.7572,0.0,7,12,16,51.7,0.0,13.560828666013649,35.04777295915706,73.11537084938371
Chuck,PAYER,0-9,1,2,3622,1498.0,0.8272,0.8951,0.0,8,13,16,57.3,0.0,18.038046984862277,41.992782734124056,81.0015634160641
Chuck,NONPAYER,10-19,2,2,17032,5724.0,0.6721,0.8256,0.0,4,8,11,134.5,0.0,47.35746442018677,103.05804275391253,187.37859531074486
Chuck,PAYER,10-19,2,2,2286,1005.0,0.8793,0.9033,0.0,5,8,12,154.8,0.0,61.38237259816207,126.17334501095985,204.81724412937527
Chuck,NONPAYER,20-39,3,2,13532,5365.0,0.7929,0.8533,0.0,3,5,8,250.0,0.0,83.62766472409696,191.50541963420517,361.203697665891
Chuck,PAYER,20-39,3,2,1768,801.0,0.9055,0.9202,0.0,2,5,9,303.2,0.0,133.12621182404035,246.9895256916996,400.356862745098
Chuck,NONPAYER,40-99,4,2,7513,3239.0,0.8622,0.8757,0.0,1,3,5,507.0,0.0,190.96731702732075,417.98289868238726,718.8294696969696
Chuck,PAYER,40-99,4,2,1182,544.0,0.9196,0.9306,0.0,1,2,5,569.0,0.0,251.51526251526252,461.043537414966,798.4973695286195
Chuck,NONPAYER,100+,5,2,1005,412.0,0.8189,0.8318,0.0,1,1,2,1059.5,0.0,457.7515432098766,938.2575202156333,1481.182132963989
Chuck,PAYER,100+,5,2,187,84.0,0.893,0.893,0.0,1,1,2,1184.5,0.0,608.0,1143.5625,1615.1666666666667
Dream Heist,NONPAYER,0-9,1,110,1061080,501.0,0.0519,0.1125,0.0001,,,,1.3,,0.0,0.9757455244120347,2.0012960646186633
Dream Heist,PAYER,0-9,1,110,174210,184.0,0.1162,0.1427,0.0001,,,,1.0,,0.0,0.01055814058285005,1.441911106256381
Dream Heist,NONPAYER,10-19,2,110,783875,586.0,0.0822,0.1293,0.0001,,,,2.8,,0.0,1.8031728182908848,4.050749937549795
Dream Heist,PAYER,10-19,2,110,113015,139.0,0.1349,0.1494,0.0005,,,,2.4,,0.0,0.849015596016209,4.0
Dream Heist,NONPAYER,20-39,3,110,646130,579.0,0.0985,0.1385,0.0001,,,,4.9,,0.0006368732735471643,3.2506130001753166,8.457811127379522
Dream Heist,PAYER,20-39,3,110,84440,108.0,0.1411,0.1529,0.0005,,,,4.9,,0.0,2.4887333718912665,8.725213171580581
Dream Heist,NONPAYER,40-99,4,110,374440,412.0,0.1212,0.1484,0.0002,,,,8.4,,0.023850731471282957,4.159221733789048,13.986268425873131
Dream Heist,PAYER,40-99,4,110,57490,78.0,0.1488,0.1597,0.0002,,,,8.6,,0.0,3.9256003352146984,14.728350864944256
Dream Heist,NONPAYER,100+,5,110,55055,70.0,0.14,0.1479,0.0003,,,,14.1,,2.5525574878092874,4.003720264499568,19.11562411615185
Dream Heist,PAYER,100+,5,110,10675,15.0,0.1511,0.159,0.0,,,,14.3,,0.18571428571428575,4.0,21.729029605263158
Dream Pass,NONPAYER,0-9,1,2,12002,0.0,0.0,0.0,,,,,,,,,
Dream Pass,PAYER,0-9,1,2,2410,0.0,0.0,0.0,,,,,,,,,
Dream Pass,NONPAYER,10-19,2,2,9818,0.0,0.0,0.0,,,,,,,,,
Dream Pass,PAYER,10-19,2,2,1594,0.0,0.0,0.0,,,,,,,,,
Dream Pass,NONPAYER,20-39,3,2,8180,0.0,0.0,0.0,,,,,,,,,
Dream Pass,PAYER,20-39,3,2,1178,0.0,0.0,0.0,,,,,,,,,
Dream Pass,NONPAYER,40-99,4,2,4940,0.0,0.0,0.0,,,,,,,,,
Dream Pass,PAYER,40-99,4,2,824,0.0,0.0,0.0,,,,,,,,,
Dream Pass,NONPAYER,100+,5,2,706,0.0,0.0,0.0,,,,,,,,,
Dream Pass,PAYER,100+,5,2,132,0.0,0.0,0.0,,,,,,,,,
Flash Race,NONPAYER,0-9,1,17,163865,824.0,0.0855,0.2982,0.0,3,4,6,5.1,0.0,2.123464727854033,4.406907592220444,8.178478591104136
Flash Race,PAYER,0-9,1,17,26845,302.0,0.1911,0.3784,0.0,3,5,6,5.0,0.0,2.066898148148148,4.28841456582633,7.809375816349445
Flash Race,NONPAYER,10-19,2,17,120129,1247.0,0.1764,0.3393,0.0,2,4,5,7.6,0.0,5.253525857643243,9.763414480314788,10.0
Flash Race,PAYER,10-19,2,17,17206,272.0,0.269,0.3882,0.0,2,4,5,7.7,0.0,5.152716624938846,9.870080500894455,10.0
