event_name,payer_flag,segment,seg_rank,event_day,instance_length_days,n_instances,n_participants,cum_token_share_mean,cum_token_share_p50,cum_token_share_p25,cum_token_share_p75,cum_levels_share_mean
Kite Festival,NONPAYER,0-9,1,1,4,2,4580,0.367,0.0,0.0,1.0,
Kite Festival,NONPAYER,0-9,1,2,4,2,4580,0.6735,1.0,0.0039,1.0,
Kite Festival,NONPAYER,0-9,1,3,4,2,4580,0.9832,1.0,1.0,1.0,
Kite Festival,NONPAYER,0-9,1,4,4,2,4580,0.9981,1.0,1.0,1.0,
Kite Festival,PAYER,0-9,1,1,4,2,1659,0.3495,0.0,0.0,1.0,
Kite Festival,PAYER,0-9,1,2,4,2,1659,0.6522,1.0,0.0001,1.0,
Kite Festival,PAYER,0-9,1,3,4,2,1659,0.9795,1.0,1.0,1.0,
Kite Festival,PAYER,0-9,1,4,4,2,1659,0.9985,1.0,1.0,1.0,
Kite Festival,NONPAYER,10-19,2,1,4,2,6136,0.3746,0.0055,0.0,1.0,
Kite Festival,NONPAYER,10-19,2,2,4,2,6136,0.6729,1.0,0.0728,1.0,
Kite Festival,NONPAYER,10-19,2,3,4,2,6136,0.9815,1.0,1.0,1.0,
Kite Festival,NONPAYER,10-19,2,4,4,2,6136,0.9989,1.0,1.0,1.0,
Kite Festival,PAYER,10-19,2,1,4,2,1833,0.3537,0.002,0.0,0.9997,
Kite Festival,PAYER,10-19,2,2,4,2,1833,0.6589,1.0,0.0382,1.0,
Kite Festival,PAYER,10-19,2,3,4,2,1833,0.979,1.0,1.0,1.0,
Kite Festival,PAYER,10-19,2,4,4,2,1833,0.999,1.0,1.0,1.0,
Kite Festival,NONPAYER,20-39,3,1,8,3,5889,0.3801,0.0885,0.0,0.9967,
Kite Festival,NONPAYER,20-39,3,2,8,3,5889,0.6719,0.9931,0.2271,1.0,
Kite Festival,NONPAYER,20-39,3,3,8,3,5889,0.9774,1.0,1.0,1.0,
Kite Festival,NONPAYER,20-39,3,4,8,3,5889,0.9992,1.0,1.0,1.0,
Kite Festival,NONPAYER,20-39,3,5,8,1,1,0.9998,0.9998,0.9998,0.9998,
Kite Festival,NONPAYER,20-39,3,6,8,1,1,0.9998,0.9998,0.9998,0.9998,
Kite Festival,NONPAYER,20-39,3,7,8,1,1,0.9998,0.9998,0.9998,0.9998,
Kite Festival,NONPAYER,20-39,3,8,8,1,1,1.0,1.0,1.0,1.0,
Kite Festival,PAYER,20-39,3,1,4,2,1600,0.3587,0.0319,0.0,0.993,
Kite Festival,PAYER,20-39,3,2,4,2,1600,0.6565,0.9926,0.186,1.0,
Kite Festival,PAYER,20-39,3,3,4,2,1600,0.9718,1.0,1.0,1.0,
Kite Festival,PAYER,20-39,3,4,4,2,1600,0.9998,1.0,1.0,1.0,
Kite Festival,NONPAYER,40-99,4,1,8,12,3890,0.3675,0.1888,0.0,0.8285,
Kite Festival,NONPAYER,40-99,4,2,8,12,3890,0.6554,0.8474,0.308,1.0,
Kite Festival,NONPAYER,40-99,4,3,8,12,3890,0.9731,1.0,1.0,1.0,
Kite Festival,NONPAYER,40-99,4,4,8,12,3890,0.9974,1.0,1.0,1.0,
Kite Festival,NONPAYER,40-99,4,5,8,10,12,0.6352,0.8076,0.3007,1.0,
Kite Festival,NONPAYER,40-99,4,6,8,10,12,0.6512,1.0,0.3007,1.0,
Kite Festival,NONPAYER,40-99,4,7,8,10,12,1.0,1.0,1.0,1.0,
Kite Festival,NONPAYER,40-99,4,8,8,10,12,1.0,1.0,1.0,1.0,
Kite Festival,PAYER,40-99,4,1,8,4,1088,0.3575,0.1913,0.0,0.705,
Kite Festival,PAYER,40-99,4,2,8,4,1088,0.6657,0.8395,0.3547,1.0,
Kite Festival,PAYER,40-99,4,3,8,4,1088,0.9746,1.0,1.0,1.0,
Kite Festival,PAYER,40-99,4,4,8,4,1088,0.9977,1.0,1.0,1.0,
Kite Festival,PAYER,40-99,4,5,8,2,2,0.3878,0.7757,0.0,0.7757,
Kite Festival,PAYER,40-99,4,6,8,2,2,0.9451,1.0,0.8902,1.0,
Kite Festival,PAYER,40-99,4,7,8,2,2,0.9451,1.0,0.8902,1.0,
Kite Festival,PAYER,40-99,4,8,8,2,2,1.0,1.0,1.0,1.0,
Kite Festival,NONPAYER,100+,5,1,8,5,741,0.3393,0.2276,0.0,0.5828,
Kite Festival,NONPAYER,100+,5,2,8,5,741,0.6407,0.7348,0.356,1.0,
Kite Festival,NONPAYER,100+,5,3,8,5,741,0.9753,1.0,1.0,1.0,
Kite Festival,NONPAYER,100+,5,4,8,5,741,0.999,1.0,1.0,1.0,
Kite Festival,NONPAYER,100+,5,5,8,3,3,0.7567,0.7438,0.5264,1.0,
Kite Festival,NONPAYER,100+,5,6,8,3,3,0.8586,0.8321,0.7438,1.0,
Kite Festival,NONPAYER,100+,5,7,8,3,3,0.8811,0.8995,0.7438,1.0,
Kite Festival,NONPAYER,100+,5,8,8,3,3,1.0,1.0,1.0,1.0,
Kite Festival,PAYER,100+,5,1,4,2,247,0.3322,0.2083,0.0,0.6019,
Kite Festival,PAYER,100+,5,2,4,2,247,0.6414,0.7575,0.3672,1.0,
Kite Festival,PAYER,100+,5,3,4,2,247,0.9663,1.0,1.0,1.0,
Kite Festival,PAYER,100+,5,4,4,2,247,1.0,1.0,1.0,1.0,
