engagement_segment,payer_flag,resource,unit,category,resource_earners,recipients,recipient_rate_pct,pct_of_resource_pool,mean_share_all_earners_pct,category_amount,resource_pool_amount,amount_per_earner,amount_per_recipient,category_amount_uncorrected,resource_pool_amount_uncorrected,amount_per_earner_uncorrected,player_days
A. 0,NONPAYER,Bomb,count,Other,5461,3510,64.27,33.99,52.47,4968.0,14616.0,0.9097,1.4154,4968.0,14616.0,0.9097,87321
A. 0,NONPAYER,Bomb,count,Rainbow Maker,5461,532,9.74,13.32,2.74,1947.0,14616.0,0.3565,3.6598,1947.0,14616.0,0.3565,87321
A. 0,NONPAYER,Bomb,count,Flock Flurry,5461,679,12.43,10.29,5.16,1504.0,14616.0,0.2754,2.215,1504.0,14616.0,0.2754,87321
A. 0,NONPAYER,Bomb,count,Hatchling Hideaway,5461,873,15.99,9.61,7.51,1404.0,14616.0,0.2571,1.6082,1404.0,14616.0,0.2571,87321
A. 0,NONPAYER,Bomb,count,Core,5461,732,13.4,8.07,8.48,1179.0,14616.0,0.2159,1.6107,1179.0,14616.0,0.2159,87321
A. 0,NONPAYER,Bomb,count,Flash Race,5461,595,10.9,6.44,3.67,942.0,14616.0,0.1725,1.5832,942.0,14616.0,0.1725,87321
A. 0,NONPAYER,Bomb,count,Team Race,5461,738,13.51,5.65,11.29,826.0,14616.0,0.1513,1.1192,826.0,14616.0,0.1513,87321
A. 0,NONPAYER,Bomb,count,Season Pass (Free),5461,494,9.05,4.6,3.48,672.0,14616.0,0.1231,1.3603,672.0,14616.0,0.1231,87321
A. 0,NONPAYER,Bomb,count,Target Day,5461,483,8.84,4.17,3.16,610.0,14616.0,0.1117,1.2629,610.0,14616.0,0.1117,87321
A. 0,NONPAYER,Bomb,count,Jigsaw,5461,185,3.39,1.31,0.29,191.0,14616.0,0.035,1.0324,191.0,14616.0,0.035,87321
A. 0,NONPAYER,Bomb,count,Photoshoot,5461,137,2.51,1.0,0.24,146.0,14616.0,0.0267,1.0657,146.0,14616.0,0.0267,87321
A. 0,NONPAYER,Bomb,count,Bomb's Ballet,5461,101,1.85,0.7,0.11,102.0,14616.0,0.0187,1.0099,102.0,14616.0,0.0187,87321
A. 0,NONPAYER,Bomb,count,Saga,5461,62,1.14,0.44,0.86,64.0,14616.0,0.0117,1.0323,64.0,14616.0,0.0117,87321
