start_date,end_date,ab_group,segment,payer_flag,seg_rank,source,source_sort,resource,unit,resource_sort,segment_players,segment_player_days,gain_players,total_amount,amount_per_segment_player,amount_per_player_day,amount_per_gain_player,gain_player_rate_pct
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,HC,HC,1,31059,127141,5510,343410.0,11.0567,2.701,62.3249,17.74
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,Slingshot,count,2,31059,127141,3447,7758.0,0.2498,0.061,2.2507,11.1
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,Shuffle,count,3,31059,127141,3344,7497.0,0.2414,0.059,2.2419,10.77
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,Comet,count,4,31059,127141,2103,3517.0,0.1132,0.0277,1.6724,6.77
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,Red,count,5,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,Chuck,count,6,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,Bomb,count,7,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,UL Bomb,minutes,8,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,UL Chuck,minutes,9,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,UL Red,minutes,10,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,Unlimited Lives,minutes,11,31059,127141,3801,113235.0,3.6458,0.8906,29.7908,12.24
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,SPT,count,12,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Ads,1,SPTx2,minutes,13,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,HC,HC,1,31059,127141,289,27750.0,0.8935,0.2183,96.0208,0.93
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,Slingshot,count,2,31059,127141,2416,2720.0,0.0876,0.0214,1.1258,7.78
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,Shuffle,count,3,31059,127141,787,847.0,0.0273,0.0067,1.0762,2.53
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,Comet,count,4,31059,127141,42,45.0,0.0014,0.0004,1.0714,0.14
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,Red,count,5,31059,127141,2,2.0,0.0001,0.0,1.0,0.01
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,Chuck,count,6,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,Bomb,count,7,31059,127141,1,1.0,0.0,0.0,1.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,UL Bomb,minutes,8,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,UL Chuck,minutes,9,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,UL Red,minutes,10,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,Unlimited Lives,minutes,11,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,SPT,count,12,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb Challenge,2,SPTx2,minutes,13,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb's Ballet,3,HC,HC,1,31059,127141,248,6475.0,0.2085,0.0509,26.1089,0.8
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb's Ballet,3,Slingshot,count,2,31059,127141,0,0.0,0.0,0.0,0.0,0.0
2026-07-27,2026-08-16,Control,0-9,NONPAYER,1,Bomb's Ballet,3,Shuffle,count,3,31059,127141,0,0.0,0.0,0.0,0.0,0.0
