start_date,end_date,ab_group,segment,payer_flag,source,HC,Slingshot,Shuffle,Comet,Red,Chuck,Bomb,UL Bomb,UL Chuck,UL Red,Unlimited Lives,SPT,SPTx2,segment_players,segment_player_days,seg_rank,source_sort
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Ads,11.0567,0.2498,0.2414,0.1132,0.0,0.0,0.0,0.0,0.0,0.0,3.6458,0.0,0.0,31059,127141,1,1
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Bomb Challenge,0.8935,0.0876,0.0273,0.0014,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31059,127141,1,2
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Bomb's Ballet,0.2085,0.0,0.0,0.0,0.0005,0.1897,0.0,0.0167,0.6265,1.1217,0.8785,0.0,0.0,31059,127141,1,3
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Chuck Challenge,0.0885,0.0017,0.0015,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31059,127141,1,4
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Core,13.9158,0.096,0.1536,0.0707,0.0512,0.0553,0.045,0.0,0.0,0.0,8.5821,287.8023,0.0,31059,127141,1,5
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Daily Gift,65.0856,0.6324,0.4014,0.0595,0.0,0.0,0.0,1.6527,3.259,3.4232,60.3701,0.0,0.0217,31059,127141,1,6
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Daily Night Sky Prize,12.0648,0.2159,0.0002,0.0001,0.7063,0.2158,0.0001,0.0,0.0003,0.0,30.7634,0.0,0.0,31059,127141,1,7
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Flock Flurry,0.0,0.1019,0.0,0.0,0.1019,0.1019,0.1019,0.0,0.0,0.0,70.9282,1.7418,0.0,31059,127141,1,8
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Hatchling Hideaway,1.3431,0.0061,0.0182,0.0029,0.4763,0.1134,0.0182,0.0,0.0293,0.0615,29.123,0.0,0.0,31059,127141,1,9
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Jigsaw,0.2922,0.0,0.0,0.0,0.0029,0.2833,0.0,0.0282,1.0345,1.8566,1.4508,0.0,0.0,31059,127141,1,10
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Kite Festival,0.322,0.005,0.002,0.0003,0.004,0.0026,0.0024,0.0,0.0,0.0,4.6941,2.4305,0.0,31059,127141,1,11
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Level Race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31059,127141,1,12
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Other,4.8452,0.1276,0.0599,0.0218,0.6086,0.599,0.5943,0.1024,0.1024,0.1029,4.1211,19.7469,0.0,31059,127141,1,13
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Photoshoot,0.2527,0.0,0.0,0.0,0.0008,0.0605,0.0,0.0005,0.0048,0.0367,0.9108,0.0,0.0,31059,127141,1,14
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Red Challenge,1.0464,0.1063,0.0307,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31059,127141,1,15
2026-07-27,2026-08-16,Control,0-9,NONPAYER,River Rush,2.7251,0.0008,0.0598,0.0402,0.0087,0.0198,0.0207,0.1875,0.3384,0.1468,0.1718,0.1436,0.1589,31059,127141,1,16
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Saga,31.4297,0.3301,0.4624,0.3614,0.8018,0.7894,0.4915,0.0,0.0,0.0,50.3379,0.0,0.0,31059,127141,1,17
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Season Pass (Free),9.4518,0.0274,0.1403,0.0,0.4854,0.5343,0.0972,0.0116,2.4263,3.858,18.1638,0.4208,0.0,31059,127141,1,18
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Target Day,1.4389,0.1621,0.0485,0.0022,0.0005,0.0005,0.0002,0.0,0.0,0.0,9.8793,0.0039,0.0,31059,127141,1,19
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Team Event,22.2489,0.2663,0.152,0.0584,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,31059,127141,1,20
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Team Race,28.849,0.188,0.2537,0.403,0.0424,0.0823,0.2253,0.0,0.0,0.0005,0.0,0.0019,0.0,31059,127141,1,21
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Flash Race,6.0023,0.0447,0.0441,0.0268,0.0095,0.02,0.0359,0.0,0.0,0.0,1.0482,7.8027,0.0,31059,127141,1,22
2026-07-27,2026-08-16,Control,0-9,NONPAYER,FlowerCoop,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.001,0.0,0.0,0.0,31059,127141,1,23
2026-07-27,2026-08-16,Control,0-9,NONPAYER,Rainbow Maker,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0016,0.0,31059,127141,1,24
