segment,payer_flag,round,claims_total,player_days,cum_streak_req,claim_rate_per_player_day,players_finished_pct,hc_granted_total,hc_per_claim
0-9,NONPAYER,1,,123899,,,,,
0-9,NONPAYER,2,37372,123899,,0.301633,50.01,373720.0,10.0
0-9,NONPAYER,3,10761,123899,,0.086853,21.49,161415.0,15.0
0-9,PAYER,1,,48681,,,,,
0-9,PAYER,2,13474,48681,,0.276781,60.01,134740.0,10.0
0-9,PAYER,3,4100,48681,,0.084222,28.87,61500.0,15.0
10-19,NONPAYER,1,61415,115585,,0.531341,70.88,614150.0,10.0
10-19,NONPAYER,2,2230,115585,,0.019293,6.69,78050.0,35.0
10-19,NONPAYER,3,385,115585,,0.003331,1.31,26950.0,70.0
10-19,PAYER,1,15648,30952,,0.505557,73.74,156480.0,10.0
10-19,PAYER,2,456,30952,,0.014732,5.33,15960.0,35.0
10-19,PAYER,3,82,30952,,0.002649,1.06,5740.0,70.0
20-39,NONPAYER,1,38937,91644,,0.424872,61.09,584055.0,15.0
20-39,NONPAYER,2,1549,91644,,0.016902,5.83,116175.0,75.0
20-39,NONPAYER,3,520,91644,,0.005674,2.14,72800.0,140.0
20-39,PAYER,1,8324,21613,,0.385139,61.84,124860.0,15.0
20-39,PAYER,2,314,21613,,0.014528,4.99,23550.0,75.0
20-39,PAYER,3,115,21613,,0.005321,1.82,16100.0,140.0
40-99,NONPAYER,1,2618,55047,,0.047559,15.54,157080.0,60.0
40-99,NONPAYER,2,819,55047,,0.014878,5.07,131040.0,160.0
40-99,NONPAYER,3,384,55047,,0.006976,2.58,115200.0,300.0
40-99,PAYER,1,596,13510,,0.044115,14.8,35760.0,60.0
40-99,PAYER,2,179,13510,,0.013249,4.79,28640.0,160.0
40-99,PAYER,3,89,13510,,0.006588,2.54,26700.0,300.0
100+,NONPAYER,1,133,7937,,0.016757,3.61,16625.0,125.0
100+,NONPAYER,2,36,7937,,0.004536,1.26,12600.0,350.0
100+,NONPAYER,3,7,7937,,0.000882,0.32,3500.0,500.0
100+,PAYER,1,20,1998,,0.01001,2.43,2500.0,125.0
100+,PAYER,2,7,1998,,0.003504,0.69,2450.0,350.0
100+,PAYER,3,3,1998,,0.001502,0.35,1500.0,500.0
