segment,payer_flag,seg_rank,unique_players,player_days,dau,payer_rate_pct,active_days_mean,active_days_p25,active_days_p50,active_days_p75,active_days_p90,weekday_active_rate,weekend_active_rate,mon_active_rate,tue_active_rate,wed_active_rate,thu_active_rate,fri_active_rate,sat_active_rate,sun_active_rate,login_streak_mean,login_streak_p50,login_streak_p75,login_streak_p90,sessions_per_active_day,saga_completes_per_active_day,levels_played_per_active_day,levels_completed_per_active_day,minutes_per_active_day,daily_gift_claim_rate_pct,gift_hc_free_per_active_day,daily_max_streak_mean,daily_max_streak_p50,daily_max_streak_p75,daily_max_streak_p90
0-9,NONPAYER,1,47765,129761,6179.0,6.24,2.5,1,1,2,6,0.1216,0.1127,0.1286,0.1264,0.1212,0.1177,0.1139,0.113,0.1124,1.63,1,1,3,,4.9722,9.2098,4.9868,17.8428,72.98,8.0784,4.03,3,5,8
0-9,PAYER,1,3181,25183,1199.0,6.24,7.71,2,6,13,17,0.3732,0.3519,0.3891,0.3785,0.3714,0.3638,0.363,0.35,0.3538,4.1,2,5,10,,5.5437,18.2325,5.7063,35.216,91.55,13.6497,3.79,2,5,8
10-19,NONPAYER,2,25505,105456,5022.0,6.92,4.06,1,2,5,12,0.1968,0.1852,0.205,0.2021,0.1983,0.1919,0.1867,0.185,0.1855,2.61,1,3,6,,13.046,20.7482,13.218,38.6461,90.74,10.4991,9.52,8,13,18
10-19,PAYER,2,1897,16507,786.0,6.92,8.42,2,7,14,19,0.4099,0.3783,0.4361,0.4231,0.4163,0.3883,0.3857,0.3827,0.3739,5.06,3,7,13,,13.6011,32.6738,14.3002,58.2099,90.88,14.1913,8.88,7,12,19
20-39,NONPAYER,3,19870,90356,4303.0,7.19,4.91,1,3,6,14,0.2361,0.2284,0.2385,0.2409,0.2374,0.2351,0.2286,0.2286,0.2283,3.39,2,4,8,,24.8445,34.8194,25.0613,60.933,89.34,11.2156,16.14,13,22,32
20-39,PAYER,3,1539,12544,597.0,7.19,8.15,2,6,14,19,0.3957,0.3687,0.4128,0.4133,0.3894,0.3857,0.3773,0.3645,0.373,5.35,3,7,14,,26.3236,46.8936,27.4202,79.6842,89.45,13.6324,16.07,12,22,35
40-99,NONPAYER,4,10454,54005,2572.0,9.96,5.75,2,4,8,15,0.2708,0.2813,0.2607,0.2646,0.2726,0.2786,0.2777,0.2784,0.2842,4.42,3,6,10,,51.586,69.0483,51.6601,111.7734,87.12,12.37,27.81,20,39,58
40-99,PAYER,4,1156,8767,417.0,9.96,8.7,3,7,13,19,0.4133,0.4159,0.4268,0.4103,0.3953,0.4115,0.4227,0.4161,0.4158,6.54,5,9,16,,53.8549,83.6224,54.811,131.4784,86.79,14.8392,27.8,18,39,63
100+,NONPAYER,5,1207,7484,356.0,14.34,5.21,2,3,6,15,0.2393,0.2709,0.2096,0.2237,0.2383,0.259,0.2657,0.2706,0.2712,4.56,3,5,12,,125.2652,164.9209,123.8744,238.4606,86.68,11.733,50.32,36,64,109
100+,PAYER,5,202,1533,73.0,14.34,7.18,2,5,10,18,0.3267,0.3804,0.3086,0.3251,0.3152,0.3317,0.3531,0.3812,0.3795,5.77,4,7,14,,123.1344,173.8995,122.6269,248.7096,86.37,12.5734,49.3,32,64,115
