segment,payer_flag,resource,action,spend_context,spend_events,spender_days,amount_spent,amount_spent_free,amount_spent_paid,spend_per_event,amount_per_active_player_day,pct_of_resource_spent
0-9,NONPAYER,HC,extra_moves,level_movesplus10,1275,1236,127500.0,127405.0,95.0,100.0,0.9826,2.99
0-9,NONPAYER,HC,extra_moves,level_movesplus15,1007,990,100700.0,100700.0,0.0,100.0,0.776,2.36
0-9,NONPAYER,HC,extra_moves,level_movesplus20,752,740,75200.0,75130.0,70.0,100.0,0.5795,1.76
0-9,NONPAYER,HC,extra_moves,level_movesplus25,568,562,56800.0,56800.0,0.0,100.0,0.4377,1.33
0-9,NONPAYER,HC,extra_moves,level_movesplus30,451,450,45100.0,45100.0,0.0,100.0,0.3476,1.06
0-9,NONPAYER,HC,extra_moves,level_movesplus35,336,329,33600.0,33600.0,0.0,100.0,0.2589,0.79
0-9,NONPAYER,HC,extra_moves,level_movesplus40,259,257,25900.0,25900.0,0.0,100.0,0.1996,0.61
0-9,NONPAYER,HC,extra_moves,level_movesplus45,211,210,21100.0,21100.0,0.0,100.0,0.1626,0.49
0-9,NONPAYER,HC,extra_moves,level_movesplus5,32790,24468,3279100.0,3278730.0,370.0,100.003,25.2703,76.91
0-9,NONPAYER,HC,extra_moves,level_movesplus50,1482,1456,148200.0,148200.0,0.0,100.0,1.1421,3.48
0-9,NONPAYER,HC,level_movesplus5,level_movesplus5,34,15,3220.0,3220.0,0.0,94.7059,0.0248,0.08
0-9,NONPAYER,HC,purchase_lives,level_lives,2085,1644,104250.0,71247.0,33003.0,50.0,0.8034,2.45
0-9,NONPAYER,HC,purchase_lives,map_lives,751,679,37550.0,23529.0,14021.0,50.0,0.2894,0.88
0-9,NONPAYER,HC,purchase_powerup,level_powerup,372,320,75500.0,75500.0,0.0,202.957,0.5818,1.77
0-9,NONPAYER,HC,purchase_pre_level_booster,level_pre_level_booster,62,59,8750.0,8750.0,0.0,141.129,0.0674,0.21
0-9,NONPAYER,HC,purchase_pre_level_booster,map_pre_level_booster,831,563,120050.0,81890.0,38160.0,144.4645,0.9252,2.82
0-9,NONPAYER,HC,team_created,(none),8,8,1200.0,1200.0,0.0,150.0,0.0092,0.03
0-9,PAYER,HC,extra_moves,level_movesplus10,512,499,51200.0,46435.0,4765.0,100.0,2.0331,3.16
0-9,PAYER,HC,extra_moves,level_movesplus15,519,508,51900.0,45918.0,5982.0,100.0,2.0609,3.2
0-9,PAYER,HC,extra_moves,level_movesplus20,410,404,41000.0,36478.0,4522.0,100.0,1.6281,2.53
0-9,PAYER,HC,extra_moves,level_movesplus25,315,309,31500.0,28424.0,3076.0,100.0,1.2508,1.95
0-9,PAYER,HC,extra_moves,level_movesplus30,249,248,24900.0,22334.0,2566.0,100.0,0.9888,1.54
0-9,PAYER,HC,extra_moves,level_movesplus35,177,176,17700.0,15479.0,2221.0,100.0,0.7029,1.09
0-9,PAYER,HC,extra_moves,level_movesplus40,173,171,17300.0,15480.0,1820.0,100.0,0.687,1.07
0-9,PAYER,HC,extra_moves,level_movesplus45,130,129,13000.0,11399.0,1601.0,100.0,0.5162,0.8
0-9,PAYER,HC,extra_moves,level_movesplus5,11971,7961,1197100.0,992362.0,204738.0,100.0,47.536,73.92
0-9,PAYER,HC,extra_moves,level_movesplus50,1170,1141,117000.0,106391.0,10609.0,100.0,4.646,7.22
0-9,PAYER,HC,purchase_lives,level_lives,486,415,24300.0,12000.0,12300.0,50.0,0.9649,1.5
0-9,PAYER,HC,purchase_lives,map_lives,330,273,16500.0,8723.0,7777.0,50.0,0.6552,1.02
