segment,payer_flag,seg_rank,players,player_days,attempts_per_day_mean,wins_per_day_mean,win_rate_mean,max_streak_per_day_p25,max_streak_per_day_p50,max_streak_per_day_p75,max_streak_per_day_p90,mean_streak_len,p_continue_after_win
0-9,NONPAYER,1,31030,123730,13.318,5.6639,0.4253,2,3,6,9,2.7601,0.7089
0-9,PAYER,1,8655,48540,17.9728,5.5581,0.3092,1,2,5,9,2.337,0.623
10-19,NONPAYER,2,27764,115405,25.0604,13.7772,0.5498,4,8,13,20,4.3421,0.8039
10-19,PAYER,2,7269,30895,31.9575,13.6371,0.4267,3,6,12,20,3.6248,0.7516
20-39,NONPAYER,3,21317,91536,39.6253,26.4158,0.6666,7,13,23,35,6.2083,0.8597
20-39,PAYER,3,5262,21555,47.783,26.532,0.5553,6,11,22,35,4.9963,0.8166
40-99,NONPAYER,4,11314,54979,72.4479,53.2028,0.7344,11,21,39,65,7.9779,0.8855
40-99,PAYER,4,2796,13506,84.6254,54.5349,0.6444,9,18,38,65,6.061,0.8438
100+,NONPAYER,5,2216,7931,162.857,123.8382,0.7604,19,34,74,127,8.8321,0.8915
100+,PAYER,5,576,1998,174.0285,121.1517,0.6962,14,27,59,119,6.4156,0.8482
