event_date,is_total,segment,ab_group,players_active,player_days,players_assigned,activation_rate,d1_retention,d3_retention,d7_retention,d7_observable_players,sessions_per_active,session_minutes_per_active,levels_attempted_per_active,levels_completed_per_active,level_win_rate,iap_revenue,iap_revenue_per_active,payers,conversion_rate,arppu,hc_purchased_per_active
2026-08-02,False,A. 0,Control,5266,5266,27203,0.1936,0.1381,0.1148,0.1236,18253,,24.1809,13.3399,8.9394,0.6701,479.11,0.091,74,1.4052,6.4745,7.7668
2026-08-02,False,A. 0,Variant,5384,5384,27539,0.1955,0.1313,0.1105,0.1127,18476,,24.0775,13.1694,9.1051,0.6914,433.62,0.0805,73,1.3559,5.94,7.4108
2026-08-02,False,B. 1-9,Control,7596,7596,39581,0.1919,0.2262,0.1767,0.1762,27778,,20.4186,10.9929,5.1207,0.4658,111.64,0.0147,42,0.5529,2.6581,1.3033
2026-08-02,False,B. 1-9,Variant,7387,7387,39581,0.1866,0.2262,0.1736,0.1752,27620,,19.6732,10.189,4.9308,0.4839,155.25,0.021,64,0.8664,2.4258,1.7395
2026-08-02,False,C. 10-19,Control,5534,5534,21411,0.2585,0.4035,0.3105,0.3033,15500,,40.1172,22.7732,13.6162,0.5979,385.25,0.0696,104,1.8793,3.7043,6.0354
2026-08-02,False,C. 10-19,Variant,5541,5541,21239,0.2609,0.4032,0.3138,0.3016,15234,,38.7203,21.3378,12.8473,0.6021,297.84,0.0538,105,1.895,2.8366,4.7825
2026-08-02,False,D. 20-39,Control,4544,4544,15704,0.2894,0.5119,0.3919,0.3519,11109,,61.5541,36.4952,25.7722,0.7062,505.94,0.1113,110,2.4208,4.5995,9.5158
2026-08-02,False,D. 20-39,Variant,4663,4663,16191,0.288,0.5168,0.3901,0.3552,11468,,59.517,34.427,24.2406,0.7041,563.3,0.1208,130,2.7879,4.3331,9.9818
2026-08-02,False,E. 40-99,Control,3033,3033,10000,0.3033,0.7032,0.5503,0.454,6768,,106.9787,67.8513,51.1569,0.754,712.84,0.235,106,3.4949,6.7249,19.667
2026-08-02,False,E. 40-99,Variant,2790,2790,9900,0.2818,0.6946,0.5545,0.4594,6633,,110.7176,70.271,52.0982,0.7414,717.96,0.2573,112,4.0143,6.4104,24.6595
2026-08-02,False,F. 100+,Control,448,448,2021,0.2217,0.8508,0.6749,0.5294,1241,,231.1429,166.3527,123.029,0.7396,116.82,0.2608,26,5.8036,4.4931,29.2411
2026-08-02,False,F. 100+,Variant,442,442,1988,0.2223,0.8714,0.6754,0.5317,1166,,236.6253,167.2172,124.9683,0.7473,164.13,0.3713,24,5.4299,6.8387,40.0452
2026-08-03,False,A. 0,Control,4074,4074,27203,0.1498,0.1381,0.1148,0.1236,18253,,4.6237,1.7931,0.1694,0.0945,4.47,0.0011,2,0.0491,2.235,0.0491
2026-08-03,False,A. 0,Variant,3994,3994,27539,0.145,0.1313,0.1105,0.1127,18476,,4.5344,1.8418,0.0949,0.0515,25.93,0.0065,1,0.025,25.93,1.0015
2026-08-03,False,B. 1-9,Control,7328,7328,39581,0.1851,0.2262,0.1767,0.1762,27778,,22.4102,11.6296,5.3294,0.4583,85.33,0.0116,44,0.6004,1.9393,1.0917
2026-08-03,False,B. 1-9,Variant,7260,7260,39581,0.1834,0.2262,0.1736,0.1752,27620,,22.4947,11.5372,5.4977,0.4765,125.41,0.0173,55,0.7576,2.2802,1.3981
2026-08-03,False,C. 10-19,Control,5776,5776,21411,0.2698,0.4035,0.3105,0.3033,15500,,43.0026,23.4782,14.2116,0.6053,287.81,0.0498,102,1.7659,2.8217,4.1551
2026-08-03,False,C. 10-19,Variant,5893,5893,21239,0.2775,0.4032,0.3138,0.3016,15234,,44.6749,23.9007,14.2366,0.5957,584.38,0.0992,138,2.3418,4.2346,7.5428
2026-08-03,False,D. 20-39,Control,4815,4815,15704,0.3066,0.5119,0.3919,0.3519,11109,,68.9848,39.1844,28.5034,0.7274,907.26,0.1884,139,2.8868,6.5271,13.8318
2026-08-03,False,D. 20-39,Variant,4900,4900,16191,0.3026,0.5168,0.3901,0.3552,11468,,70.5546,39.768,27.9233,0.7022,541.6,0.1105,138,2.8163,3.9246,10.7653
2026-08-03,False,E. 40-99,Control,3169,3169,10000,0.3169,0.7032,0.5503,0.454,6768,,117.8857,73.3626,56.2843,0.7672,782.34,0.2469,119,3.7551,6.5743,20.3376
2026-08-03,False,E. 40-99,Variant,3032,3032,9900,0.3063,0.6946,0.5545,0.4594,6633,,127.6945,77.7833,57.8094,0.7432,551.21,0.1818,111,3.6609,4.9659,16.2269
2026-08-03,False,F. 100+,Control,435,435,2021,0.2152,0.8508,0.6749,0.5294,1241,,236.8912,168.1494,130.2207,0.7744,202.84,0.4663,30,6.8966,6.7613,46.6667
2026-08-03,False,F. 100+,Variant,417,417,1988,0.2098,0.8714,0.6754,0.5317,1166,,239.6946,171.3933,125.0767,0.7298,76.26,0.1829,22,5.2758,3.4664,19.6643
2026-08-04,False,A. 0,Control,4495,4495,27203,0.1652,0.1381,0.1148,0.1236,18253,,14.8132,8.1793,5.4919,0.6714,243.13,0.0541,29,0.6452,8.3838,4.4605
2026-08-04,False,A. 0,Variant,4433,4433,27539,0.161,0.1313,0.1105,0.1127,18476,,18.2167,9.9754,6.7243,0.6741,190.14,0.0429,37,0.8346,5.1389,3.6995
2026-08-04,False,B. 1-9,Control,7437,7437,39581,0.1879,0.2262,0.1767,0.1762,27778,,20.1296,10.5625,5.2517,0.4972,131.51,0.0177,63,0.8471,2.0875,1.506
2026-08-04,False,B. 1-9,Variant,7344,7344,39581,0.1855,0.2262,0.1736,0.1752,27620,,21.351,11.0832,5.1934,0.4686,92.89,0.0126,56,0.7625,1.6587,1.2868
2026-08-04,False,C. 10-19,Control,5808,5808,21411,0.2713,0.4035,0.3105,0.3033,15500,,38.7345,21.3633,13.8199,0.6469,408.15,0.0703,108,1.8595,3.7792,6.0348
2026-08-04,False,C. 10-19,Variant,5839,5839,21239,0.2749,0.4032,0.3138,0.3016,15234,,43.2905,23.4179,13.8781,0.5926,369.89,0.0633,114,1.9524,3.2446,5.5575
