segment,ab_group,resource_category,resource,unit,players,gainers,spenders,gain_total,spend_total,gain_per_gainer,spend_per_spender,gain_p50,gain_p75,gain_p90,gain_p99,spend_p50,spend_p75,spend_p90,spend_p99,net_p10,net_p50,net_p90,gain_top1_share,gain_top5_share,gain_top10_share,spend_top1_share,spend_top5_share,spend_top10_share,spend_events_per_spender
A. 0,Control,Avatar,Avatar,items,27015,519,0,647.0,0,1.2466,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,19.78,21.33,,,,
A. 0,Control,currency,HardCoin,coins,27015,11716,1989,1850095.0,1253450,157.9118,630,0.01205759689823617,31.793383203801252,113.9801729809919,1212.0175459558789,0.0,0.0,0.0,1260.9999999999957,0.0,0.0,82.52469670598217,2.13,5.08,7.36,3.11,7.38,10.68,6.4545
A. 0,Control,dream_pass_tokens,DreamPassToken,items,27015,2851,0,268670.0,0,94.2371,,0.0,0.0,28.330369982884733,218.16945812807836,0.0,0.0,0.0,0.0,0.0,0.0,28.330369982884733,0.62,2.38,4.23,,,,
A. 0,Control,life,life,items,27015,1002,9403,7574.0,255832,7.5589,27,0.0,0.0,0.0,7.611706175007241,0.0,1.2309250135743715,6.930620507637016,270.26356902356815,-6.567942306982315,0.0,0.0,1.19,5.02,8.99,0.71,2.75,4.69,27.2075
A. 0,Control,life,liferefill,items,27015,411,0,4850.0,0,11.8005,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98,17.53,26.29,,,,
A. 0,Control,orb,Movie_Magic,items,27015,5,0,6.0,0,1.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,100.0,100.0,,,,
A. 0,Control,orb,Reds_Greatest_Challenge,items,27015,151,0,151.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,3.31,6.62,,,,
A. 0,Control,powerup,powerup_1,items,27015,2940,1443,7768.0,5880,2.6422,4,0.0,0.0,0.9222581827063996,6.848274410774367,0.0,0.0,0.0,6.775420875420843,0.0,0.0,0.014142295940637286,0.9,2.83,4.49,1.04,3.62,5.85,4.0748
A. 0,Control,powerup,powerup_2,items,27015,6341,2230,17460.0,11159,2.7535,5,0.0,0.1118875242404655,1.693790356753149,10.814871794871754,0.0,0.0,0.0021684234912544885,11.164276094276076,0.0,0.0,1.0,0.65,2.17,3.29,1.0,2.81,4.51,5.004
A. 0,Control,powerup,powerup_3,items,27015,5070,2334,13263.0,9629,2.616,4,0.0,0.0,1.0,8.737357954545416,0.0,0.0,0.09280124276895432,9.794949494949465,0.0,0.0,1.0,0.58,2.04,3.1,0.87,3.0,4.53,4.1255
A. 0,Control,pre_level_booster,pre_level_booster_1,items,27015,4614,2979,8972.0,8002,1.9445,2,0.0,0.0,1.0,5.165441176470547,0.0,0.0,1.0,6.369292929292907,0.0,0.0,1.0,0.67,2.06,3.07,1.12,3.49,5.52,2.6861
A. 0,Control,pre_level_booster,pre_level_booster_2,items,27015,5375,3033,10375.0,8158,1.9302,2,0.0,0.0,1.0,5.132137345678984,0.0,0.0,1.0,6.135555555555546,0.0,0.0,1.0,0.58,1.8,2.67,1.1,3.62,5.63,2.6897
A. 0,Control,pre_level_booster,pre_level_booster_3,items,27015,3871,2122,8123.0,5965,2.0984,2,0.0,0.0,1.0,5.8293149636432995,0.0,0.0,0.0,5.804713804713776,0.0,0.0,0.7035591803099893,0.76,2.4,3.67,0.91,3.27,5.53,2.811
A. 0,Control,season_pass_multiplier_2x,SeasonPassMultiplier2x,minutes,27015,122,0,8875.0,0,72.7459,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,20.96,41.24,,,,
A. 0,Control,season_pass_tokens,SeasonPassToken,items,27015,12,0,540.0,0,45.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.52,51.85,88.89,,,,
A. 0,Control,ul_pre_booster,UnlimitedBooster1,minutes,27015,2579,1756,91890.0,32685,35.6301,18,0.0,0.0,3.2884924334080408,75.62692778260691,0.0,0.0,0.0,34.60427609427591,0.0,0.0,0.2421356335724706,1.58,4.14,6.74,3.26,8.34,12.23,18.6133
A. 0,Control,ul_pre_booster,UnlimitedBooster2,minutes,27015,1841,1291,70710.0,28754,38.4085,22,0.0,0.0,0.0,61.69899764150938,0.0,0.0,0.0,31.681616161616045,0.0,0.0,0.0,1.95,4.86,7.96,3.54,9.03,12.93,22.2727
A. 0,Control,ul_pre_booster,UnlimitedBooster3,minutes,27015,982,828,35685.0,19054,36.3391,23,0.0,0.0,0.0,30.526489361702104,0.0,0.0,0.0,19.49111111111101,0.0,0.0,0.0,3.59,9.54,15.44,5.3,13.59,18.54,23.0121
A. 0,Control,unlimited_lives,UnlimitedLives,minutes,27015,10487,2,1234295.0,6,117.6976,3,0.0,34.866711709783544,114.85163411078442,694.2236842105254,0.0,0.0,0.0,0.0,0.0,0.0,114.7437181226896,0.37,1.34,2.07,83.33,100.0,100.0,3.0
A. 0,Variant,Avatar,Avatar,items,27329,573,0,632.0,0,1.103,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,8.07,9.65,,,,
A. 0,Variant,currency,HardCoin,coins,27329,12095,1787,2084017.95,1486100,172.3041,831,0.0732378649712726,20.539907649269956,97.87952742525468,1755.2986431334814,0.0,0.0,0.0,1613.9054834054803,0.0,0.0,70.35264915295674,0.87,3.61,5.97,1.33,5.29,8.66,8.4757
A. 0,Variant,dream_pass_tokens,DreamPassToken,items,27329,3112,0,569628.56,0,183.0426,,0.0,0.0,35.794168755258426,578.1915576127802,0.0,0.0,0.0,0.0,0.0,0.0,35.794168755258426,0.33,1.58,2.99,,,,
A. 0,Variant,life,life,items,27329,1041,9716,7995.0,255655,7.6801,26,0.0,0.0,0.0,8.110355807340024,0.0,1.2860580252042657,7.283973642727297,265.1477777777772,-6.95454877684663,0.0,0.0,1.13,5.22,9.24,0.97,3.2,5.47,26.3128
A. 0,Variant,life,liferefill,items,27329,380,0,4575.0,0,12.0395,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,22.3,29.29,,,,
A. 0,Variant,orb,Movie_Magic,items,27329,2,0,2.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,,,,
A. 0,Variant,orb,Reds_Greatest_Challenge,items,27329,181,0,181.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,2.76,5.52,,,,
A. 0,Variant,powerup,powerup_1,items,27329,2984,1452,16284.0,8096,5.4571,5,0.0,0.0,0.9852114389831501,7.060984126984124,0.0,0.0,0.0,6.801924963924948,0.0,0.0,0.01877965342897078,10.14,28.37,39.86,10.5,22.78,26.12,5.5758
A. 0,Variant,powerup,powerup_2,items,27329,6121,2319,26007.0,12443,4.2488,5,0.0,0.06406476375668889,1.4843571041051353,11.918623774509793,0.0,0.0,0.033918054449510605,11.808225108225095,0.0,0.0,1.0,6.76,18.25,25.53,2.72,6.86,8.74,5.3657
A. 0,Variant,powerup,powerup_3,items,27329,4764,2274,21457.0,13577,4.504,5,0.0,0.0,1.0,9.859004524886863,0.0,0.0,0.06520183486238645,10.154158730158722,0.0,0.0,1.0,7.95,21.78,30.59,22.24,27.47,29.24,5.9705
A. 0,Variant,pre_level_booster,pre_level_booster_1,items,27329,5043,3247,12423.0,11782,2.4634,3,0.0,0.0,1.0,9.030407407407404,0.0,0.0,1.0,8.846580086580078,0.0,0.0,1.0,0.27,1.23,2.19,11.81,15.39,17.99,3.6286
A. 0,Variant,pre_level_booster,pre_level_booster_2,items,27329,5622,3166,11907.0,10701,2.1179,3,0.0,0.015261831271358198,1.0,7.0,0.0,0.0,1.0,7.308317460317446,0.0,0.0,1.0,0.27,1.18,2.06,13.27,17.21,19.61,3.38
A. 0,Variant,pre_level_booster,pre_level_booster_3,items,27329,3798,2166,8388.0,7923,2.2085,3,0.0,0.0,1.0,6.033664596273281,0.0,0.0,0.0,6.423936507936487,0.0,0.0,0.4313705302164627,0.38,1.73,3.04,17.82,20.74,22.77,3.6579
A. 0,Variant,pre_level_booster,unknown,items,27329,0,1,0.0,2,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,100.0,100.0,2.0
A. 0,Variant,season_pass_multiplier_2x,SeasonPassMultiplier2x,minutes,27329,575,0,19130.0,0,33.2696,,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,14.11,24.05,,,,
A. 0,Variant,season_pass_tokens,SeasonPassToken,items,27329,8,0,440.0,0,55.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.09,72.73,100.0,,,,
A. 0,Variant,ul_pre_booster,UnlimitedBooster1,minutes,27329,2575,1809,82885.0,29469,32.1883,16,0.0,0.0,2.477087995309532,64.57409708737855,0.0,0.0,0.0,31.07336507936501,0.0,0.0,0.17592513955864847,0.98,3.67,6.36,1.53,6.02,9.58,16.2902
A. 0,Variant,ul_pre_booster,UnlimitedBooster2,minutes,27329,1914,1384,72835.0,29129,38.0538,21,0.0,0.0,0.0,62.096452412740746,0.0,0.0,0.0,33.65702164502158,0.0,0.0,0.0,1.13,4.3,7.3,1.57,5.87,9.5,21.047
A. 0,Variant,ul_pre_booster,UnlimitedBooster3,minutes,27329,1067,880,38860.0,20471,36.4199,23,0.0,0.0,0.0,37.363793103448124,0.0,0.0,0.0,22.899382395382354,0.0,0.0,0.0,2.06,7.72,13.1,2.3,8.54,13.33,23.2625
A. 0,Variant,unlimited_lives,UnlimitedLives,minutes,27329,10560,3,1293177.0,4,122.4599,1,0.0,27.394271572379836,100.48765294428172,861.6949076305212,0.0,0.0,0.0,0.0,0.0,0.0,100.26632597667941,0.33,1.04,1.76,50.0,100.0,100.0,1.3333
