event_date,player_days,avg_hc_gain,p10_hc_gain,p25_hc_gain,p50_hc_gain,p75_hc_gain,p90_hc_gain,p95_hc_gain,p99_hc_gain,max_hc_gain,pct_zero_gain,pct_1_99,pct_100_499,pct_500_999,pct_1000_plus,avg_hc_gain_uncorrected,p99_hc_gain_uncorrected,max_hc_gain_uncorrected
2026-07-25,1262,732.02,276.6254298642534,429.14031867531054,613.0537340619309,834.8811094819159,1205.3877005347592,1454.0541666666657,3555.0,10375.0,0.32,1.9,31.62,50.24,15.93,732.02,3555,10375
2026-07-26,1390,631.33,138.25925925925927,307.3945540598685,529.7887161583558,737.3748473748474,1094.8505050505053,1465.1190476190475,3840.0,9615.0,0.72,6.47,38.78,41.29,12.73,631.33,3840,9615
2026-07-27,1343,758.63,353.9474047133304,486.34405294823665,650.3624738716259,878.039919187144,1184.357280553996,1528.14433688048,2996.609999999995,6395.0,0.07,0.89,25.91,56.14,16.98,761.66,2997,6395
2026-07-28,1356,702.17,238.66167588120683,405.88625302806105,602.1188043694026,823.9955535291814,1122.4475072172972,1394.036531347663,3138.520000000018,15678.0,0.15,3.69,32.23,50.0,13.94,706.29,3100,15678
2026-07-29,1345,630.44,218.31234807972777,350.83142761752134,518.5248018659289,717.1162919611195,993.3272176508024,1285.538878606571,3625.1249999999554,12096.0,0.67,2.9,43.27,43.42,9.74,731.64,4804,67020
2026-07-30,1291,789.89,267.49554112554114,463.64476186405165,665.3775186863401,951.6248098114144,1315.3835533031952,1611.8715089485445,3742.0,8720.0,0.31,2.63,26.65,48.49,21.92,1162.6,12742,78215
2026-07-31,1259,747.74,288.8176470588236,432.3719035202086,619.2171384548426,849.5570868617598,1190.2505562239735,1446.8806122448975,3610.0,9700.0,0.08,1.03,32.33,49.09,17.47,774.99,4235,14660
2026-08-01,1316,687.09,220.8944976076555,388.05182569296386,587.2793028322441,833.6961462450593,1156.7933333333335,1493.198571428572,2830.0,8590.0,0.46,2.43,36.17,45.14,15.81,687.09,2830,8590
2026-08-02,1406,632.7,169.21697478991595,333.20556609740663,529.995414817803,756.8418598944914,1049.3583333333336,1330.0300653594775,3114.050000000003,9480.0,0.21,4.34,41.18,42.75,11.52,632.7,3114,9480
2026-08-03,1359,782.49,348.6978302692097,480.6020299437226,659.8668132671297,920.3163099756474,1261.0337135777843,1597.5730932203387,2980.0,13120.0,0.0,1.1,26.34,52.32,20.24,786.08,2980,13120
2026-08-04,1301,719.91,204.50355870535225,405.14555886488046,622.0095861635958,869.3489428029276,1205.1471062271064,1513.365921288015,3345.0,7525.0,0.08,3.77,30.98,47.35,17.83,723.7,3345,7525
2026-08-05,1317,633.43,218.92571428571432,357.6490566037736,530.0424912547179,781.9034301225089,1089.2466638874869,1373.9337169674627,2796.2649999999967,5635.0,0.3,2.96,41.38,42.07,13.21,710.94,3991,32496
2026-08-06,1314,682.36,193.0682056568454,380.84589150068376,587.8259999999999,805.0710180089786,1109.8351648351652,1429.3547649832883,3194.0,10593.0,0.23,5.02,33.18,48.33,13.24,956.43,10245,71396
2026-08-07,1349,708.54,285.6050537634409,429.38966746794875,594.8477502635704,812.5165625,1132.3834101382495,1469.4631029986958,3068.214999999998,10218.0,0.3,0.96,33.06,50.48,15.2,735.58,3305,17366
2026-08-08,1465,667.58,241.7875457875458,398.0351410658307,582.0645946645947,806.8472222222223,1109.916666666667,1350.825,2650.8374999999955,7395.0,0.27,2.32,35.36,47.99,14.06,667.58,2651,7395
2026-08-09,1534,607.53,192.08973905351615,318.3466182600511,504.59243320206775,716.7901234567901,993.6430303030306,1259.581699346405,2697.725000000002,24160.0,0.26,3.26,45.18,41.72,9.58,607.53,2698,24160
2026-08-10,1562,749.88,332.0424489795918,481.250634226244,642.5854248082212,860.6796328671328,1192.2484848484848,1466.1070833333322,3162.3249999999857,10225.0,0.13,0.96,26.38,55.57,16.97,753.34,3162,10225
