event_date,segment,ab_group,players,avg_hc_gain_total,avg_hc_gain_free,avg_hc_gain_paid,avg_hc_spent,avg_hc_net,total_hc_gain,avg_hc_excess_removed,avg_hc_gain_total_uncorrected
2026-07-25,A. 0,Control,3516,84.75,68.66,16.08,65.1,19.64,297970.0,0.0,84.75
2026-07-25,A. 0,Variant,3543,94.01,83.67,10.34,70.07,23.95,333094.0,0.0,94.01
2026-07-25,B. 1-9,Control,5414,54.61,52.94,1.67,51.45,3.16,295651.0,0.0,54.61
2026-07-25,B. 1-9,Variant,5277,48.19,46.52,1.67,47.96,0.22,254277.0,0.0,48.19
2026-07-25,C. 10-19,Control,4641,100.28,95.21,5.07,98.97,1.31,465400.0,0.0,100.28
2026-07-25,C. 10-19,Variant,4609,90.31,85.35,4.96,89.75,0.56,416249.0,0.0,90.31
2026-07-25,D. 20-39,Control,3662,178.45,166.58,11.88,167.41,11.05,653498.0,0.0,178.45
2026-07-25,D. 20-39,Variant,3723,147.65,140.46,7.19,152.73,-5.08,549697.0,0.0,147.65
2026-07-25,E. 40-99,Control,2485,344.9,320.49,24.41,331.25,13.65,857065.0,0.0,344.9
2026-07-25,E. 40-99,Variant,2297,294.25,271.85,22.4,295.82,-1.57,675895.0,0.0,294.25
2026-07-25,F. 100+,Control,388,702.56,662.74,39.82,696.65,5.91,272593.0,0.0,702.56
2026-07-25,F. 100+,Variant,328,595.92,511.31,84.6,620.88,-24.97,195461.0,0.0,595.92
2026-07-26,A. 0,Control,3763,55.65,37.7,17.95,50.48,5.17,209404.0,0.0,55.65
2026-07-26,A. 0,Variant,3659,64.67,54.07,10.6,61.36,3.31,236627.0,0.0,64.67
2026-07-26,B. 1-9,Control,5612,48.08,46.16,1.92,46.51,1.58,269843.0,0.0,48.08
2026-07-26,B. 1-9,Variant,5609,40.09,38.31,1.77,43.9,-3.82,224841.0,0.0,40.09
2026-07-26,C. 10-19,Control,4973,86.24,81.28,4.97,87.6,-1.36,428884.0,0.0,86.24
2026-07-26,C. 10-19,Variant,4901,73.63,69.11,4.52,80.68,-7.05,360839.0,0.0,73.63
2026-07-26,D. 20-39,Control,3937,152.1,140.71,11.39,156.46,-4.36,598818.0,0.0,152.1
2026-07-26,D. 20-39,Variant,4058,128.21,117.0,11.21,145.11,-16.9,520286.0,0.0,128.21
2026-07-26,E. 40-99,Control,2767,276.77,254.0,22.77,297.4,-20.63,765811.0,0.0,276.77
2026-07-26,E. 40-99,Variant,2655,231.29,207.69,23.6,248.95,-17.65,614078.0,0.0,231.29
2026-07-26,F. 100+,Control,432,613.03,554.58,58.45,759.14,-146.12,264828.0,0.0,613.03
2026-07-26,F. 100+,Variant,380,487.32,417.98,69.34,684.34,-197.02,185183.0,0.0,487.32
2026-07-27,A. 0,Control,4432,23.77,23.77,0.0,2.79,20.98,105335.0,0.0,23.77
2026-07-27,A. 0,Variant,4578,21.54,18.68,2.86,2.53,19.01,98605.73015873015,0.02,21.55
2026-07-27,B. 1-9,Control,8636,51.94,50.76,1.18,40.74,11.2,448533.0,0.0,51.94
2026-07-27,B. 1-9,Variant,8526,48.08,46.97,1.11,40.57,7.51,409896.2435881114,0.61,48.69
2026-07-27,C. 10-19,Control,6552,110.72,106.44,4.28,97.76,12.96,725407.0,0.0,110.72
2026-07-27,C. 10-19,Variant,6444,111.71,106.67,5.04,98.33,13.38,719864.961859783,1.95,113.66
2026-07-27,D. 20-39,Control,4866,196.1,181.1,15.0,178.02,18.08,954220.0,0.0,196.1
2026-07-27,D. 20-39,Variant,5217,197.11,186.73,10.39,174.19,22.92,1028347.0799689672,3.32,200.44
2026-07-27,E. 40-99,Control,3113,371.51,348.18,23.32,351.4,20.11,1156499.0,0.0,371.51
2026-07-27,E. 40-99,Variant,3070,356.15,335.29,20.86,332.1,24.05,1093382.8186529526,5.29,361.44
2026-07-27,F. 100+,Control,447,751.94,720.06,31.88,735.57,16.37,336119.0,0.0,751.94
2026-07-27,F. 100+,Variant,391,619.62,587.91,31.71,593.22,26.4,242272.90004214205,10.38,630.01
2026-07-28,A. 0,Control,4791,32.21,27.4,4.81,20.03,12.18,154314.0,0.0,32.21
2026-07-28,A. 0,Variant,4796,31.72,28.23,3.48,24.29,7.43,152111.31768833182,5.31,37.02
2026-07-28,B. 1-9,Control,8266,41.06,39.9,1.17,40.85,0.22,339443.0,0.0,41.06
2026-07-28,B. 1-9,Variant,8086,34.37,33.06,1.31,36.65,-2.28,277926.99408924405,0.65,35.02
2026-07-28,C. 10-19,Control,6351,94.31,89.13,5.19,90.44,3.87,598988.0,0.0,94.31
2026-07-28,C. 10-19,Variant,6300,77.08,72.06,5.02,85.83,-8.75,485632.5807327242,1.82,78.9
2026-07-28,D. 20-39,Control,4936,172.06,161.37,10.69,165.96,6.1,849290.0,0.0,172.06
2026-07-28,D. 20-39,Variant,5062,130.02,120.79,9.23,140.2,-10.18,658154.9598337397,2.38,132.4
2026-07-28,E. 40-99,Control,3112,347.83,327.51,20.32,322.73,25.1,1082457.2857142857,0.0,347.84
2026-07-28,E. 40-99,Variant,2933,233.68,213.12,20.56,257.6,-23.92,685393.3241257435,3.07,236.75
2026-07-28,F. 100+,Control,476,711.97,672.27,39.71,676.37,35.61,338899.0,0.0,711.97
2026-07-28,F. 100+,Variant,416,493.05,460.96,32.09,533.89,-40.84,205109.6197512109,13.43,506.48
2026-07-29,A. 0,Control,5103,26.64,19.9,6.74,25.53,1.1,135935.0,0.0,26.64
2026-07-29,A. 0,Variant,5000,48.93,44.21,4.72,42.14,6.79,244634.3906761098,40.81,89.74
2026-07-29,B. 1-9,Control,8116,37.89,36.08,1.81,37.97,-0.08,307546.0,0.0,37.89
2026-07-29,B. 1-9,Variant,7878,32.22,31.07,1.16,32.66,-0.44,253832.44230769228,0.76,32.98
2026-07-29,C. 10-19,Control,6108,79.49,74.55,4.94,82.78,-3.3,485499.0,0.0,79.49
2026-07-29,C. 10-19,Variant,6103,73.47,66.25,7.23,77.92,-4.45,448417.68516777334,1.35,74.82
2026-07-29,D. 20-39,Control,4708,142.3,130.62,11.68,153.47,-11.17,669947.0,0.0,142.3
2026-07-29,D. 20-39,Variant,4917,132.49,125.17,7.32,140.3,-7.81,651456.5760782629,1.72,134.21
2026-07-29,E. 40-99,Control,3077,267.02,245.4,21.63,311.8,-44.77,821632.0,0.0,267.02
2026-07-29,E. 40-99,Variant,3033,300.02,268.73,31.29,281.09,18.93,909970.7976578944,6.68,306.71
2026-07-29,F. 100+,Control,460,551.25,517.99,33.26,616.41,-65.16,253577.0,0.0,551.25
2026-07-29,F. 100+,Variant,438,575.51,554.5,21.0,541.67,33.84,252071.47536138035,310.77,886.28
2026-07-30,A. 0,Control,5321,62.97,56.02,6.95,38.8,24.18,335089.0,0.0,62.97
2026-07-30,A. 0,Variant,5121,56.58,51.27,5.31,42.68,13.9,289739.0633280743,132.85,189.42
2026-07-30,B. 1-9,Control,7790,37.39,36.34,1.05,37.81,-0.42,291265.0,0.0,37.39
2026-07-30,B. 1-9,Variant,7415,31.16,30.01,1.15,33.28,-2.12,231063.1666666667,0.66,31.83
2026-07-30,C. 10-19,Control,5750,92.33,87.5,4.83,85.63,6.7,530922.0,0.0,92.33
2026-07-30,C. 10-19,Variant,5733,69.95,64.08,5.87,73.05,-3.1,401031.10498273646,1.01,70.96
2026-07-30,D. 20-39,Control,4564,176.44,164.22,12.22,164.38,12.05,805261.0,0.0,176.44
2026-07-30,D. 20-39,Variant,4703,128.5,119.02,9.48,131.05,-2.56,604327.7303578774,1.54,130.04
2026-07-30,E. 40-99,Control,3059,369.29,349.69,19.6,338.56,30.73,1129666.7142857143,0.0,369.29
2026-07-30,E. 40-99,Variant,2956,252.09,237.76,14.33,244.2,7.89,745177.0929979425,4.77,256.86
2026-07-30,F. 100+,Control,429,774.41,732.1,42.31,668.41,105.99,332220.0,0.0,774.41
2026-07-30,F. 100+,Variant,409,588.98,557.69,31.3,546.82,42.16,240893.64835595834,1176.45,1765.43
2026-07-31,A. 0,Control,5125,64.06,54.81,9.25,41.64,22.42,328320.0,0.0,64.06
2026-07-31,A. 0,Variant,5127,82.62,75.22,7.4,52.17,30.46,423614.46459161857,12.6,95.23
2026-07-31,B. 1-9,Control,7662,60.32,58.42,1.9,46.06,14.25,462156.0,0.0,60.32
2026-07-31,B. 1-9,Variant,7427,51.01,49.5,1.51,40.68,10.33,378873.37728937727,0.09,51.1
2026-07-31,C. 10-19,Control,5613,119.31,113.53,5.78,99.15,20.16,669683.0,0.0,119.31
2026-07-31,C. 10-19,Variant,5650,103.98,99.6,4.38,87.84,16.14,587478.3267259058,0.07,104.05
2026-07-31,D. 20-39,Control,4544,189.68,180.12,9.56,166.91,22.77,861903.0,0.0,189.68
2026-07-31,D. 20-39,Variant,4645,179.77,170.23,9.54,151.97,27.8,835036.6501668267,0.13,179.91
2026-07-31,E. 40-99,Control,3036,332.28,312.77,19.52,318.74,13.54,1008813.0,0.0,332.28
2026-07-31,E. 40-99,Variant,2886,353.51,334.01,19.51,317.07,36.45,1020240.7693202188,2.35,355.87
2026-07-31,F. 100+,Control,422,687.95,663.9,24.05,633.41,54.54,290315.0,0.0,687.95
2026-07-31,F. 100+,Variant,428,689.36,635.04,54.32,606.43,82.94,295046.91931808245,80.16,769.52
2026-08-01,A. 0,Control,5311,63.76,53.27,10.49,44.34,19.41,338613.0,0.0,63.76
2026-08-01,A. 0,Variant,5384,54.74,47.97,6.77,47.45,7.29,294718.0,0.0,54.74
2026-08-01,B. 1-9,Control,7518,49.2,47.62,1.58,43.43,5.77,369903.0,0.0,49.2
2026-08-01,B. 1-9,Variant,7366,36.71,35.65,1.06,37.81,-1.1,270373.0714285714,0.01,36.72
2026-08-01,C. 10-19,Control,5512,100.49,95.77,4.73,94.88,5.61,553919.0,0.0,100.49
2026-08-01,C. 10-19,Variant,5387,78.53,72.39,6.14,81.67,-3.14,423048.23809523805,0.02,78.55
2026-08-01,D. 20-39,Control,4529,175.13,164.09,11.04,162.85,12.28,793149.0,0.0,175.13
2026-08-01,D. 20-39,Variant,4650,136.13,125.87,10.26,141.27,-5.14,633008.2857142857,0.01,136.14
2026-08-01,E. 40-99,Control,2964,328.79,311.5,17.29,301.37,27.43,974541.0,0.0,328.79
2026-08-01,E. 40-99,Variant,2785,265.56,242.79,22.76,270.63,-5.07,739576.0,0.02,265.58
2026-08-01,F. 100+,Control,441,688.44,652.05,36.39,676.64,11.8,303604.0,0.0,688.44
2026-08-01,F. 100+,Variant,407,494.36,465.49,28.87,505.41,-11.05,201203.0,0.0,494.36
2026-08-02,A. 0,Control,5266,40.78,33.02,7.77,35.38,5.41,214769.0,0.0,40.78
2026-08-02,A. 0,Variant,5384,52.13,44.72,7.41,43.85,8.28,280655.0,0.0,52.13
2026-08-02,B. 1-9,Control,7596,42.99,41.69,1.3,42.64,0.35,326570.0,0.0,42.99
2026-08-02,B. 1-9,Variant,7387,33.6,31.86,1.74,36.63,-3.02,248231.66666666666,0.01,33.61
2026-08-02,C. 10-19,Control,5534,89.63,83.6,6.04,87.94,1.69,496030.0,0.0,89.63
2026-08-02,C. 10-19,Variant,5541,72.85,68.07,4.78,75.92,-3.07,403649.5,0.01,72.86
2026-08-02,D. 20-39,Control,4544,151.7,142.19,9.52,156.08,-4.38,689336.0,0.0,151.7
2026-08-02,D. 20-39,Variant,4663,131.48,121.5,9.98,134.63,-3.16,613080.0,0.01,131.48
2026-08-02,E. 40-99,Control,3033,275.56,255.89,19.67,282.34,-6.79,835770.0,0.0,275.56
2026-08-02,E. 40-99,Variant,2790,260.35,235.69,24.66,262.37,-2.02,726372.7142857143,0.04,260.39
2026-08-02,F. 100+,Control,448,581.41,552.17,29.24,553.35,28.06,260470.0,0.0,581.41
2026-08-02,F. 100+,Variant,442,514.5,474.45,40.05,505.77,8.73,227409.0,0.0,514.5
