event_date,ab_group,avg_completions_7d_bucket,players,pct_of_dau,total_revenue,arpdau,payer_rate_pct,arppu,avg_time_spent_mins,avg_level_attempts,avg_level_completes,pass_rate,oom_rate,foom_rate,avg_apc,avg_hc_gain_total,avg_hc_gain_total_minus_saga,avg_hc_gain_saga,avg_hc_gain_paid,avg_hc_gain_free,avg_hc_spent,hc_spent_per_attempt,paid_pct_of_total_gain,p50_hc_balance,p75_hc_balance,p90_hc_balance,avg_player_performance,avg_pr_last_50_levels,avg_daily_streak,p25_daily_streak,p50_daily_streak,p75_daily_streak,p90_daily_streak,pct_player_days_passed_R1,pct_player_days_passed_R2,pct_player_days_passed_R3,d1_churn_rate,actual_liveops_active_rate_pct,actual_pct_finished_R1,actual_pct_finished_R2,actual_pct_finished_R3,avg_booster_gain_total,avg_booster_gain_paid,avg_booster_gain_free,avg_booster_spend,booster_spend_per_attempt,hc_clean_players,hc_excluded_players,avg_hc_gain_CORE,avg_hc_gain_META,avg_hc_gain_ADS,avg_hc_gain_PURCHASE,avg_hc_gain_OTHER,p99_daily_streak,p99_hc_balance,avg_prelevel_gain_total,avg_prelevel_gain_paid,avg_prelevel_gain_free,avg_prelevel_spend,prelevel_spend_per_attempt,avg_ingame_gain_total,avg_ingame_gain_paid,avg_ingame_gain_free,avg_ingame_spend,ingame_spend_per_attempt,avg_red_gain_total,avg_red_gain_paid,avg_red_gain_free,avg_red_spend,avg_chuck_gain_total,avg_chuck_gain_paid,avg_chuck_gain_free,avg_chuck_spend,avg_bomb_gain_total,avg_bomb_gain_paid,avg_bomb_gain_free,avg_bomb_spend,avg_star_gain_total,avg_star_gain_paid,avg_star_gain_free,avg_star_spend,avg_slingshot_gain_total,avg_slingshot_gain_paid,avg_slingshot_gain_free,avg_slingshot_spend,avg_shuffle_gain_total,avg_shuffle_gain_paid,avg_shuffle_gain_free,avg_shuffle_spend,avg_spt_gain_total,spt_gainer_rate_pct,avg_spt_gain_per_gainer,avg_spt_gain_CORE,avg_spt_gain_RAINBOW,avg_spt_gain_OFFER,avg_spt_gain_EVENT,avg_spt_gain_OTHER,hc_players_over_config,avg_hc_excess_removed,avg_hc_gain_total_uncorrected,avg_spt_excess_removed,avg_spt_gain_RAINBOW_uncorrected
2026-07-27,Control,A. 0,4318,15.82,0.0,0.0,0.0,,4.11,1.58,0.16,0.0991,0.9155,0.5449,10.0929,23.57,23.32,0.25,0.0,23.57,2.81,1.7755,0.0,200,385,2962,49.7155,0.5911,,,,,,0.0,0.0,0.0,0.6237,,,,,1.0373,0.0063,1.031,0.2992,0.1888,4318,0,10.67,11.97,0.84,0.0,0.1,,27057,0.4514,0.0049,0.4465,0.1881,0.1187,0.5859,0.0014,0.5845,0.1112,0.0701,0.1563,0.0028,0.1535,0.0706,0.1688,0.0014,0.1674,0.0739,0.1262,0.0007,0.1255,0.0435,0.1429,0.0,0.1429,0.0181,0.2429,0.0007,0.2422,0.0514,0.2001,0.0007,0.1994,0.0417,4.45,5.03,88.6,2.71,0.0,1.14,0.6,0.0,0,0.0,23.57,0.0,0.0
2026-07-27,Control,B. 1-9,8408,30.8,118.98,0.0142,0.52,2.7041,18.65,9.92,4.99,0.5028,0.5981,0.3424,1.9889,51.25,43.46,7.79,1.2,50.05,40.07,4.0397,2.33,200,294,1029,49.5469,0.5937,3.92,2,3,5,8,75.76,34.07,5.2,0.5645,,,,,2.8437,0.0441,2.7996,2.1497,0.2167,8408,0,25.1,22.64,1.78,1.2,0.53,15,17026,1.6243,0.0307,1.5936,1.2104,0.122,1.2194,0.0134,1.206,0.9393,0.0947,0.5827,0.0094,0.5733,0.4811,0.7041,0.0087,0.6954,0.4635,0.3375,0.0126,0.3249,0.2658,0.3164,0.0031,0.3133,0.2086,0.4773,0.0057,0.4716,0.4001,0.4258,0.0046,0.4211,0.3306,67.32,59.07,113.95,63.13,0.0,3.16,1.03,0.0,0,0.0,51.25,0.0,0.0
2026-07-27,Control,C. 10-19,6323,23.16,355.46,0.0562,1.79,3.1457,40.13,22.11,13.52,0.6112,0.5117,0.3088,1.6362,110.2,85.96,24.23,4.23,105.97,97.08,4.3902,3.84,247,402,1237,51.7513,0.6662,9.66,4,9,13,18,67.52,28.25,2.88,0.3788,,,,,6.5192,0.1129,6.4063,4.9125,0.2222,6323,0,58.05,43.7,3.13,4.22,1.09,34,21248,3.8363,0.0759,3.7604,2.6655,0.1205,2.6829,0.037,2.6459,2.247,0.1016,1.4316,0.0263,1.4053,1.0538,1.6592,0.0153,1.6438,1.0348,0.7455,0.0343,0.7112,0.5769,0.6053,0.0074,0.5978,0.5402,1.0514,0.016,1.0354,0.8743,1.0263,0.0136,1.0127,0.8325,158.53,79.84,198.57,151.38,0.0,3.94,3.21,0.0,0,0.0,110.2,0.0,0.0
2026-07-27,Control,D. 20-39,4762,17.45,810.12,0.1701,2.86,5.9568,62.5,35.94,26.01,0.7237,0.4058,0.2658,1.3818,194.5,145.26,49.23,14.52,179.98,175.12,4.8722,7.47,294,480,1141,53.2659,0.7333,16.94,7,14,24,33,61.55,21.78,3.72,0.3087,,,,,10.6436,0.2587,10.3849,7.9584,0.2214,4762,0,104.43,70.38,3.0,14.52,2.17,60,17918,6.278,0.1562,6.1218,4.219,0.1174,4.3656,0.1025,4.2631,3.7394,0.104,2.1703,0.0493,2.121,1.5779,2.8205,0.0449,2.7755,1.7476,1.2873,0.0619,1.2253,0.8935,0.9015,0.0269,0.8746,0.8322,1.7075,0.0422,1.6653,1.4454,1.7566,0.0334,1.7232,1.4618,291.41,91.85,317.26,280.24,0.05,5.44,5.68,0.0,1,0.0,194.5,0.0,0.05
2026-07-27,Control,E. 40-99,3044,11.15,729.96,0.2398,3.94,6.083,120.43,73.8,55.81,0.7562,0.3552,0.2333,1.3225,367.79,257.89,109.89,20.15,347.63,348.18,4.7176,5.48,381,635,1570,55.2403,0.751,30.76,12,24,42,63,45.07,11.53,2.14,0.1643,,,,,18.2789,0.3223,17.9566,14.7559,0.1999,3044,0,209.88,128.01,4.24,20.15,5.5,119,18618,10.6015,0.1577,10.4438,7.4767,0.1013,7.6774,0.1646,7.5128,7.2792,0.0986,3.9402,0.0457,3.8945,2.7684,4.6659,0.0506,4.6153,3.1557,1.9954,0.0614,1.934,1.5526,1.6616,0.0532,1.6084,1.7057,2.8328,0.066,2.7668,2.6468,3.183,0.0453,3.1376,2.9267,639.6,99.34,643.83,622.53,0.0,8.12,8.95,0.0,0,0.0,367.79,0.0,0.0
2026-07-27,Control,F. 100+,441,1.62,129.73,0.2942,6.12,4.8048,247.04,169.1,129.78,0.7675,0.3191,0.2023,1.3029,754.03,482.2,271.83,32.09,721.94,736.51,4.3554,4.26,470,783,1510,57.4282,0.7907,60.36,24,43,82,133,26.08,4.54,0.68,0.0975,,,,,36.6848,0.4807,36.2041,32.8571,0.1943,441,0,473.38,229.5,5.68,32.09,13.38,244,13513,21.542,0.1837,21.3583,16.9116,0.1,15.1429,0.2971,14.8458,15.9456,0.0943,8.263,0.0567,8.2063,6.3741,9.3968,0.0431,9.3537,7.0975,3.8821,0.0839,3.7982,3.4399,3.3946,0.0612,3.3333,4.4603,5.4603,0.1383,5.322,5.6236,6.288,0.0975,6.1905,5.8617,1476.82,99.77,1480.18,1450.12,0.0,12.83,13.86,0.0,0,0.0,754.03,0.0,0.0
2026-07-27,Variant,A. 0,4459,16.23,96.12,0.0216,0.04,48.06,3.8,1.5,0.11,0.0712,0.9403,0.6331,14.0504,20.72,20.61,0.11,2.94,17.78,2.57,1.712,14.18,200,303,1926,49.4995,0.5721,,,,,,0.0,0.0,0.0,0.6575,0.34,0.34,0.07,0.02,0.9942,0.0713,0.9229,0.2945,0.1963,4459,0,6.38,10.64,0.64,2.94,0.11,,24935,0.4355,0.035,0.4005,0.1812,0.1208,0.5586,0.0363,0.5223,0.1133,0.0755,0.1529,0.0119,0.1411,0.0724,0.1722,0.0112,0.161,0.0718,0.1103,0.0119,0.0985,0.037,0.131,0.0112,0.1198,0.0191,0.2339,0.0132,0.2207,0.0478,0.1938,0.0119,0.1819,0.0464,11.4,4.55,250.44,9.71,0.27,0.83,0.58,0.0,476,0.02,20.73,0.01,0.29
2026-07-27,Variant,B. 1-9,8273,30.12,103.04,0.0125,0.64,1.9442,19.66,10.35,5.07,0.4901,0.6088,0.3391,2.0405,47.1,44.37,2.73,0.99,46.12,39.34,3.8019,2.09,200,279,954,49.4988,0.5956,4.03,2,3,5,8,75.63,34.88,5.89,0.5635,28.89,28.89,14.05,4.62,3.4154,0.0265,3.389,2.2856,0.2209,8273,0,16.3,27.8,1.61,0.99,0.4,16,15629,2.1001,0.0167,2.0834,1.3029,0.1259,1.3154,0.0098,1.3056,0.9827,0.095,1.0241,0.0077,1.0163,0.6062,0.7776,0.0019,0.7757,0.4609,0.2984,0.007,0.2914,0.2358,0.2669,0.0012,0.2657,0.1912,0.6758,0.0048,0.671,0.4727,0.3727,0.0037,0.3689,0.3187,48.31,58.37,82.76,37.66,7.33,2.37,0.94,0.0,1514,0.62,47.72,0.58,7.91
2026-07-27,Variant,C. 10-19,6235,22.7,351.06,0.0563,1.67,3.3756,43.85,23.3,14.34,0.6153,0.5086,0.3028,1.6251,110.55,101.43,9.12,4.87,105.68,97.2,4.1714,4.4,232,367,1104,51.6093,0.6734,10.21,5,10,14,19,69.59,31.15,3.79,0.3867,37.75,37.75,23.18,11.31,7.8245,0.0957,7.7288,5.5408,0.2378,6235,0,38.52,63.43,2.63,4.87,1.1,36,19071,4.345,0.0592,4.2858,2.9601,0.127,3.4796,0.0366,3.443,2.5808,0.1108,1.9785,0.0257,1.9528,1.3129,1.6581,0.0122,1.6459,1.0704,0.7084,0.0213,0.6871,0.5767,0.5596,0.0077,0.5519,0.4948,1.856,0.0125,1.8435,1.2191,1.064,0.0164,1.0476,0.8669,122.56,79.41,154.35,85.58,30.63,3.65,2.7,0.0,1981,2.0,112.55,2.73,33.35
2026-07-27,Variant,D. 20-39,5093,18.54,645.21,0.1267,2.49,5.0804,69.66,39.21,28.06,0.7158,0.4101,0.2588,1.3971,196.67,180.9,15.78,10.36,186.32,172.84,4.4081,5.27,273,445,1108,53.2363,0.72,17.85,7,15,25,36,62.75,24.35,4.73,0.3108,38.94,38.94,22.82,12.19,12.3036,0.1704,12.1331,8.6705,0.2211,5093,0,69.14,111.92,3.27,10.36,1.99,64,17861,6.5154,0.0978,6.4176,4.2368,0.1081,5.7881,0.0726,5.7155,4.4337,0.1131,2.6825,0.0351,2.6474,1.7273,2.5125,0.0263,2.4862,1.5924,1.3204,0.0363,1.2841,0.9171,1.0399,0.02,1.0198,1.0139,2.8302,0.0269,2.8033,1.873,1.9181,0.0257,1.8924,1.5468,218.45,92.3,236.67,147.86,60.5,5.16,4.93,0.0,1964,3.38,200.06,5.98,66.48
