event_date,ab_group,avg_completions_7d_bucket,source_detail,resource,unit,segment_players,gain_players,gain_player_rate_pct,total_amount,avg_amount_per_segment_player,avg_amount_per_gain_player
2026-06-02,Control,A. 0,dreamheist_event,Chuck,count,10416,1,0.01,1.0,0.0001,1.0
2026-06-02,Control,A. 0,dreamheist_event,HC Free,HC,10416,3,0.03,30.0,0.0029,10.0
2026-06-02,Control,A. 0,dreamheist_event,HC Total,HC,10416,3,0.03,30.0,0.0029,10.0
2026-06-02,Control,A. 0,dreamheist_event,Slingshot,count,10416,1,0.01,1.0,0.0001,1.0
2026-06-02,Control,A. 0,dreamheist_event,Unlimited Lives,minutes,10416,2,0.02,40.0,0.0038,20.0
2026-06-02,Control,B. 1-9,dreamheist_event,HC Free,HC,23861,16,0.07,115.0,0.0048,7.1875
2026-06-02,Control,B. 1-9,dreamheist_event,HC Total,HC,23861,16,0.07,115.0,0.0048,7.1875
2026-06-02,Control,B. 1-9,dreamheist_event,Unlimited Lives,minutes,23861,16,0.07,320.0,0.0134,20.0
2026-06-02,Control,C. 10-19,dreamheist_event,HC Free,HC,16448,9,0.05,70.0,0.0043,7.7778
2026-06-02,Control,C. 10-19,dreamheist_event,HC Total,HC,16448,9,0.05,70.0,0.0043,7.7778
2026-06-02,Control,C. 10-19,dreamheist_event,Unlimited Lives,minutes,16448,9,0.05,180.0,0.0109,20.0
2026-06-02,Control,D. 20-39,dreamheist_event,HC Free,HC,9086,3,0.03,15.0,0.0017,5.0
2026-06-02,Control,D. 20-39,dreamheist_event,HC Total,HC,9086,3,0.03,15.0,0.0017,5.0
2026-06-02,Control,D. 20-39,dreamheist_event,Unlimited Lives,minutes,9086,3,0.03,60.0,0.0066,20.0
2026-06-02,Variant,A. 0,dreamheist_event,HC Free,HC,10277,2,0.02,15.0,0.0015,7.5
2026-06-02,Variant,A. 0,dreamheist_event,HC Total,HC,10277,2,0.02,15.0,0.0015,7.5
2026-06-02,Variant,A. 0,dreamheist_event,Unlimited Lives,minutes,10277,2,0.02,40.0,0.0039,20.0
2026-06-02,Variant,B. 1-9,dreamheist_event,Chuck,count,23582,1,0.0,1.0,0.0,1.0
2026-06-02,Variant,B. 1-9,dreamheist_event,HC Free,HC,23582,10,0.04,85.0,0.0036,8.5
2026-06-02,Variant,B. 1-9,dreamheist_event,HC Total,HC,23582,10,0.04,85.0,0.0036,8.5
2026-06-02,Variant,B. 1-9,dreamheist_event,Slingshot,count,23582,2,0.01,2.0,0.0001,1.0
2026-06-02,Variant,B. 1-9,dreamheist_event,Unlimited Lives,minutes,23582,9,0.04,180.0,0.0076,20.0
2026-06-02,Variant,B. 1-9,treasure_dive_event,Slingshot,count,23582,1,0.0,1.0,0.0,1.0
2026-06-02,Variant,C. 10-19,dreamheist_event,HC Free,HC,16522,7,0.04,65.0,0.0039,9.2857
2026-06-02,Variant,C. 10-19,dreamheist_event,HC Total,HC,16522,7,0.04,65.0,0.0039,9.2857
2026-06-02,Variant,C. 10-19,dreamheist_event,Red,count,16522,1,0.01,2.0,0.0001,2.0
2026-06-02,Variant,C. 10-19,dreamheist_event,Unlimited Lives,minutes,16522,6,0.04,120.0,0.0073,20.0
2026-06-02,Variant,E. 40-99,dreamheist_event,HC Free,HC,3539,1,0.03,5.0,0.0014,5.0
2026-06-02,Variant,E. 40-99,dreamheist_event,HC Total,HC,3539,1,0.03,5.0,0.0014,5.0
2026-06-02,Variant,E. 40-99,dreamheist_event,Unlimited Lives,minutes,3539,1,0.03,20.0,0.0057,20.0
2026-06-03,Control,A. 0,dreamheist_event,HC Free,HC,16724,4,0.02,40.0,0.0024,10.0
2026-06-03,Control,A. 0,dreamheist_event,HC Total,HC,16724,4,0.02,40.0,0.0024,10.0
2026-06-03,Control,A. 0,dreamheist_event,Unlimited Lives,minutes,16724,4,0.02,80.0,0.0048,20.0
2026-06-03,Control,B. 1-9,dreamheist_event,Chuck,count,32756,1,0.0,1.0,0.0,1.0
2026-06-03,Control,B. 1-9,dreamheist_event,HC Free,HC,32756,20,0.06,195.0,0.006,9.75
2026-06-03,Control,B. 1-9,dreamheist_event,HC Total,HC,32756,20,0.06,195.0,0.006,9.75
2026-06-03,Control,B. 1-9,dreamheist_event,Red,count,32756,4,0.01,4.0,0.0001,1.0
2026-06-03,Control,B. 1-9,dreamheist_event,Slingshot,count,32756,1,0.0,1.0,0.0,1.0
2026-06-03,Control,B. 1-9,dreamheist_event,Unlimited Lives,minutes,32756,15,0.05,300.0,0.0092,20.0
2026-06-03,Control,C. 10-19,dreamheist_event,Chuck,count,19999,1,0.01,1.0,0.0001,1.0
2026-06-03,Control,C. 10-19,dreamheist_event,HC Free,HC,19999,13,0.07,195.0,0.0098,15.0
2026-06-03,Control,C. 10-19,dreamheist_event,HC Total,HC,19999,13,0.07,195.0,0.0098,15.0
2026-06-03,Control,C. 10-19,dreamheist_event,Red,count,19999,3,0.02,3.0,0.0002,1.0
2026-06-03,Control,C. 10-19,dreamheist_event,Slingshot,count,19999,1,0.01,1.0,0.0001,1.0
2026-06-03,Control,C. 10-19,dreamheist_event,Unlimited Lives,minutes,19999,11,0.06,220.0,0.011,20.0
2026-06-03,Control,D. 20-39,dreamheist_event,Chuck,count,10009,1,0.01,1.0,0.0001,1.0
2026-06-03,Control,D. 20-39,dreamheist_event,HC Free,HC,10009,6,0.06,55.0,0.0055,9.1667
2026-06-03,Control,D. 20-39,dreamheist_event,HC Total,HC,10009,6,0.06,55.0,0.0055,9.1667
2026-06-03,Control,D. 20-39,dreamheist_event,Red,count,10009,1,0.01,1.0,0.0001,1.0
2026-06-03,Control,D. 20-39,dreamheist_event,Slingshot,count,10009,1,0.01,1.0,0.0001,1.0
2026-06-03,Control,D. 20-39,dreamheist_event,Unlimited Lives,minutes,10009,4,0.04,80.0,0.008,20.0
2026-06-03,Control,E. 40-99,dreamheist_event,HC Free,HC,4134,2,0.05,55.0,0.0133,27.5
2026-06-03,Control,E. 40-99,dreamheist_event,HC Total,HC,4134,2,0.05,55.0,0.0133,27.5
2026-06-03,Control,E. 40-99,dreamheist_event,Unlimited Lives,minutes,4134,2,0.05,40.0,0.0097,20.0
2026-06-03,Variant,A. 0,dreamheist_event,Chuck,count,16779,3,0.02,3.0,0.0002,1.0
2026-06-03,Variant,A. 0,dreamheist_event,Comet,count,16779,1,0.01,1.0,0.0001,1.0
2026-06-03,Variant,A. 0,dreamheist_event,HC Free,HC,16779,10,0.06,1225.0,0.073,122.5
2026-06-03,Variant,A. 0,dreamheist_event,HC Total,HC,16779,10,0.06,1225.0,0.073,122.5
2026-06-03,Variant,A. 0,dreamheist_event,Red,count,16779,8,0.05,8.0,0.0005,1.0
2026-06-03,Variant,A. 0,dreamheist_event,Slingshot,count,16779,4,0.02,4.0,0.0002,1.0
2026-06-03,Variant,A. 0,dreamheist_event,Unlimited Lives,minutes,16779,10,0.06,240.0,0.0143,24.0
2026-06-03,Variant,B. 1-9,dreamheist_event,Chuck,count,32103,2040,6.35,2049.0,0.0638,1.0044
2026-06-03,Variant,B. 1-9,dreamheist_event,HC Free,HC,32103,8161,25.42,121050.0,3.7707,14.8327
2026-06-03,Variant,B. 1-9,dreamheist_event,HC Total,HC,32103,8161,25.42,121050.0,3.7707,14.8327
2026-06-03,Variant,B. 1-9,dreamheist_event,Red,count,32103,7394,23.03,7454.0,0.2322,1.0081
2026-06-03,Variant,B. 1-9,dreamheist_event,Slingshot,count,32103,2040,6.35,2049.0,0.0638,1.0044
2026-06-03,Variant,B. 1-9,dreamheist_event,Unlimited Lives,minutes,32103,17864,55.65,362590.0,11.2946,20.2972
2026-06-03,Variant,C. 10-19,dreamheist_event,Chuck,count,20221,3600,17.8,3650.0,0.1805,1.0139
2026-06-03,Variant,C. 10-19,dreamheist_event,Comet,count,20221,27,0.13,28.0,0.0014,1.037
2026-06-03,Variant,C. 10-19,dreamheist_event,HC Free,HC,20221,10722,53.02,306725.0,15.1686,28.6071
2026-06-03,Variant,C. 10-19,dreamheist_event,HC Total,HC,20221,10722,53.02,306725.0,15.1686,28.6071
2026-06-03,Variant,C. 10-19,dreamheist_event,Red,count,20221,7183,35.52,7264.0,0.3592,1.0113
2026-06-03,Variant,C. 10-19,dreamheist_event,Slingshot,count,20221,3627,17.94,3678.0,0.1819,1.0141
