event_date,event_id,player_id,level_attempts,level_completes,matchables_collected,sessions,hours_in_levels,hc_balance_start_of_day,hc_balance_end_of_day,rainbow_reward_rows,rainbow_coins_logged,all_source_coins_logged,actual_balance_change
2026-07-25,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,300,297,166732,8,5.12,75,410,0,0,1195,335
2026-07-26,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,280,278,156227,6,4.88,255,310,0,0,900,55
2026-07-27,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,322,317,174674,12,5.53,20,495,4,90,1525,475
2026-07-28,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,370,368,208830,19,6.65,505,515,2,400,1730,10
2026-07-29,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,253,253,134849,14,4.06,515,1695,220,66000,67020,1180
2026-07-30,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,268,268,138442,8,4.33,1695,2810,257,77100,78215,1115
2026-07-31,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,351,351,189899,12,6.08,2810,260,44,13200,14660,-2550
2026-08-01,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,110,109,60673,3,1.9,170,305,0,0,365,135
2026-08-02,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,190,166,103601,11,3.72,15,140,0,0,435,125
2026-08-04,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,170,164,94139,11,3.03,50,115,0,0,785,65
2026-08-05,6e4aa35f-f884-4831-909c-17c6d5ae369c,80926957,145,142,83686,9,2.75,115,180,0,0,575,65
