milestone,gain_date,reward_rows,coins_logged,largest_single_grant,balance_at_start,balance_at_end,actual_balance_change,phantom_coins,first_grant_ts,last_grant_ts
2,2026-07-27,1,10,10,60,60,0,10,2026-07-27 04:37:34.082000+03:00,2026-07-27 04:37:34.082000+03:00
5,2026-07-27,1,20,20,90,90,0,20,2026-07-27 05:00:09.244000+03:00,2026-07-27 05:00:09.244000+03:00
12,2026-07-27,2,60,30,80,80,0,60,2026-07-27 14:19:57.479000+03:00,2026-07-27 14:26:35.189000+03:00
14,2026-07-28,1,100,100,435,435,0,100,2026-07-28 03:56:32.332000+03:00,2026-07-28 03:56:32.332000+03:00
20,2026-07-28,1,300,300,515,515,0,300,2026-07-29 02:31:40.018000+03:00,2026-07-29 02:31:40.018000+03:00
20,2026-07-29,19,5700,300,515,835,320,5380,2026-07-29 03:47:33.666000+03:00,2026-07-29 05:22:34.500000+03:00
21,2026-07-29,8,2400,300,835,1070,235,2165,2026-07-29 05:24:34.388000+03:00,2026-07-29 05:41:46.803000+03:00
22,2026-07-29,15,4500,300,1070,1070,0,4500,2026-07-29 05:42:47.615000+03:00,2026-07-29 06:11:19.969000+03:00
23,2026-07-29,59,17700,300,1070,1355,285,17415,2026-07-29 06:12:20.465000+03:00,2026-07-29 13:25:36.897000+03:00
24,2026-07-29,15,4500,300,1355,1355,0,4500,2026-07-29 13:27:36.963000+03:00,2026-07-29 14:14:29.798000+03:00
25,2026-07-29,26,7800,300,1355,1395,40,7760,2026-07-29 14:15:29.754000+03:00,2026-07-29 15:25:22.233000+03:00
26,2026-07-29,78,23400,300,1395,1695,300,23100,2026-07-29 15:27:23.249000+03:00,2026-07-30 02:59:04.686000+03:00
26,2026-07-30,1,300,300,1695,1695,0,300,2026-07-30 03:01:06.828000+03:00,2026-07-30 03:01:06.828000+03:00
27,2026-07-30,32,9600,300,1695,1740,45,9555,2026-07-30 03:02:06.781000+03:00,2026-07-30 03:52:59.902000+03:00
28,2026-07-30,60,18000,300,1740,2115,375,17625,2026-07-30 03:54:59.895000+03:00,2026-07-30 14:12:15.960000+03:00
29,2026-07-30,157,47100,300,2115,2810,695,46405,2026-07-30 14:14:16.024000+03:00,2026-07-30 22:51:45.645000+03:00
30,2026-07-30,7,2100,300,2810,2810,0,2100,2026-07-30 22:52:46.496000+03:00,2026-07-30 23:02:46.519000+03:00
30,2026-07-31,44,13200,300,2810,2850,40,13160,2026-07-31 03:18:45.325000+03:00,2026-07-31 04:30:09.983000+03:00
