milestone,score_req,cfg_coins,cfg_spt,reward_note
1,160,0,0,Red 1
2,460,10,0,Coins 10
3,1460,0,0,Unlimited Lives 10
4,1710,0,10,SPT 10
5,2210,0,0,Chuck 1
6,3810,0,20,"SPT x2 10, Slingshot 1"
7,4310,0,30,SPT 30
8,5310,0,0,Slingshot 1
9,8610,20,0,Coins 20
10,9710,0,50,SPT 50
11,11910,0,0,Shuffle 1
12,18410,0,0,"Comet 1, Unlimited Lives 30"
13,20610,0,0,Unlimited Red 10
14,25010,0,75,SPT 75
15,38260,0,0,Bomb 1
16,41560,0,0,Slingshot 1
17,48060,0,125,SPT 125
18,67810,30,0,"Coins 30, Shuffle 1"
19,72010,0,40,SPT x2 20
20,80260,0,0,Red 2
21,102260,0,200,SPT 200
22,108260,0,0,Unlimited Chuck 10
23,118760,0,0,Chuck 2
24,151760,100,350,"Coins 100, SPT 350, Shuffle 1, Comet 1"
25,160510,0,0,Unlimited Lives 60
26,174760,0,0,Bomb 2
27,218760,0,600,SPT 600
28,235260,0,0,Unlimited Lives 60
29,269260,0,0,Bomb 3
30,352260,500,0,"Coins 500, Slingshot 3, Shuffle 3, Comet 3"
