final_milestone,players,pct_of_participants,pct_reaching_at_least_this_milestone,clean_players,excluded_dupe_players,avg_hc_per_player,median_hc_per_player,p90_hc_per_player,min_hc_per_player,max_hc_per_player
0,1,0.11,100.0,1,0,0.0,0,0,0,0
2,1,0.11,99.89,1,0,0.0,0,0,0,0
3,1,0.11,99.77,1,0,10.0,10,10,10,10
4,4,0.46,99.66,4,0,10.0,10,10,10,10
5,12,1.37,99.2,12,0,23.0,30,30,0,50
6,1,0.11,97.83,1,0,30.0,30,30,30,30
7,2,0.23,97.71,2,0,30.0,30,30,30,30
8,19,2.17,97.48,19,0,36.0,30,50,20,70
9,4,0.46,95.31,4,0,35.0,30,50,30,50
10,4,0.46,94.85,4,0,35.0,30,50,30,50
11,54,6.18,94.39,54,0,35.0,30,50,0,60
12,66,7.55,88.22,66,0,65.0,60,100,20,120
13,119,13.62,80.66,119,0,67.0,60,90,0,170
14,203,23.23,67.05,203,0,161.0,160,207,50,360
15,16,1.83,43.82,16,0,177.0,160,200,160,290
16,242,27.69,41.99,242,0,178.0,160,230,30,490
17,21,2.4,14.3,21,0,176.0,160,220,140,300
18,8,0.92,11.9,8,0,165.0,160,180,160,180
19,5,0.57,10.98,5,0,172.0,160,200,160,200
20,21,2.4,10.41,19,2,1591.0,1360,3760,180,4060
21,6,0.69,8.01,3,3,3897.0,4360,5060,2270,5060
22,12,1.37,7.32,6,6,3965.0,4060,5260,2860,5260
23,17,1.95,5.95,6,11,4067.0,4960,5570,1390,5570
24,3,0.34,4.0,0,3,,,,,
25,4,0.46,3.66,2,2,4530.0,5260,5260,3800,5260
26,14,1.6,3.2,4,10,4498.0,6160,6280,160,6280
27,4,0.46,1.6,0,4,,,,,
28,1,0.11,1.14,0,1,,,,,
29,5,0.57,1.03,0,5,,,,,
30,4,0.46,0.46,0,4,,,,,
