milestones_earned,spt_expected_from_config,player_instances,median_spt_observed,p90_spt_observed,max_spt_observed,median_token_rows,max_token_rows,pct_over_config,spt_observed_total,spt_capped_total
0,0,10,50.0,270.0,270,1.0,9,100.0,720,0
1,0,1,90.0,90.0,90,3.0,3,100.0,90,0
2,0,11,20.0,160.0,260,2.0,10,100.0,570,0
3,0,4,20.0,80.0,80,2.0,4,100.0,130,0
4,10,1552,10.0,10.368749999999997,100,1.0,4,9.1,17220,15520
5,10,6123,10.0,20.0,450,1.0,15,16.0,74090,61230
6,30,1769,10.0,20.0,70,1.0,7,1.2,21690,21380
7,60,3882,40.0,52.401913875598126,170,2.0,10,7.2,135450,131050
8,60,11002,40.0,70.0,740,2.0,28,14.6,466520,433050
9,60,3060,40.0,70.0,400,2.0,14,16.9,140220,127360
10,110,6033,90.0,137.82615629984048,700,3.0,26,18.7,504130,463410
11,110,13407,90.0,149.5539008808239,460,3.0,16,27.1,1304700,1146240
12,110,3311,90.0,158.44259369422963,690,3.0,19,31.0,340890,291740
13,110,5429,90.0,162.05612670186167,660,3.0,16,31.0,564225,483580
14,185,12152,165.0,248.4447036032104,740,4.0,18,31.5,2087695,1862305
15,185,2086,165.0,255.29036898061287,695,4.0,18,32.8,372830,329140
16,185,3383,165.0,266.8342842580664,695,4.0,17,35.6,617530,537140
17,310,6946,290.0,417.1759809750298,1120,5.1,20,36.5,2091845,1873230
18,310,1079,290.35230352303523,421.33030303030307,790,5.0,15,38.8,334190,299735
19,350,1769,290.37109374999994,424.4210372960374,900,5.2,19,23.9,557240,515970
20,350,3481,292.57821350762543,431.673511904762,1050,5.6,24,24.2,1110990,1031095
21,550,753,490.0,689.4285714285714,1265,6.0,22,25.8,372355,348825
22,550,899,491.912568306011,690.0,1630,6.7,16,28.6,473570,437090
23,550,2087,498.36317135549876,728.7021993054825,2515,7.0,26,33.6,1140325,1024060
24,900,368,840.0,1147.1666666666665,1725,7.1,17,28.0,313585,291330
25,900,468,850.3133903133903,1184.375,1720,8.0,18,32.1,416540,386205
26,900,983,843.6291152263375,1164.3823529411766,3425,8.0,20,32.6,874035,807525
27,1500,278,1440.625,1855.6000000000001,3685,9.0,20,33.8,410110,382965
28,1500,348,1447.0,2019.6666666666665,6320,9.0,25,35.3,536895,486860
29,1500,428,1459.8089591567852,2046.875,4040,9.0,26,38.1,668340,602925
30,1500,310,1464.9999999999998,2042.6666666666667,6840,9.0,19,39.0,484425,433710
