ab_group,resource_category,resource,unit,source_detail,action,source_main,player_days,gainer_days,amount_gained,amount_gained_free,amount_gained_paid,amount_per_active_player_day,pct_of_resource_gained
Control,Avatar,Avatar,items,saga_progression,chapter_complete,core,4096.0,2444.0,7837.0,,,1.913,99.97
Control,Avatar,Avatar,items,single_collection,reward_event,meta,4096.0,1.0,1.0,,,0.0,0.01
Control,Avatar,Avatar,items,dream_pass_event,reward_event,meta,4096.0,1.0,1.0,,,0.0,0.01
Control,currency,HardCoin,coins,saga_progression,chapter_complete,core,4096.0,4056.0,1092390.0,1092390.0,0.0,266.697,38.4
Control,currency,HardCoin,coins,player_level_up,reward_chest,core,4096.0,3867.0,707605.0,707605.0,0.0,172.755,24.87
Control,currency,HardCoin,coins,single_collection,reward_event,meta,4096.0,609.0,104050.0,104050.0,0.0,25.403,3.66
Control,currency,HardCoin,coins,dream_pass_event,reward_event,meta,4096.0,1371.0,80950.0,80950.0,0.0,19.763,2.85
Control,currency,HardCoin,coins,daily_reward,daily_reward,core,4096.0,2212.0,75730.0,75730.0,0.0,18.489,2.66
Control,currency,HardCoin,coins,river_rush,reward_event,meta,4096.0,400.0,74040.0,74040.0,0.0,18.076,2.6
Control,currency,HardCoin,coins,race_event,reward_event,meta,4096.0,984.0,70425.0,70425.0,0.0,17.194,2.48
Control,currency,HardCoin,coins,ArcheryArena,reward_event,meta,4096.0,287.0,47550.0,47550.0,0.0,11.609,1.67
Control,currency,HardCoin,coins,Jigsaw,reward_event,meta,4096.0,943.0,47475.0,47475.0,0.0,11.591,1.67
Control,currency,HardCoin,coins,red_event,reward_event,meta,4096.0,284.0,46950.0,46950.0,0.0,11.462,1.65
Control,currency,HardCoin,coins,Hatchling Hideaway,event_reward,meta,4096.0,1007.0,46205.0,46205.0,0.0,11.281,1.62
Control,currency,HardCoin,coins,bomb_event,reward_event,meta,4096.0,277.0,43150.0,43150.0,0.0,10.535,1.52
Control,currency,HardCoin,coins,team_versus,reward_event,meta,4096.0,340.0,34100.0,34100.0,0.0,8.325,1.2
Control,currency,HardCoin,coins,team_collection,reward_event,meta,4096.0,245.0,33540.0,33540.0,0.0,8.188,1.18
Control,currency,HardCoin,coins,reward_chest,reward_chest,other,4096.0,277.0,32920.0,32920.0,0.0,8.037,1.16
Control,currency,HardCoin,coins,bundle_3_with_prelevel_boosters_tier3,purchase,purchase,4096.0,12.0,32000.0,0.0,32000.0,7.813,1.12
Control,currency,HardCoin,coins,team_versus_contribution,reward_event,meta,4096.0,419.0,25230.0,25230.0,0.0,6.16,0.89
Control,currency,HardCoin,coins,xs_coins2,purchase,purchase,4096.0,54.0,23200.0,0.0,23200.0,5.664,0.82
Control,currency,HardCoin,coins,ad_chest,ad_chest,ads,4096.0,928.0,22615.0,22615.0,0.0,5.521,0.79
Control,currency,HardCoin,coins,bundle_1_with_prelevel_boosters_tier3,purchase,purchase,4096.0,38.0,19200.0,0.0,19200.0,4.688,0.67
Control,currency,HardCoin,coins,facebook_like,facebook_like,other,4096.0,160.0,19000.0,19000.0,0.0,4.639,0.67
Control,currency,HardCoin,coins,xs_coins_tier3,purchase,purchase,4096.0,47.0,15600.0,0.0,15600.0,3.809,0.55
Control,currency,HardCoin,coins,m_coins_tier3,purchase,purchase,4096.0,8.0,15000.0,0.0,15000.0,3.662,0.53
Control,currency,HardCoin,coins,bomb_ballet_event,reward_event,meta,4096.0,383.0,13750.0,13750.0,0.0,3.357,0.48
Control,currency,HardCoin,coins,s_coins_tier3,purchase,purchase,4096.0,11.0,12000.0,0.0,12000.0,2.93,0.42
Control,currency,HardCoin,coins,special_offer1_tier3,purchase,purchase,4096.0,37.0,11100.0,0.0,11100.0,2.71,0.39
Control,currency,HardCoin,coins,kite_festival_event,reward_event,meta,4096.0,40.0,10100.0,10100.0,0.0,2.466,0.36
Control,currency,HardCoin,coins,bundle_2_with_prelevel_boosters2,purchase,purchase,4096.0,7.0,7500.0,0.0,7500.0,1.831,0.26
Control,currency,HardCoin,coins,bundle_2_with_prelevel_boosters_tier3,purchase,purchase,4096.0,12.0,7000.0,0.0,7000.0,1.709,0.25
Control,currency,HardCoin,coins,special_offer1,purchase,purchase,4096.0,23.0,6900.0,0.0,6900.0,1.685,0.24
Control,currency,HardCoin,coins,rolling_offer_p349_tier3,purchase,purchase,4096.0,8.0,4400.0,0.0,4400.0,1.074,0.15
Control,currency,HardCoin,coins,bundle_4_with_prelevel_boosters_tier3,purchase,purchase,4096.0,2.0,4000.0,0.0,4000.0,0.977,0.14
Control,currency,HardCoin,coins,offer_free_items,rolling_offer,meta,4096.0,28.0,3750.0,3750.0,0.0,0.916,0.13
Control,currency,HardCoin,coins,rolling_offer_tier1_p799_tier3,purchase,purchase,4096.0,3.0,3300.0,0.0,3300.0,0.806,0.12
Control,currency,HardCoin,coins,rolling_offer_tier1_p299_tier3,purchase,purchase,4096.0,8.0,3200.0,0.0,3200.0,0.781,0.11
Control,currency,HardCoin,coins,Hard_Level_Offer1,purchase,purchase,4096.0,29.0,3000.0,0.0,3000.0,0.732,0.11
Control,currency,HardCoin,coins,s_coins2,purchase,purchase,4096.0,5.0,3000.0,0.0,3000.0,0.732,0.11
Control,currency,HardCoin,coins,rolling_offer_p999_tier3,purchase,purchase,4096.0,2.0,2800.0,0.0,2800.0,0.684,0.1
Control,currency,HardCoin,coins,Hard_level_offer1_tier3,purchase,purchase,4096.0,28.0,2800.0,0.0,2800.0,0.684,0.1
Control,currency,HardCoin,coins,heart_gift,heart_gift,other,4096.0,838.0,2578.0,2578.0,0.0,0.629,0.09
Control,currency,HardCoin,coins,rolling_offer_p049_tier3,purchase,purchase,4096.0,17.0,2550.0,0.0,2550.0,0.623,0.09
Control,currency,HardCoin,coins,bundle_2_with_prelevel_boosters,purchase,purchase,4096.0,4.0,2500.0,0.0,2500.0,0.61,0.09
Control,currency,HardCoin,coins,special_offer12,purchase,purchase,4096.0,1.0,2400.0,0.0,2400.0,0.586,0.08
Control,currency,HardCoin,coins,rolling_offer_tier1_p199_tier3,purchase,purchase,4096.0,12.0,2400.0,0.0,2400.0,0.586,0.08
Control,currency,HardCoin,coins,rolling_offer_tier1_p499_VarA,purchase,purchase,4096.0,8.0,2400.0,0.0,2400.0,0.586,0.08
Control,currency,HardCoin,coins,bundle_7_with_prelevel_boosters2,purchase,purchase,4096.0,6.0,2100.0,0.0,2100.0,0.513,0.07
Control,currency,HardCoin,coins,rolling_offer_p799_VarA,purchase,purchase,4096.0,4.0,2000.0,0.0,2000.0,0.488,0.07
Control,currency,HardCoin,coins,bundle_1_with_prelevel_boosters,purchase,purchase,4096.0,9.0,1800.0,0.0,1800.0,0.439,0.06
Control,currency,HardCoin,coins,rolling_offer_tier1_p299,purchase,purchase,4096.0,9.0,1800.0,0.0,1800.0,0.439,0.06
Control,currency,HardCoin,coins,special_offer10_tier3,purchase,purchase,4096.0,3.0,1500.0,0.0,1500.0,0.366,0.05
