event_date,segment,ab_group,resource_category,resource,unit,action,source_main,source_detail,segment_players,gainers,amount_gained,amount_gained_free,amount_gained_paid
2026-08-09,D. 20-39,Variant,powerup,powerup_2,items,chapter_complete,core,saga_progression,5111,1215,1227,,
2026-08-09,D. 20-39,Variant,currency,HardCoin,coins,reward_chest,core,player_level_up,5111,3076,177510,177510,0
2026-08-09,D. 20-39,Variant,currency,HardCoin,coins,reward_event,meta,Jigsaw,5111,959,25025,25025,0
2026-08-09,D. 20-39,Variant,currency,HardCoin,coins,daily_reward,core,daily_reward,5111,2521,59865,59865,0
2026-08-09,D. 20-39,Variant,currency,HardCoin,coins,chapter_complete,core,saga_progression,5111,3669,74405,74405,0
2026-08-09,D. 20-39,Variant,unlimited_lives,UnlimitedLives,minutes,reward_event,meta,kite_festival_event,5111,692,21385,,
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_2,items,reward_event,meta,dream_pass_event,5111,679,1102,,
2026-08-09,D. 20-39,Variant,unlimited_lives,UnlimitedLives,minutes,daily_reward,core,daily_reward,5111,1846,73760,,
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_1,items,reward_chest,core,player_level_up,5111,728,730,,
2026-08-09,D. 20-39,Variant,unlimited_lives,UnlimitedLives,minutes,reward_event,meta,Jigsaw,5111,1278,57780,,
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_1,items,reward_event,meta,Jigsaw,5111,705,713,,
2026-08-09,D. 20-39,Variant,currency,HardCoin,coins,reward_event,meta,dreamheist_event,5111,2049,106455,106455,0
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_3,items,reward_event,meta,race_event,5111,490,510,,
2026-08-09,D. 20-39,Variant,ul_pre_booster,UnlimitedBooster3,minutes,daily_reward,core,daily_reward,5111,61,1860,,
2026-08-09,D. 20-39,Variant,life,liferefill,items,coin_purchase,other,coin_purchase,5111,220,1655,,
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_2,items,reward_event,meta,race_event,5111,284,288,,
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_2,items,reward_event,meta,Jigsaw,5111,924,936,,
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_3,items,rolling_offer,meta,offer_free_items,5111,741,749,,
2026-08-09,D. 20-39,Variant,powerup,powerup_3,items,purchase,purchase,special_offer8,5111,4,8,,
2026-08-09,D. 20-39,Variant,ul_pre_booster,UnlimitedBooster1,minutes,purchase,purchase,Hard_Level_Offer1,5111,33,660,,
2026-08-09,D. 20-39,Variant,powerup,powerup_2,items,reward_event,meta,team_collection,5111,106,186,,
2026-08-09,D. 20-39,Variant,currency,HardCoin,coins,purchase,purchase,Hard_Level_Offer1,5111,33,3300,0,3300
2026-08-09,D. 20-39,Variant,currency,HardCoin,coins,reward_event,meta,team_collection,5111,149,17880,17880,0
2026-08-09,D. 20-39,Variant,unlimited_lives,UnlimitedLives,minutes,reward_event,meta,race_event,5111,59,3075,,
2026-08-09,D. 20-39,Variant,powerup,powerup_1,items,reward_event,meta,team_collection,5111,42,61,,
2026-08-09,D. 20-39,Variant,ul_pre_booster,UnlimitedBooster2,minutes,daily_reward,core,daily_reward,5111,86,5400,,
2026-08-09,D. 20-39,Variant,unlimited_lives,UnlimitedLives,minutes,reward_chest,other,reward_chest,5111,54,1620,,
2026-08-09,D. 20-39,Variant,powerup,powerup_1,items,reward_chest,other,reward_chest,5111,53,53,,
2026-08-09,D. 20-39,Variant,powerup,powerup_3,items,reward_event,meta,team_collection,5111,43,94,,
2026-08-09,D. 20-39,Variant,dream_pass_tokens,DreamPassToken,items,event_reward,meta,FlockRush,5111,19,380,,
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_3,items,purchase,purchase,bundle_7_with_prelevel_boosters,5111,11,11,,
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_1,items,purchase,purchase,bundle_7_with_prelevel_boosters,5111,11,11,,
2026-08-09,D. 20-39,Variant,pre_level_booster,pre_level_booster_2,items,purchase,purchase,bundle_7_with_prelevel_boosters,5111,11,11,,
2026-08-09,D. 20-39,Variant,powerup,powerup_2,items,purchase,purchase,bundle_7_with_prelevel_boosters,5111,11,11,,
2026-08-09,D. 20-39,Variant,powerup,powerup_2,items,reward_event,meta,team_versus,5111,9,9,,
2026-08-09,D. 20-39,Variant,unlimited_lives,UnlimitedLives,minutes,rolling_offer,meta,offer_free_items,5111,103,4400,,
2026-08-09,D. 20-39,Variant,powerup,powerup_2,items,reward_event,meta,Jigsaw,5111,9,9,,
2026-08-09,D. 20-39,Variant,currency,HardCoin,coins,purchase,purchase,xs_coins_tier3,5111,23,6000,0,6000
2026-08-07,C. 10-19,Control,Avatar,Avatar,items,chapter_complete,core,saga_progression,5686,1286,1642,,
2026-08-07,C. 10-19,Control,unlimited_lives,UnlimitedLives,minutes,daily_reward,core,daily_reward,5686,1902,72805,,
2026-08-07,C. 10-19,Control,pre_level_booster,pre_level_booster_2,items,chapter_complete,core,saga_progression,5686,2608,3263,,
2026-08-07,C. 10-19,Control,pre_level_booster,pre_level_booster_1,items,reward_event,meta,dream_pass_event,5686,615,841,,
2026-08-07,E. 40-99,Control,pre_level_booster,pre_level_booster_2,items,chapter_complete,core,saga_progression,3124,2569,6706,,
2026-08-07,E. 40-99,Control,unlimited_lives,UnlimitedLives,minutes,event_reward,meta,Hatchling Hideaway,3124,1712,128100,,
2026-08-07,E. 40-99,Control,dream_pass_tokens,DreamPassToken,items,rolling_offer,meta,offer_free_items,3124,2111,92160,,
2026-08-07,C. 10-19,Control,pre_level_booster,pre_level_booster_2,items,reward_chest,core,player_level_up,5686,765,1195,,
2026-08-07,E. 40-99,Control,dream_pass_tokens,DreamPassToken,items,reward_event,meta,race_event,3124,467,23310,,
2026-08-07,E. 40-99,Control,pre_level_booster,pre_level_booster_2,items,reward_event,meta,Jigsaw,3124,286,399,,
2026-08-07,E. 40-99,Control,ul_pre_booster,UnlimitedBooster3,minutes,reward_event,meta,Jigsaw,3124,393,6100,,
2026-08-07,E. 40-99,Control,powerup,powerup_2,items,reward_event,meta,Jigsaw,3124,169,227,,
2026-08-07,E. 40-99,Control,pre_level_booster,pre_level_booster_1,items,chapter_complete,core,saga_progression,3124,2561,7256,,
2026-08-07,E. 40-99,Control,currency,HardCoin,coins,reward_event,meta,Jigsaw,3124,560,26900,26900,0
2026-08-07,E. 40-99,Control,powerup,powerup_2,items,reward_event,meta,team_collection,3124,1040,1746,,
2026-08-07,E. 40-99,Control,unlimited_lives,UnlimitedLives,minutes,purchase,purchase,Hard_Level_Offer1,3124,26,520,,
2026-08-07,E. 40-99,Control,powerup,powerup_2,items,event_reward,meta,Hatchling Hideaway,3124,343,347,,
2026-08-07,E. 40-99,Control,pre_level_booster,pre_level_booster_3,items,event_reward,meta,Hatchling Hideaway,3124,788,804,,
2026-08-07,E. 40-99,Control,ul_pre_booster,UnlimitedBooster1,minutes,reward_event,meta,dream_pass_event,3124,553,8800,,
2026-08-07,E. 40-99,Control,ul_pre_booster,UnlimitedBooster3,minutes,reward_event,meta,dream_pass_event,3124,16,260,,
2026-08-07,E. 40-99,Control,pre_level_booster,pre_level_booster_3,items,reward_event,meta,dream_pass_event,3124,286,370,,
2026-08-07,E. 40-99,Control,currency,HardCoin,coins,purchase,purchase,Hard_Level_Offer1,3124,26,2600,0,2600
2026-08-07,C. 10-19,Control,pre_level_booster,pre_level_booster_2,items,rolling_offer,meta,offer_free_items,5686,2386,2437,,
2026-08-07,C. 10-19,Control,dream_pass_tokens,DreamPassToken,items,reward_event,meta,race_event,5686,650,31910,,
2026-08-07,C. 10-19,Control,powerup,powerup_1,items,chapter_complete,core,saga_progression,5686,596,603,,
2026-08-07,E. 40-99,Control,powerup,powerup_1,items,chapter_complete,core,saga_progression,3124,1332,1426,,
2026-08-07,C. 10-19,Control,currency,HardCoin,coins,event_reward,meta,Hatchling Hideaway,5686,290,3090,3090,0
2026-08-07,C. 10-19,Control,powerup,powerup_3,items,reward_event,meta,team_collection,5686,399,898,,
2026-08-07,E. 40-99,Control,unlimited_lives,UnlimitedLives,minutes,daily_reward,core,daily_reward,3124,963,44140,,
2026-08-07,C. 10-19,Control,powerup,powerup_3,items,reward_event,meta,race_event,5686,147,147,,
2026-08-07,E. 40-99,Control,unlimited_lives,UnlimitedLives,minutes,reward_event,meta,kite_festival_event,3124,566,18230,,
2026-08-07,C. 10-19,Control,pre_level_booster,pre_level_booster_1,items,reward_chest,core,player_level_up,5686,355,358,,
2026-08-07,C. 10-19,Control,currency,HardCoin,coins,heart_gift,other,heart_gift,5686,419,868,868,0
2026-08-07,C. 10-19,Control,powerup,powerup_2,items,reward_event,meta,dream_pass_event,5686,142,163,,
2026-08-07,C. 10-19,Control,powerup,powerup_3,items,facebook_like,other,facebook_like,5686,14,36,,
2026-08-07,C. 10-19,Control,currency,HardCoin,coins,facebook_like,other,facebook_like,5686,14,1800,1800,0
2026-08-07,E. 40-99,Control,unlimited_lives,UnlimitedLives,minutes,rolling_offer,meta,offer_free_items,3124,83,4865,,
2026-08-07,E. 40-99,Control,pre_level_booster,pre_level_booster_2,items,reward_event,meta,kite_festival_event,3124,4,4,,
2026-08-07,E. 40-99,Control,powerup,powerup_1,items,purchase,purchase,bundle_7_with_prelevel_boosters_tier3,3124,5,5,,
