segment,ab_group,resource_category,resource,unit,source_detail,action,source_main,player_days,gainer_days,amount_gained,amount_gained_free,amount_gained_paid,amount_per_active_player_day,pct_of_resource_gained
A. 0,Control,Avatar,Avatar,items,saga_progression,chapter_complete,core,42977.0,526.0,640.0,,,0.015,98.92
A. 0,Control,Avatar,Avatar,items,season_pass_event,reward_event,meta,42977.0,6.0,7.0,,,0.0,1.08
A. 0,Control,currency,HardCoin,coins,daily_reward,daily_reward,core,42977.0,13679.0,506070.0,506070.0,0.0,11.775,27.35
A. 0,Control,currency,HardCoin,coins,team_collection,reward_event,meta,42977.0,1706.0,187770.0,187770.0,0.0,4.369,10.15
A. 0,Control,currency,HardCoin,coins,race_event,reward_event,meta,42977.0,1745.0,121800.0,121800.0,0.0,2.834,6.58
A. 0,Control,currency,HardCoin,coins,ad_chest,ad_chest,ads,42977.0,4287.0,105695.0,105695.0,0.0,2.459,5.71
A. 0,Control,currency,HardCoin,coins,river_rush,reward_event,meta,42977.0,562.0,81740.0,81740.0,0.0,1.902,4.42
A. 0,Control,currency,HardCoin,coins,ArcheryArena,reward_event,meta,42977.0,580.0,78850.0,78850.0,0.0,1.835,4.26
A. 0,Control,currency,HardCoin,coins,bomb_event,reward_event,meta,42977.0,547.0,73200.0,73200.0,0.0,1.703,3.96
A. 0,Control,currency,HardCoin,coins,player_level_up,reward_chest,core,42977.0,2040.0,71475.0,71475.0,0.0,1.663,3.86
A. 0,Control,currency,HardCoin,coins,team_versus_contribution,reward_event,meta,42977.0,1174.0,58690.0,58690.0,0.0,1.366,3.17
A. 0,Control,currency,HardCoin,coins,Hatchling Hideaway,event_reward,meta,42977.0,1722.0,53800.0,53800.0,0.0,1.252,2.91
A. 0,Control,currency,HardCoin,coins,red_event,reward_event,meta,42977.0,356.0,52800.0,52800.0,0.0,1.229,2.85
A. 0,Control,currency,HardCoin,coins,team_versus,reward_event,meta,42977.0,510.0,51910.0,51910.0,0.0,1.208,2.81
A. 0,Control,currency,HardCoin,coins,xs_coins_tier3,purchase,purchase,42977.0,101.0,45450.0,0.0,45450.0,1.058,2.46
A. 0,Control,currency,HardCoin,coins,Jigsaw,reward_event,meta,42977.0,1020.0,42500.0,42500.0,0.0,0.989,2.3
A. 0,Control,currency,HardCoin,coins,s_coins2,purchase,purchase,42977.0,9.0,35000.0,0.0,35000.0,0.814,1.89
A. 0,Control,currency,HardCoin,coins,dream_pass_event,reward_event,meta,42977.0,982.0,29180.0,29180.0,0.0,0.679,1.58
A. 0,Control,currency,HardCoin,coins,bundle_6_with_prelevel_boosters_tier3,purchase,purchase,42977.0,3.0,24000.0,0.0,24000.0,0.558,1.3
A. 0,Control,currency,HardCoin,coins,xs_coins2,purchase,purchase,42977.0,90.0,23600.0,0.0,23600.0,0.549,1.28
A. 0,Control,currency,HardCoin,coins,Hard_Level_Offer1,purchase,purchase,42977.0,155.0,22900.0,0.0,22900.0,0.533,1.24
A. 0,Control,currency,HardCoin,coins,single_collection,reward_event,meta,42977.0,167.0,19500.0,19500.0,0.0,0.454,1.05
A. 0,Control,currency,HardCoin,coins,bundle_2_with_prelevel_boosters2,purchase,purchase,42977.0,16.0,14000.0,0.0,14000.0,0.326,0.76
A. 0,Control,currency,HardCoin,coins,bundle_2_with_prelevel_boosters,purchase,purchase,42977.0,27.0,13500.0,0.0,13500.0,0.314,0.73
A. 0,Control,currency,HardCoin,coins,rolling_offer_tier1_p299,purchase,purchase,42977.0,45.0,9200.0,0.0,9200.0,0.214,0.5
A. 0,Control,currency,HardCoin,coins,bundle_3_with_prelevel_boosters_tier3,purchase,purchase,42977.0,8.0,9000.0,0.0,9000.0,0.209,0.49
A. 0,Control,currency,HardCoin,coins,bundle_4_with_prelevel_boosters_tier3,purchase,purchase,42977.0,4.0,8000.0,0.0,8000.0,0.186,0.43
A. 0,Control,currency,HardCoin,coins,Hard_level_offer1_tier3,purchase,purchase,42977.0,65.0,7000.0,0.0,7000.0,0.163,0.38
A. 0,Control,currency,HardCoin,coins,heart_gift,heart_gift,other,42977.0,3007.0,6740.0,6740.0,0.0,0.157,0.36
A. 0,Control,currency,HardCoin,coins,rolling_offer_p799_VarA,purchase,purchase,42977.0,12.0,6500.0,0.0,6500.0,0.151,0.35
A. 0,Control,currency,HardCoin,coins,saga_progression,chapter_complete,core,42977.0,293.0,6325.0,6325.0,0.0,0.147,0.34
A. 0,Control,currency,HardCoin,coins,dream_peak,reward_event,core,42977.0,13.0,6000.0,6000.0,0.0,0.14,0.32
A. 0,Control,currency,HardCoin,coins,season_pass_event,reward_event,meta,42977.0,294.0,5630.0,5630.0,0.0,0.131,0.3
A. 0,Control,currency,HardCoin,coins,rolling_offer_tier1_p499_VarA,purchase,purchase,42977.0,17.0,5100.0,0.0,5100.0,0.119,0.28
A. 0,Control,currency,HardCoin,coins,rolling_offer_p1999_VarA,purchase,purchase,42977.0,3.0,4500.0,0.0,4500.0,0.105,0.24
A. 0,Control,currency,HardCoin,coins,bundle_7_with_prelevel_boosters,purchase,purchase,42977.0,29.0,4350.0,0.0,4350.0,0.101,0.24
A. 0,Control,currency,HardCoin,coins,rolling_offer_tier1_p1499_VarA,purchase,purchase,42977.0,4.0,4000.0,0.0,4000.0,0.093,0.22
A. 0,Control,currency,HardCoin,coins,bundle_3_with_prelevel_boosters,purchase,purchase,42977.0,4.0,4000.0,0.0,4000.0,0.093,0.22
A. 0,Control,currency,HardCoin,coins,rolling_offer_tier1_p199_tier3,purchase,purchase,42977.0,18.0,3600.0,0.0,3600.0,0.084,0.19
A. 0,Control,currency,HardCoin,coins,kite_festival_event,reward_event,meta,42977.0,16.0,3200.0,3200.0,0.0,0.074,0.17
A. 0,Control,currency,HardCoin,coins,rolling_offer_p3999,purchase,purchase,42977.0,1.0,3000.0,0.0,3000.0,0.07,0.16
A. 0,Control,currency,HardCoin,coins,l_coins2,purchase,purchase,42977.0,1.0,2500.0,0.0,2500.0,0.058,0.14
A. 0,Control,currency,HardCoin,coins,rolling_offer_tier1_p2999_VARIANT_VarA,purchase,purchase,42977.0,1.0,2500.0,0.0,2500.0,0.058,0.14
A. 0,Control,currency,HardCoin,coins,special_offer9,purchase,purchase,42977.0,9.0,2250.0,0.0,2250.0,0.052,0.12
A. 0,Control,currency,HardCoin,coins,special_offer8,purchase,purchase,42977.0,9.0,2250.0,0.0,2250.0,0.052,0.12
A. 0,Control,currency,HardCoin,coins,bundle_7_with_prelevel_boosters2,purchase,purchase,42977.0,4.0,2100.0,0.0,2100.0,0.049,0.11
A. 0,Control,currency,HardCoin,coins,s_coins_tier3,purchase,purchase,42977.0,3.0,2000.0,0.0,2000.0,0.047,0.11
A. 0,Control,currency,HardCoin,coins,bundle_3_with_prelevel_boosters2,purchase,purchase,42977.0,2.0,2000.0,0.0,2000.0,0.047,0.11
A. 0,Control,currency,HardCoin,coins,rolling_offer_tier1_p299_tier3,purchase,purchase,42977.0,5.0,2000.0,0.0,2000.0,0.047,0.11
A. 0,Control,currency,HardCoin,coins,rolling_offer_tier1_p1499_VARIANT_tier3,purchase,purchase,42977.0,1.0,2000.0,0.0,2000.0,0.047,0.11
A. 0,Control,currency,HardCoin,coins,offer_free_items,rolling_offer,meta,42977.0,18.0,1800.0,1800.0,0.0,0.042,0.1
A. 0,Control,currency,HardCoin,coins,special_offer10,purchase,purchase,42977.0,5.0,1500.0,0.0,1500.0,0.035,0.08
A. 0,Control,currency,HardCoin,coins,rolling_offer_p999_tier3,purchase,purchase,42977.0,1.0,1400.0,0.0,1400.0,0.033,0.08
A. 0,Control,currency,HardCoin,coins,special_offer1_tier3,purchase,purchase,42977.0,4.0,1200.0,0.0,1200.0,0.028,0.06
A. 0,Control,currency,HardCoin,coins,rolling_offer_p349_tier3,purchase,purchase,42977.0,2.0,1100.0,0.0,1100.0,0.026,0.06
A. 0,Control,currency,HardCoin,coins,rolling_offer_tier1_p799_tier3,purchase,purchase,42977.0,1.0,1100.0,0.0,1100.0,0.026,0.06
A. 0,Control,currency,HardCoin,coins,bundle_2_with_prelevel_boosters_tier3,purchase,purchase,42977.0,2.0,1000.0,0.0,1000.0,0.023,0.05
A. 0,Control,currency,HardCoin,coins,m_coins_tier3,purchase,purchase,42977.0,1.0,1000.0,0.0,1000.0,0.023,0.05
A. 0,Control,currency,HardCoin,coins,special_offer3,purchase,purchase,42977.0,2.0,1000.0,0.0,1000.0,0.023,0.05
A. 0,Control,currency,HardCoin,coins,reward_chest,reward_chest,other,42977.0,10.0,910.0,910.0,0.0,0.021,0.05
A. 0,Control,currency,HardCoin,coins,great_offer1_299,purchase,purchase,42977.0,9.0,900.0,0.0,900.0,0.021,0.05
A. 0,Control,currency,HardCoin,coins,special_offer8_tier3,purchase,purchase,42977.0,2.0,800.0,0.0,800.0,0.019,0.04
A. 0,Control,currency,HardCoin,coins,gift,gift,other,42977.0,4.0,800.0,800.0,0.0,0.019,0.04
A. 0,Control,currency,HardCoin,coins,special_offer11,purchase,purchase,42977.0,1.0,700.0,0.0,700.0,0.016,0.04
