event_date,ab_group,resource_category,resource,unit,source_detail,action,source_main,segment_players,gainers,pct_gainers,amount_gained,amount_gained_free,amount_gained_paid,amount_per_active_player,amount_per_gainer
2026-08-02,Control,Avatar,Avatar,items,saga_progression,chapter_complete,core,448,278,62.05,924,,,2.06,3.32
2026-08-02,Control,currency,HardCoin,coins,saga_progression,chapter_complete,core,448,440,98.21,113810,113810,0,254.04,258.66
2026-08-02,Control,currency,HardCoin,coins,player_level_up,reward_chest,core,448,420,93.75,80775,80775,0,180.3,192.32
2026-08-02,Control,currency,HardCoin,coins,river_rush,reward_event,meta,448,73,16.29,11760,11760,0,26.25,161.1
2026-08-02,Control,currency,HardCoin,coins,dream_pass_event,reward_event,meta,448,178,39.73,8690,8690,0,19.4,48.82
2026-08-02,Control,currency,HardCoin,coins,daily_reward,daily_reward,core,448,245,54.69,8260,8260,0,18.44,33.71
2026-08-02,Control,currency,HardCoin,coins,Hatchling Hideaway,event_reward,meta,448,162,36.16,7450,7450,0,16.63,45.99
2026-08-02,Control,currency,HardCoin,coins,reward_chest,reward_chest,other,448,28,6.25,3945,3945,0,8.81,140.89
2026-08-02,Control,currency,HardCoin,coins,race_event,reward_event,meta,448,43,9.6,3375,3375,0,7.53,78.49
2026-08-02,Control,currency,HardCoin,coins,facebook_like,facebook_like,other,448,25,5.58,3100,3100,0,6.92,124.0
2026-08-02,Control,currency,HardCoin,coins,bundle_1_with_prelevel_boosters_tier3,purchase,purchase,448,7,1.56,2600,0,2600,5.8,371.43
2026-08-02,Control,currency,HardCoin,coins,ad_chest,ad_chest,ads,448,98,21.88,2130,2130,0,4.75,21.73
2026-08-02,Control,currency,HardCoin,coins,xs_coins2,purchase,purchase,448,3,0.67,2000,0,2000,4.46,666.67
2026-08-02,Control,currency,HardCoin,coins,special_offer1_tier3,purchase,purchase,448,6,1.34,1800,0,1800,4.02,300.0
2026-08-02,Control,currency,HardCoin,coins,kite_festival_event,reward_event,meta,448,6,1.34,1400,1400,0,3.13,233.33
2026-08-02,Control,currency,HardCoin,coins,xs_coins_tier3,purchase,purchase,448,2,0.45,1050,0,1050,2.34,525.0
2026-08-02,Control,currency,HardCoin,coins,bundle_3_with_prelevel_boosters_tier3,purchase,purchase,448,1,0.22,1000,0,1000,2.23,1000.0
2026-08-02,Control,currency,HardCoin,coins,bomb_event,reward_event,meta,448,5,1.12,900,900,0,2.01,180.0
2026-08-02,Control,currency,HardCoin,coins,offer_free_items,rolling_offer,meta,448,5,1.12,800,800,0,1.79,160.0
2026-08-02,Control,currency,HardCoin,coins,rolling_offer_p049_tier3,purchase,purchase,448,4,0.89,600,0,600,1.34,150.0
2026-08-02,Control,currency,HardCoin,coins,special_offer1,purchase,purchase,448,2,0.45,600,0,600,1.34,300.0
2026-08-02,Control,currency,HardCoin,coins,rolling_offer_p349_tier3,purchase,purchase,448,1,0.22,550,0,550,1.23,550.0
2026-08-02,Control,currency,HardCoin,coins,s_coins2,purchase,purchase,448,1,0.22,500,0,500,1.12,500.0
2026-08-02,Control,currency,HardCoin,coins,rolling_offer_tier1_p199_tier3,purchase,purchase,448,2,0.45,400,0,400,0.89,200.0
2026-08-02,Control,currency,HardCoin,coins,rolling_offer_tier1_p299_tier3,purchase,purchase,448,1,0.22,400,0,400,0.89,400.0
2026-08-02,Control,currency,HardCoin,coins,special_offer10,purchase,purchase,448,1,0.22,300,0,300,0.67,300.0
2026-08-02,Control,currency,HardCoin,coins,special_offer9_tier3,purchase,purchase,448,1,0.22,300,0,300,0.67,300.0
2026-08-02,Control,currency,HardCoin,coins,rolling_offer_tier1_p499_VarA,purchase,purchase,448,1,0.22,300,0,300,0.67,300.0
2026-08-02,Control,currency,HardCoin,coins,heart_gift,heart_gift,other,448,94,20.98,285,285,0,0.64,3.03
2026-08-02,Control,currency,HardCoin,coins,ArcheryArena,reward_event,meta,448,1,0.22,200,200,0,0.45,200.0
2026-08-02,Control,currency,HardCoin,coins,rolling_offer_p099_VarA,purchase,purchase,448,1,0.22,200,0,200,0.45,200.0
