ab_group,resource_category,resource,unit,action,spend_context,spend_detail,player_days,spender_days,spend_events,amount_spent,amount_spent_free,amount_spent_paid,amount_per_active_player_day,pct_of_resource_spent
Control,currency,HardCoin,coins,extra_moves,level_movesplus5,5,4096.0,3637.0,24327.0,2432700.0,2239594.0,193106.0,593.921,90.3
Control,currency,HardCoin,coins,extra_moves,level_movesplus10,10,4096.0,336.0,456.0,45600.0,43376.0,2224.0,11.133,1.69
Control,currency,HardCoin,coins,extra_moves,level_movesplus15,15,4096.0,272.0,344.0,34400.0,31900.0,2500.0,8.398,1.28
Control,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,4096.0,248.0,529.0,26450.0,20075.0,6375.0,6.458,0.98
Control,currency,HardCoin,coins,extra_moves,level_movesplus20,20,4096.0,194.0,237.0,23700.0,22185.0,1515.0,5.786,0.88
Control,currency,HardCoin,coins,extra_moves,level_movesplus50,50,4096.0,169.0,220.0,22000.0,19064.0,2936.0,5.371,0.82
Control,currency,HardCoin,coins,extra_moves,level_movesplus25,25,4096.0,130.0,152.0,15200.0,14326.0,874.0,3.711,0.56
Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_3,4096.0,13.0,68.0,13600.0,3030.0,10570.0,3.32,0.5
Control,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,4096.0,190.0,271.0,13550.0,10016.0,3534.0,3.308,0.5
Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,4096.0,47.0,85.0,12900.0,12006.0,894.0,3.149,0.48
Control,currency,HardCoin,coins,extra_moves,level_movesplus30,30,4096.0,93.0,108.0,10800.0,10114.0,686.0,2.637,0.4
Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,4096.0,32.0,48.0,9450.0,7900.0,1550.0,2.307,0.35
Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_1,4096.0,15.0,15.0,7500.0,7020.0,480.0,1.831,0.28
Control,currency,HardCoin,coins,extra_moves,level_movesplus35,35,4096.0,68.0,73.0,7300.0,6501.0,799.0,1.782,0.27
Control,currency,HardCoin,coins,extra_moves,level_movesplus40,40,4096.0,42.0,44.0,4400.0,3767.0,633.0,1.074,0.16
Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_2,4096.0,12.0,25.0,3750.0,2713.0,1037.0,0.916,0.14
Control,currency,HardCoin,coins,extra_moves,level_movesplus45,45,4096.0,36.0,37.0,3700.0,3188.0,512.0,0.903,0.14
Control,currency,HardCoin,coins,level_movesplus5,level_movesplus5,level_movesplus5,4096.0,5.0,36.0,3600.0,3600.0,0.0,0.879,0.13
