event_date,segment,ab_group,resource_category,resource,unit,action,spend_context,spend_detail,segment_players,spenders,spend_events,amount_spent,amount_spent_free,amount_spent_paid
2026-08-10,D. 20-39,Variant,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,5353,1538,12504,12504,,
2026-08-10,D. 20-39,Variant,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,5353,3115,8254,8254,,
2026-08-10,D. 20-39,Variant,life,life,items,in_game_use,saga,in_level,5353,3967,42286,42286,,
2026-08-09,A. 0,Control,pre_level_booster,pre_level_booster_3,items,in_game_use,dream_peak,in_level,5112,390,709,709,,
2026-08-08,E. 40-99,Control,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,3274,2200,8193,8193,,
2026-08-08,E. 40-99,Control,life,life,items,in_game_use,saga,in_level,3274,3025,71654,71654,,
2026-08-08,E. 40-99,Control,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,3274,2035,8696,8696,,
2026-08-10,D. 20-39,Variant,currency,HardCoin,coins,extra_moves,level_movesplus50,50,5353,124,136,13600,12282,1318
2026-08-10,D. 20-39,Variant,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,5353,34,39,1950,1449,501
2026-08-08,E. 40-99,Control,currency,HardCoin,coins,extra_moves,level_movesplus10,10,3274,145,175,17500,16850,650
2026-08-09,A. 0,Control,powerup,powerup_2,items,in_game_use,saga,in_level,5112,161,235,235,,
2026-08-09,A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus5,5,5112,573,1548,154800,107531,47269
2026-08-09,A. 0,Control,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,5112,273,354,354,,
2026-08-10,D. 20-39,Variant,pre_level_booster,pre_level_booster_1,items,in_game_use,dream_peak,in_level,5353,44,108,108,,
2026-08-10,D. 20-39,Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,5353,23,26,3900,3750,150
2026-08-10,D. 20-39,Variant,currency,HardCoin,coins,extra_moves,level_movesplus30,30,5353,47,47,4700,4371,329
2026-08-09,A. 0,Control,powerup,powerup_3,items,in_game_use,saga,in_level,5112,152,207,207,,
2026-08-09,A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus15,15,5112,20,22,2200,1909,291
2026-08-09,A. 0,Control,ul_pre_booster,UnlimitedBooster3,items,in_game_use,saga,in_level,5112,10,21,21,,
2026-08-09,A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus25,25,5112,17,17,1700,1576,124
2026-08-09,A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus20,20,5112,20,21,2100,1328,772
2026-08-09,A. 0,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,5112,6,6,1200,1200,0
2026-08-08,E. 40-99,Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_2,3274,1,1,150,0,150
2026-08-08,E. 40-99,Control,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_1,3274,1,1,100,100,0
2026-08-07,F. 100+,Control,life,life,items,in_game_use,saga,in_level,432,393,11028,11028,,
2026-08-07,F. 100+,Control,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,432,368,3413,3413,,
2026-08-07,F. 100+,Control,currency,HardCoin,coins,extra_moves,level_movesplus25,25,432,14,19,1900,1787,113
2026-08-07,F. 100+,Control,currency,HardCoin,coins,extra_moves,level_movesplus50,50,432,23,27,2700,2242,458
2026-08-07,F. 100+,Control,powerup,powerup_1,items,in_game_use,saga,in_level,432,363,2172,2172,,
2026-08-07,F. 100+,Control,currency,HardCoin,coins,extra_moves,level_movesplus40,40,432,6,6,600,525,75
2026-08-07,F. 100+,Control,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,432,16,28,1400,1164,236
2026-08-07,F. 100+,Control,currency,HardCoin,coins,extra_moves,level_movesplus45,45,432,3,3,300,300,0
2026-08-07,F. 100+,Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_2,432,1,1,150,150,0
2026-08-10,E. 40-99,Control,powerup,powerup_1,items,in_game_use,saga,in_level,3434,2364,6237,6237,,
2026-08-08,B. 1-9,Variant,life,life,items,in_game_use,saga,in_level,7420,5540,29993,29993,,
2026-08-08,B. 1-9,Variant,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,7420,515,3014,3014,,
2026-08-08,B. 1-9,Variant,currency,HardCoin,coins,extra_moves,level_movesplus10,10,7420,90,93,9300,9130,170
2026-08-10,E. 40-99,Control,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,3434,2294,10360,10360,,
2026-08-08,B. 1-9,Variant,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,7420,45,51,2550,1528,1022
2026-08-08,B. 1-9,Variant,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,7420,84,101,5050,2983,2067
2026-08-08,B. 1-9,Variant,currency,HardCoin,coins,extra_moves,level_movesplus25,25,7420,32,32,3200,3200,0
2026-08-08,B. 1-9,Variant,currency,HardCoin,coins,extra_moves,level_movesplus45,45,7420,19,19,1900,1800,100
2026-08-08,B. 1-9,Variant,currency,HardCoin,coins,extra_moves,level_movesplus40,40,7420,16,16,1600,1585,15
2026-08-10,E. 40-99,Control,currency,HardCoin,coins,extra_moves,level_movesplus10,10,3434,167,199,19900,19483,417
2026-08-04,D. 20-39,Variant,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,4917,2537,6821,6821,,
2026-08-04,D. 20-39,Variant,powerup,powerup_2,items,in_game_use,saga,in_level,4917,2841,8110,8110,,
2026-08-04,D. 20-39,Variant,pre_level_booster,pre_level_booster_3,items,in_game_use,saga,in_level,4917,2092,4436,4436,,
2026-08-08,B. 1-9,Variant,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_1,7420,16,18,1800,1800,0
2026-08-04,D. 20-39,Variant,pre_level_booster,pre_level_booster_2,items,in_game_use,dream_peak,in_level,4917,78,183,183,,
2026-08-04,D. 20-39,Variant,powerup,powerup_3,items,in_game_use,dream_peak,in_level,4917,113,257,257,,
2026-08-04,D. 20-39,Variant,currency,HardCoin,coins,extra_moves,level_movesplus30,30,4917,28,30,3000,2685,315
2026-08-10,E. 40-99,Control,currency,HardCoin,coins,extra_moves,level_movesplus30,30,3434,60,65,6500,6289,211
2026-08-10,A. 0,Control,ul_pre_booster,UnlimitedBooster1,items,in_game_use,dream_peak,in_level,4087,15,122,122,,
2026-08-10,A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus5,5,4087,79,104,10400,9613,787
2026-08-10,A. 0,Control,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,4087,26,31,1550,1160,390
2026-08-04,D. 20-39,Variant,currency,HardCoin,coins,extra_moves,level_movesplus15,15,4917,88,95,9500,8821,679
2026-08-04,D. 20-39,Variant,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_3,4917,6,41,8200,1000,7200
2026-08-10,A. 0,Control,powerup,powerup_1,items,in_game_use,saga,in_level,4087,88,102,102,,
2026-08-10,A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus10,10,4087,4,4,400,400,0
2026-08-10,E. 40-99,Control,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_1,3434,1,2,200,200,0
2026-08-10,E. 40-99,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_1,3434,4,5,2500,877,1623
2026-08-08,B. 1-9,Variant,currency,HardCoin,coins,extra_moves,level_movesplus35,35,7420,22,23,2300,2171,129
2026-08-08,B. 1-9,Variant,powerup,powerup_1,items,in_game_use,dream_peak,in_level,7420,5,8,8,,
2026-08-10,A. 0,Control,currency,HardCoin,coins,team_created,unknown,unknown,4087,1,1,150,150,0
2026-08-08,B. 1-9,Variant,ul_pre_booster,UnlimitedBooster3,items,in_game_use,dream_peak,in_level,7420,2,27,27,,
2026-08-04,F. 100+,Control,currency,HardCoin,coins,extra_moves,level_movesplus5,5,403,356,2435,243500,231252,12248
2026-08-04,F. 100+,Control,currency,HardCoin,coins,extra_moves,level_movesplus15,15,403,20,25,2500,2190,310
