segment,ab_group,resource_category,resource,unit,action,spend_context,spend_detail,player_days,spender_days,spend_events,amount_spent,amount_spent_free,amount_spent_paid,amount_per_active_player_day,pct_of_resource_spent
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus5,5,42977.0,3958.0,10622.0,1062200.0,796829.0,265371.0,24.716,84.74
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus50,50,42977.0,348.0,374.0,37400.0,31390.0,6010.0,0.87,2.98
A. 0,Control,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,42977.0,359.0,454.0,22700.0,12614.0,10086.0,0.528,1.81
A. 0,Control,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,42977.0,268.0,390.0,19500.0,12184.0,7316.0,0.454,1.56
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus20,20,42977.0,155.0,162.0,16200.0,13689.0,2511.0,0.377,1.29
A. 0,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,42977.0,77.0,108.0,16200.0,12810.0,3390.0,0.377,1.29
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus15,15,42977.0,138.0,150.0,15000.0,13686.0,1314.0,0.349,1.2
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus10,10,42977.0,137.0,146.0,14600.0,12557.0,2043.0,0.34,1.16
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus30,30,42977.0,100.0,105.0,10500.0,8801.0,1699.0,0.244,0.84
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus25,25,42977.0,94.0,96.0,9600.0,8394.0,1206.0,0.223,0.77
A. 0,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,42977.0,32.0,32.0,6400.0,6395.0,5.0,0.149,0.51
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus35,35,42977.0,55.0,55.0,5500.0,4605.0,895.0,0.128,0.44
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus40,40,42977.0,49.0,51.0,5100.0,4645.0,455.0,0.119,0.41
A. 0,Control,currency,HardCoin,coins,extra_moves,level_movesplus45,45,42977.0,29.0,30.0,3000.0,2580.0,420.0,0.07,0.24
A. 0,Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_1,42977.0,25.0,25.0,2500.0,2395.0,105.0,0.058,0.2
