event_date,ab_group,resource_category,resource,unit,action,spend_context,spend_detail,segment_players,spenders,pct_spenders,spend_events,amount_spent,amount_spent_free,amount_spent_paid,amount_per_active_player,amount_per_spender
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus5,5,448,388,86.61,2216,221600,210153,11447,494.64,571.13
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus10,10,448,40,8.93,56,5600,5449,151,12.5,140.0
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus15,15,448,28,6.25,42,4200,3988,212,9.38,150.0
2026-08-02,Control,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,448,29,6.47,65,3250,2531,719,7.25,112.07
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus20,20,448,19,4.24,24,2400,2282,118,5.36,126.32
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus50,50,448,14,3.13,20,2000,1750,250,4.46,142.86
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus25,25,448,16,3.57,17,1700,1508,192,3.79,106.25
2026-08-02,Control,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,448,23,5.13,33,1650,1190,460,3.68,71.74
2026-08-02,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,448,4,0.89,6,1050,1050,0,2.34,262.5
2026-08-02,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,448,3,0.67,6,1050,1050,0,2.34,350.0
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus30,30,448,8,1.79,8,800,800,0,1.79,100.0
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus35,35,448,7,1.56,8,800,800,0,1.79,114.29
2026-08-02,Control,currency,HardCoin,coins,team_created,unknown,unknown,448,4,0.89,4,600,600,0,1.34,150.0
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus40,40,448,5,1.12,5,500,350,150,1.12,100.0
2026-08-02,Control,currency,HardCoin,coins,extra_moves,level_movesplus45,45,448,5,1.12,5,500,342,158,1.12,100.0
2026-08-02,Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_3,448,1,0.22,1,200,200,0,0.45,200.0
2026-08-02,Control,life,life,items,in_game_use,saga,in_level,448,402,89.73,11698,11698,,,26.11,29.1
2026-08-02,Control,powerup,powerup_1,items,in_game_use,saga,in_level,448,375,83.71,1712,1712,,,3.82,4.57
2026-08-02,Control,powerup,powerup_2,items,in_game_use,saga,in_level,448,389,86.83,2306,2306,,,5.15,5.93
2026-08-02,Control,powerup,powerup_3,items,in_game_use,saga,in_level,448,398,88.84,2347,2347,,,5.24,5.9
2026-08-02,Control,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,448,374,83.48,2433,2433,,,5.43,6.51
2026-08-02,Control,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,448,353,78.79,2617,2617,,,5.84,7.41
2026-08-02,Control,pre_level_booster,pre_level_booster_3,items,in_game_use,saga,in_level,448,311,69.42,1295,1295,,,2.89,4.16
2026-08-02,Control,ul_pre_booster,UnlimitedBooster1,items,in_game_use,saga,in_level,448,251,56.03,5117,5117,,,11.42,20.39
2026-08-02,Control,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,448,216,48.21,3730,3730,,,8.33,17.27
2026-08-02,Control,ul_pre_booster,UnlimitedBooster3,items,in_game_use,saga,in_level,448,27,6.03,583,583,,,1.3,21.59
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus5,5,442,379,85.75,2028,202800,185753,17047,458.82,535.09
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus10,10,442,28,6.33,32,3200,3100,100,7.24,114.29
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus50,50,442,27,6.11,30,3000,2682,318,6.79,111.11
2026-08-02,Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,442,8,1.81,19,2850,2390,460,6.45,356.25
2026-08-02,Variant,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,442,10,2.26,54,2700,2434,266,6.11,270.0
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus15,15,442,17,3.85,18,1800,1798,2,4.07,105.88
2026-08-02,Variant,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,442,13,2.94,27,1350,1093,257,3.05,103.85
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus20,20,442,11,2.49,11,1100,1100,0,2.49,100.0
2026-08-02,Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_1,442,2,0.45,2,1000,1000,0,2.26,500.0
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus25,25,442,8,1.81,8,800,700,100,1.81,100.0
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus30,30,442,7,1.58,8,800,720,80,1.81,114.29
2026-08-02,Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,442,3,0.68,3,600,600,0,1.36,200.0
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus35,35,442,5,1.13,6,600,600,0,1.36,120.0
2026-08-02,Variant,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_2,442,1,0.23,2,300,175,125,0.68,300.0
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus40,40,442,2,0.45,2,200,100,100,0.45,100.0
2026-08-02,Variant,currency,HardCoin,coins,extra_moves,level_movesplus45,45,442,2,0.45,2,200,200,0,0.45,100.0
2026-08-02,Variant,currency,HardCoin,coins,team_created,unknown,unknown,442,1,0.23,1,150,150,0,0.34,150.0
2026-08-02,Variant,currency,HardCoin,coins,level_movesplus5,level_movesplus5,level_movesplus5,442,1,0.23,1,100,100,0,0.23,100.0
2026-08-02,Variant,life,life,items,in_game_use,saga,in_level,442,403,91.18,7723,7723,,,17.47,19.16
2026-08-02,Variant,powerup,powerup_1,items,in_game_use,saga,in_level,442,349,78.96,1446,1446,,,3.27,4.14
2026-08-02,Variant,powerup,powerup_2,items,in_game_use,saga,in_level,442,390,88.24,2151,2151,,,4.87,5.52
2026-08-02,Variant,powerup,powerup_3,items,in_game_use,saga,in_level,442,376,85.07,1862,1862,,,4.21,4.95
2026-08-02,Variant,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,442,327,73.98,1524,1524,,,3.45,4.66
2026-08-02,Variant,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,442,307,69.46,1679,1679,,,3.8,5.47
2026-08-02,Variant,pre_level_booster,pre_level_booster_3,items,in_game_use,saga,in_level,442,305,69.0,1302,1302,,,2.95,4.27
2026-08-02,Variant,ul_pre_booster,UnlimitedBooster1,items,in_game_use,saga,in_level,442,221,50.0,5207,5207,,,11.78,23.56
2026-08-02,Variant,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,442,224,50.68,4063,4063,,,9.19,18.14
2026-08-02,Variant,ul_pre_booster,UnlimitedBooster3,items,in_game_use,saga,in_level,442,218,49.32,3060,3060,,,6.92,14.04
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus5,5,435,392,90.11,2874,287400,268643,18757,660.69,733.16
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus50,50,435,28,6.44,43,4300,3983,317,9.89,153.57
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus15,15,435,29,6.67,40,4000,3580,420,9.2,137.93
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus10,10,435,33,7.59,39,3900,3734,166,8.97,118.18
2026-08-03,Control,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,435,23,5.29,56,2800,2379,421,6.44,121.74
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus20,20,435,21,4.83,27,2700,2628,72,6.21,128.57
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus30,30,435,18,4.14,21,2100,2019,81,4.83,116.67
2026-08-03,Control,currency,HardCoin,coins,level_movesplus5,level_movesplus5,level_movesplus5,435,1,0.23,17,1700,1700,0,3.91,1700.0
2026-08-03,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_1,435,3,0.69,3,1500,1500,0,3.45,500.0
2026-08-03,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,435,7,1.61,9,1350,1350,0,3.1,192.86
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus35,35,435,13,2.99,13,1300,1185,115,2.99,100.0
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus25,25,435,12,2.76,12,1200,1135,65,2.76,100.0
2026-08-03,Control,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,435,15,3.45,18,900,671,229,2.07,60.0
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus40,40,435,6,1.38,8,800,715,85,1.84,133.33
2026-08-03,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,435,2,0.46,3,600,600,0,1.38,300.0
2026-08-03,Control,currency,HardCoin,coins,extra_moves,level_movesplus45,45,435,6,1.38,6,600,600,0,1.38,100.0
2026-08-03,Control,currency,HardCoin,coins,team_created,unknown,unknown,435,1,0.23,1,150,150,0,0.34,150.0
2026-08-03,Control,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_1,435,1,0.23,1,100,100,0,0.23,100.0
2026-08-03,Control,life,life,items,in_game_use,saga,in_level,435,380,87.36,10107,10107,,,23.23,26.6
2026-08-03,Control,powerup,powerup_1,items,in_game_use,saga,in_level,435,365,83.91,1643,1643,,,3.78,4.5
2026-08-03,Control,powerup,powerup_2,items,in_game_use,saga,in_level,435,391,89.89,2371,2371,,,5.45,6.06
2026-08-03,Control,powerup,powerup_3,items,in_game_use,saga,in_level,435,394,90.57,2430,2430,,,5.59,6.17
2026-08-03,Control,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,435,346,79.54,2418,2418,,,5.56,6.99
2026-08-03,Control,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,435,336,77.24,2614,2614,,,6.01,7.78
2026-08-03,Control,pre_level_booster,pre_level_booster_3,items,in_game_use,saga,in_level,435,303,69.66,1185,1185,,,2.72,3.91
2026-08-03,Control,ul_pre_booster,UnlimitedBooster1,items,in_game_use,saga,in_level,435,357,82.07,9027,9027,,,20.75,25.29
2026-08-03,Control,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,435,343,78.85,6551,6551,,,15.06,19.1
2026-08-03,Control,ul_pre_booster,UnlimitedBooster3,items,in_game_use,saga,in_level,435,272,62.53,3322,3322,,,7.64,12.21
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus5,5,417,366,87.77,2099,209900,203042,6858,503.36,573.5
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus50,50,417,24,5.76,31,3100,2941,159,7.43,129.17
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus15,15,417,25,6.0,30,3000,2800,200,7.19,120.0
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus10,10,417,22,5.28,29,2900,2800,100,6.95,131.82
2026-08-03,Variant,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,417,8,1.92,47,2350,2214,136,5.64,293.75
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus20,20,417,18,4.32,18,1800,1730,70,4.32,100.0
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus25,25,417,13,3.12,15,1500,1475,25,3.6,115.38
2026-08-03,Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,417,5,1.2,7,1050,1050,0,2.52,210.0
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus30,30,417,8,1.92,10,1000,1000,0,2.4,125.0
2026-08-03,Variant,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,417,7,1.68,17,850,780,70,2.04,121.43
2026-08-03,Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,417,3,0.72,3,600,600,0,1.44,200.0
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus45,45,417,4,0.96,5,500,500,0,1.2,125.0
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus35,35,417,5,1.2,5,500,400,100,1.2,100.0
2026-08-03,Variant,currency,HardCoin,coins,extra_moves,level_movesplus40,40,417,4,0.96,4,400,400,0,0.96,100.0
2026-08-03,Variant,currency,HardCoin,coins,team_created,unknown,unknown,417,2,0.48,2,300,300,0,0.72,150.0
2026-08-03,Variant,currency,HardCoin,coins,level_movesplus5,level_movesplus5,level_movesplus5,417,1,0.24,1,100,100,0,0.24,100.0
2026-08-03,Variant,life,life,items,in_game_use,saga,in_level,417,346,82.97,4865,4865,,,11.67,14.06
2026-08-03,Variant,powerup,powerup_1,items,in_game_use,saga,in_level,417,352,84.41,1502,1502,,,3.6,4.27
2026-08-03,Variant,powerup,powerup_2,items,in_game_use,saga,in_level,417,368,88.25,2351,2351,,,5.64,6.39
2026-08-03,Variant,powerup,powerup_3,items,in_game_use,saga,in_level,417,375,89.93,2040,2040,,,4.89,5.44
2026-08-03,Variant,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,417,318,76.26,1715,1715,,,4.11,5.39
2026-08-03,Variant,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,417,317,76.02,1824,1824,,,4.37,5.75
2026-08-03,Variant,pre_level_booster,pre_level_booster_3,items,in_game_use,saga,in_level,417,300,71.94,1441,1441,,,3.46,4.8
2026-08-03,Variant,ul_pre_booster,UnlimitedBooster1,items,in_game_use,saga,in_level,417,358,85.85,6441,6441,,,15.45,17.99
2026-08-03,Variant,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,417,198,47.48,2987,2987,,,7.16,15.09
2026-08-03,Variant,ul_pre_booster,UnlimitedBooster3,items,in_game_use,saga,in_level,417,53,12.71,992,992,,,2.38,18.72
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus5,5,403,356,88.34,2435,243500,231252,12248,604.22,683.99
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus10,10,403,26,6.45,41,4100,3790,310,10.17,157.69
2026-08-04,Control,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,403,29,7.2,72,3600,2698,902,8.93,124.14
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus15,15,403,20,4.96,25,2500,2190,310,6.2,125.0
2026-08-04,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,403,7,1.74,11,2200,2200,0,5.46,314.29
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus20,20,403,17,4.22,20,2000,1805,195,4.96,117.65
2026-08-04,Control,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,403,27,6.7,38,1900,1385,515,4.71,70.37
2026-08-04,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_1,403,3,0.74,3,1500,1500,0,3.72,500.0
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus50,50,403,12,2.98,14,1400,1200,200,3.47,116.67
2026-08-04,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,403,4,0.99,7,1050,1050,0,2.61,262.5
2026-08-04,Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_3,403,1,0.25,5,1000,1000,0,2.48,1000.0
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus25,25,403,8,1.99,8,800,800,0,1.99,100.0
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus30,30,403,7,1.74,7,700,600,100,1.74,100.0
2026-08-04,Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_2,403,1,0.25,4,600,600,0,1.49,600.0
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus35,35,403,4,0.99,4,400,330,70,0.99,100.0
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus40,40,403,4,0.99,4,400,400,0,0.99,100.0
2026-08-04,Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_1,403,1,0.25,2,200,200,0,0.5,200.0
2026-08-04,Control,currency,HardCoin,coins,extra_moves,level_movesplus45,45,403,2,0.5,2,200,135,65,0.5,100.0
2026-08-04,Control,currency,HardCoin,coins,level_movesplus5,level_movesplus5,level_movesplus5,403,1,0.25,1,100,100,0,0.25,100.0
2026-08-04,Control,life,life,items,in_game_use,saga,in_level,403,385,95.53,13086,13086,,,32.47,33.99
2026-08-04,Control,powerup,powerup_1,items,in_game_use,saga,in_level,403,347,86.1,2299,2299,,,5.7,6.63
2026-08-04,Control,powerup,powerup_2,items,in_game_use,saga,in_level,403,366,90.82,2143,2143,,,5.32,5.86
2026-08-04,Control,powerup,powerup_3,items,in_game_use,saga,in_level,403,357,88.59,2171,2171,,,5.39,6.08
2026-08-04,Control,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,403,314,77.92,1932,1932,,,4.79,6.15
2026-08-04,Control,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,403,300,74.44,2114,2114,,,5.25,7.05
2026-08-04,Control,pre_level_booster,pre_level_booster_3,items,in_game_use,saga,in_level,403,267,66.25,1020,1020,,,2.53,3.82
2026-08-04,Control,ul_pre_booster,UnlimitedBooster1,items,in_game_use,saga,in_level,403,282,69.98,6634,6634,,,16.46,23.52
2026-08-04,Control,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,403,285,70.72,5472,5472,,,13.58,19.2
2026-08-04,Control,ul_pre_booster,UnlimitedBooster3,items,in_game_use,saga,in_level,403,240,59.55,3293,3293,,,8.17,13.72
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus5,5,394,334,84.77,1668,166800,149586,17214,423.35,499.4
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus10,10,394,31,7.87,38,3800,3670,130,9.64,122.58
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus20,20,394,25,6.35,30,3000,2810,190,7.61,120.0
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus15,15,394,19,4.82,22,2200,1885,315,5.58,115.79
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus25,25,394,16,4.06,17,1700,1600,100,4.31,106.25
2026-08-04,Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,394,7,1.78,7,1400,1400,0,3.55,200.0
2026-08-04,Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,394,5,1.27,7,1050,1050,0,2.66,210.0
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus50,50,394,7,1.78,9,900,741,159,2.28,128.57
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus30,30,394,8,2.03,8,800,740,60,2.03,100.0
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus35,35,394,4,1.02,5,500,500,0,1.27,125.0
2026-08-04,Variant,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,394,8,2.03,10,500,306,194,1.27,62.5
2026-08-04,Variant,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,394,8,2.03,9,450,380,70,1.14,56.25
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus45,45,394,1,0.25,1,100,100,0,0.25,100.0
2026-08-04,Variant,currency,HardCoin,coins,extra_moves,level_movesplus40,40,394,1,0.25,1,100,100,0,0.25,100.0
2026-08-04,Variant,life,life,items,in_game_use,saga,in_level,394,347,88.07,5900,5900,,,14.97,17.0
2026-08-04,Variant,powerup,powerup_1,items,in_game_use,saga,in_level,394,289,73.35,1005,1005,,,2.55,3.48
2026-08-04,Variant,powerup,powerup_2,items,in_game_use,saga,in_level,394,358,90.86,2058,2058,,,5.22,5.75
2026-08-04,Variant,powerup,powerup_3,items,in_game_use,saga,in_level,394,341,86.55,1775,1775,,,4.51,5.21
2026-08-04,Variant,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,394,295,74.87,1507,1507,,,3.82,5.11
2026-08-04,Variant,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,394,277,70.3,1566,1566,,,3.97,5.65
2026-08-04,Variant,pre_level_booster,pre_level_booster_3,items,in_game_use,saga,in_level,394,275,69.8,1204,1204,,,3.06,4.38
2026-08-04,Variant,ul_pre_booster,UnlimitedBooster1,items,in_game_use,saga,in_level,394,231,58.63,3801,3801,,,9.65,16.45
2026-08-04,Variant,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,394,258,65.48,3008,3008,,,7.63,11.66
2026-08-04,Variant,ul_pre_booster,UnlimitedBooster3,items,in_game_use,saga,in_level,394,12,3.05,142,142,,,0.36,11.83
2026-08-04,Variant,unlimited_lives,UnlimitedLives,items,in_game_use,saga,in_level,394,1,0.25,2,2,,,0.01,2.0
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus5,5,408,359,87.99,2261,226100,214299,11801,554.17,629.81
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus10,10,408,24,5.88,33,3300,3230,70,8.09,137.5
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus15,15,408,20,4.9,27,2700,2500,200,6.62,135.0
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus20,20,408,20,4.9,25,2500,2475,25,6.13,125.0
2026-08-05,Control,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,408,21,5.15,42,2100,1653,447,5.15,100.0
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus50,50,408,13,3.19,19,1900,1423,477,4.66,146.15
2026-08-05,Control,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,408,18,4.41,25,1250,717,533,3.06,69.44
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus25,25,408,11,2.7,12,1200,1025,175,2.94,109.09
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus30,30,408,8,1.96,8,800,725,75,1.96,100.0
2026-08-05,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,408,3,0.74,4,600,600,0,1.47,200.0
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus35,35,408,5,1.23,5,500,500,0,1.23,100.0
2026-08-05,Control,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,408,2,0.49,2,400,400,0,0.98,200.0
2026-08-05,Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_2,408,1,0.25,2,300,300,0,0.74,300.0
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus45,45,408,3,0.74,3,300,220,80,0.74,100.0
2026-08-05,Control,currency,HardCoin,coins,extra_moves,level_movesplus40,40,408,2,0.49,2,200,200,0,0.49,100.0
2026-08-05,Control,currency,HardCoin,coins,level_movesplus5,level_movesplus5,level_movesplus5,408,1,0.25,2,200,200,0,0.49,200.0
2026-08-05,Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_3,408,1,0.25,1,200,30,170,0.49,200.0
2026-08-05,Control,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_1,408,1,0.25,1,100,100,0,0.25,100.0
2026-08-05,Control,life,life,items,in_game_use,saga,in_level,408,375,91.91,10867,10867,,,26.63,28.98
2026-08-05,Control,powerup,powerup_1,items,in_game_use,saga,in_level,408,348,85.29,3064,3064,,,7.51,8.8
2026-08-05,Control,powerup,powerup_2,items,in_game_use,saga,in_level,408,365,89.46,2246,2246,,,5.5,6.15
2026-08-05,Control,powerup,powerup_3,items,in_game_use,saga,in_level,408,362,88.73,2374,2374,,,5.82,6.56
2026-08-05,Control,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,408,331,81.13,2326,2326,,,5.7,7.03
