milestone,control_players,variant_players,control_total,variant_total,pct_control,pct_variant,pp_diff_variant_minus_control
0,52011,52918,114589,115178,45.389,45.945,0.555
1,5533,6347,114589,115178,4.829,5.511,0.682
2,1821,2228,114589,115178,1.589,1.934,0.345
3,2431,2840,114589,115178,2.121,2.466,0.344
4,2616,3198,114589,115178,2.283,2.777,0.494
5,4668,5198,114589,115178,4.074,4.513,0.439
6,3893,3681,114589,115178,3.397,3.196,-0.201
7,3002,2706,114589,115178,2.62,2.349,-0.27
8,2365,2314,114589,115178,2.064,2.009,-0.055
9,2672,2752,114589,115178,2.332,2.389,0.058
10,2237,2216,114589,115178,1.952,1.924,-0.028
11,2077,1912,114589,115178,1.813,1.66,-0.153
12,1702,1675,114589,115178,1.485,1.454,-0.031
13,1571,1525,114589,115178,1.371,1.324,-0.047
14,1824,1620,114589,115178,1.592,1.407,-0.185
15,1585,1575,114589,115178,1.383,1.367,-0.016
16,1298,1295,114589,115178,1.133,1.124,-0.008
17,1264,1212,114589,115178,1.103,1.052,-0.051
18,1136,1051,114589,115178,0.991,0.913,-0.079
19,1165,1170,114589,115178,1.017,1.016,-0.001
20,1087,1025,114589,115178,0.949,0.89,-0.059
21,970,956,114589,115178,0.847,0.83,-0.016
22,837,872,114589,115178,0.73,0.757,0.027
23,806,819,114589,115178,0.703,0.711,0.008
24,925,872,114589,115178,0.807,0.757,-0.05
25,846,837,114589,115178,0.738,0.727,-0.012
26,769,791,114589,115178,0.671,0.687,0.016
27,741,672,114589,115178,0.647,0.583,-0.063
28,714,591,114589,115178,0.623,0.513,-0.11
29,850,759,114589,115178,0.742,0.659,-0.083
30,9173,7551,114589,115178,8.005,6.556,-1.449
