event_date,segment,ab_group,players,spt_gainers,pct_spt_gainers,total_spt_gain,avg_spt_gain_total,avg_spt_gain_per_gainer,avg_spt_gain_uncorrected,avg_spt_excess_removed
2026-08-02,A. 0,Control,5266,617,11.72,29425.0,5.59,47.69,5.59,0.0
2026-08-02,A. 0,Variant,5384,903,16.77,51175.0,9.51,56.67,9.51,0.0
2026-08-02,B. 1-9,Control,7596,972,12.8,42825.0,5.64,44.06,5.64,0.0
2026-08-02,B. 1-9,Variant,7387,1045,14.15,48820.0,6.61,46.72,6.61,0.0
2026-08-02,C. 10-19,Control,5534,1408,25.44,72620.0,13.12,51.58,13.12,0.0
2026-08-02,C. 10-19,Variant,5541,1846,33.32,100965.0,18.22,54.69,18.23,0.01
2026-08-02,D. 20-39,Control,4544,1715,37.74,95390.0,20.99,55.62,20.99,0.0
2026-08-02,D. 20-39,Variant,4663,2372,50.87,139435.0,29.9,58.78,29.9,0.0
2026-08-02,E. 40-99,Control,3033,1521,50.15,89395.0,29.47,58.77,29.47,0.0
2026-08-02,E. 40-99,Variant,2790,1964,70.39,119050.0,42.67,60.62,42.67,0.0
2026-08-02,F. 100+,Control,448,277,61.83,17355.0,38.74,62.65,38.74,0.0
2026-08-02,F. 100+,Variant,442,377,85.29,24075.0,54.47,63.86,54.47,0.0
2026-08-03,A. 0,Control,4074,193,4.74,8980.0,2.2,46.53,2.2,0.0
2026-08-03,A. 0,Variant,3994,294,7.36,16478.734794271557,4.13,56.05,4.15,0.03
2026-08-03,B. 1-9,Control,7328,739,10.08,30413.266666666666,4.15,41.15,4.15,0.0
2026-08-03,B. 1-9,Variant,7260,2504,34.49,104168.56545597412,14.35,41.6,15.08,0.73
2026-08-03,C. 10-19,Control,5776,1056,18.28,44190.0,7.65,41.85,7.65,0.0
2026-08-03,C. 10-19,Variant,5893,3694,62.68,267285.32808453444,45.36,72.36,48.28,2.93
2026-08-03,D. 20-39,Control,4815,1415,29.39,63830.0,13.26,45.11,13.26,0.0
2026-08-03,D. 20-39,Variant,4900,3815,77.86,450276.97018429183,91.89,118.03,97.75,5.86
2026-08-03,E. 40-99,Control,3169,1316,41.53,66850.0,21.09,50.8,21.09,0.0
2026-08-03,E. 40-99,Variant,3032,2794,92.15,545978.9941687866,180.07,195.41,192.0,11.92
2026-08-03,F. 100+,Control,435,237,54.48,12000.0,27.59,50.63,27.59,0.0
2026-08-03,F. 100+,Variant,417,406,97.36,143454.16945431914,344.01,353.34,372.69,28.67
2026-08-04,A. 0,Control,4495,319,7.1,18435.0,4.1,57.79,4.1,0.0
2026-08-04,A. 0,Variant,4433,407,9.18,73145.76537797821,16.5,179.72,18.12,1.61
2026-08-04,B. 1-9,Control,7437,554,7.45,25578.066666666666,3.44,46.17,3.44,0.0
2026-08-04,B. 1-9,Variant,7344,2068,28.16,80987.27049176843,11.03,39.16,11.97,0.94
2026-08-04,C. 10-19,Control,5808,1112,19.15,59175.0,10.19,53.21,10.19,0.0
2026-08-04,C. 10-19,Variant,5839,2771,47.46,178294.68831038653,30.54,64.34,33.6,3.07
2026-08-04,D. 20-39,Control,4883,1535,31.44,91195.0,18.68,59.41,18.68,0.0
2026-08-04,D. 20-39,Variant,4917,2899,58.96,270949.7823284234,55.1,93.46,60.41,5.3
2026-08-04,E. 40-99,Control,3031,1531,50.51,104940.0,34.62,68.54,34.62,0.0
2026-08-04,E. 40-99,Variant,2920,2054,70.34,275838.77861612494,94.47,134.29,101.89,7.43
2026-08-04,F. 100+,Control,403,304,75.43,22355.0,55.47,73.54,55.47,0.0
2026-08-04,F. 100+,Variant,394,331,84.01,97946.89551177243,248.6,295.91,277.59,28.99
2026-08-05,A. 0,Control,4810,353,7.34,15605.0,3.24,44.21,3.24,0.0
2026-08-05,A. 0,Variant,4733,519,10.97,104005.70338443202,21.97,200.4,24.36,2.39
2026-08-05,B. 1-9,Control,7431,453,6.1,20535.0,2.76,45.33,2.76,0.0
2026-08-05,B. 1-9,Variant,7277,1781,24.47,75948.59758044235,10.44,42.64,11.58,1.14
2026-08-05,C. 10-19,Control,5653,902,15.96,41421.333333333336,7.33,45.92,7.33,0.0
2026-08-05,C. 10-19,Variant,5753,2243,38.99,156903.50968384944,27.27,69.95,30.28,3.0
2026-08-05,D. 20-39,Control,4705,1332,28.31,66555.0,14.15,49.97,14.15,0.0
2026-08-05,D. 20-39,Variant,4710,2275,48.3,216942.24119836904,46.06,95.36,51.26,5.2
2026-08-05,E. 40-99,Control,3010,1180,39.2,63800.0,21.2,54.07,21.2,0.0
2026-08-05,E. 40-99,Variant,2903,1760,60.63,277733.46677083155,95.67,157.8,106.04,10.37
2026-08-05,F. 100+,Control,408,234,57.35,12585.0,30.85,53.78,30.85,0.0
2026-08-05,F. 100+,Variant,421,351,83.37,118918.7579708312,282.47,338.8,330.08,47.62
2026-08-06,A. 0,Control,5113,679,13.28,37325.0,7.3,54.97,7.3,0.0
2026-08-06,A. 0,Variant,5032,597,11.86,116899.25890299458,23.23,195.81,26.4,3.16
2026-08-06,B. 1-9,Control,7361,567,7.7,25630.0,3.48,45.2,3.48,0.0
2026-08-06,B. 1-9,Variant,7378,2103,28.5,94524.24385578555,12.81,44.95,14.01,1.2
2026-08-06,C. 10-19,Control,5621,1275,22.68,66404.0,11.81,52.08,11.82,0.0
2026-08-06,C. 10-19,Variant,5682,2334,41.08,167683.0376473512,29.51,71.84,32.75,3.24
2026-08-06,D. 20-39,Control,4668,1715,36.74,98560.0,21.11,57.47,21.11,0.0
2026-08-06,D. 20-39,Variant,4775,2314,48.46,232335.1642202938,48.66,100.4,54.25,5.59
